weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,p90_zone_p_tail_mean_occ,p90_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.131504775034294,-0.9386717353128992,54.23850574712644,41.54693486590038,33.83682687140848,41.780411877394634,65.29573754789271,0.13314090974265713,0.11050625787405986,0.022634651868597266,0.2827750733385642,21.94683908045977,0.24110013930608198,47.46168582375479,0.19176584842205135,39.894636015325666,3195,0,1866,0,59.0810502283105,15.836044520547945,27.986979166666668,400413.55382902885,110436.8498949613,76811.90000771635,6285.338914734363,24087.949416716674,40.71777664945128,98376.38588704949,4611.010652380388,294665.4822973592,299276.4929497396,172.03311045828931,101.83656717971783,73.92480998507921,27.078340761175284,166.16539461345937
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.884104557394668,-1.0320249441251597,55.46575670498084,44.87547892720307,37.78102787996115,45.07902298850575,63.254310344827594,0.11886328841523969,0.09440227777949324,0.024461010635746436,0.235558356489394,11.703783524904214,0.22897699324083493,46.725335249042146,0.1746918650797004,33.866139846743295,6780,0,2636,34,59.21803652968036,15.875560072459042,27.765054235937388,404165.93534990837,114189.23141584075,76996.14148585225,8033.198840234739,25908.22953395989,40.71777664945128,92911.93500564949,5790.6954524365865,300507.9175532623,306298.6130056988,172.03311045828931,101.83656717971783,73.92480998507921,27.078340761175284,166.1653946121907
beijing_ssp585_baseline_2020s_hot_2029,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.131504775034294,-0.9386717353128992,54.23850574712644,41.54693486590038,33.83682687140848,41.780411877394634,65.29573754789271,0.13314090974265713,0.11050625787405986,0.022634651868597266,0.2827750733385642,21.94683908045977,0.24110013930608198,47.46168582375479,0.19176584842205135,39.894636015325666,3195,0,1866,0,59.0810502283105,15.836044520547945,27.986979166666668,400413.55382902885,110436.8498949613,76811.90000771635,6285.338914734363,24087.949416716674,40.71777664945128,98376.38588704949,4611.010652380388,294665.4822973592,299276.4929497396,172.03311045828931,101.83656717971783,73.92480998507921,27.078340761175284,166.16539461345937
beijing_ssp585_baseline_2020s_hot_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.884104557394668,-1.0320249441251597,55.46575670498084,44.87547892720307,37.78102787996115,45.07902298850575,63.254310344827594,0.11886328841523969,0.09440227777949324,0.024461010635746436,0.235558356489394,11.703783524904214,0.22897699324083493,46.725335249042146,0.1746918650797004,33.866139846743295,6780,0,2636,34,59.21803652968036,15.875560072459042,27.765054235937388,404165.93534990837,114189.23141584075,76996.14148585225,8033.198840234739,25908.22953395989,40.71777664945128,92911.93500564949,5790.6954524365865,300507.9175532623,306298.6130056988,172.03311045828931,101.83656717971783,73.92480998507921,27.078340761175284,166.1653946121907
beijing_ssp585_baseline_2020s_typical_2026,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.03577085111238,-0.9814225335249045,50.658524904214566,41.63673371647509,33.81403479583004,41.900143678160916,64.7808908045977,0.13397590544758045,0.11067242368361879,0.023303481763961673,0.2821263041557091,22.7610153256705,0.2384755136345447,47.30603448275862,0.19056329881029807,39.59530651340996,3243,0,1926,0,58.49315068493151,15.836087328767123,27.993243436073058,384409.383088831,94422.37879142952,66354.0064789337,6211.267390269414,18605.444199128015,40.71777664945128,100013.96168964451,4592.80054752571,281342.2550319065,285935.0555794322,163.37961564638698,92.97815424348006,67.29807014908037,27.078340761175284,162.57574776418582
beijing_ssp585_baseline_2020s_typical_2026,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.77735890600559,-1.0788997844827586,52.25694444444444,45.09698275862069,37.89093120541453,45.30651340996169,63.19444444444444,0.11933464453511355,0.09406810118403584,0.025266543351077697,0.23461293896971874,13.050766283524903,0.22564572227207813,46.62954980842912,0.1743771349035827,34.03975095785441,6845,0,2628,48,58.58447488584475,15.875024961009961,27.759749585852774,388068.96834284824,98081.96404544676,66479.49401076583,7811.421956326791,20539.387355255727,40.71777664945128,94201.13688324257,5657.576800028121,287531.7576928014,293189.33449282957,163.37961564636632,92.97815424346774,67.29807014908037,27.078340761175284,162.57574776425014
beijing_ssp585_late_2080s_heatwave_extreme_2089,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.928132769870665,-0.5782477250957854,52.78975095785441,36.23682950191571,27.30689634773472,36.895354406130274,52.74185823754789,0.12341364704253238,0.10475082921848061,0.01866281782405176,0.27597472176195237,19.43845785440613,0.2087187246059024,42.247365900383144,0.17804832121206046,38.07471264367816,2948,0,1793,0,61.598173515981735,15.836044520547945,28.004858732876713,451147.9455316733,161168.42333232725,120838.58707317567,1870.5886802314799,35207.5793699905,40.71777664945128,66356.61711160548,1348.5356297005658,352870.6300170733,354219.1656467738,180.66256926916165,110.47542008622547,82.56366289158686,27.078340761175284,177.38327315454964
beijing_ssp585_late_2080s_heatwave_extreme_2089,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.651337645842812,-0.683144675925926,53.83740421455939,42.09770114942529,31.898595846768124,42.43295019157088,49.718630268199234,0.10860489077593231,0.08806324853677934,0.02054164223915296,0.22771694255086314,8.878113026819925,0.201335905344245,41.85225095785441,0.16168181754983288,30.723180076628353,6460,0,2558,16,61.62100456621005,15.857926644799916,27.784025389092154,454619.6378602921,164640.11566094603,121010.00932685348,2998.3685354163276,37380.06958974662,40.71777664945128,61984.56270421575,2051.7280292434707,358837.7569204754,360889.4849497188,180.66256926916165,110.47542008622548,82.56366289158686,27.078340761175284,177.3832791753944
beijing_ssp585_late_2080s_hot_2089,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.928132769870665,-0.5782477250957854,52.78975095785441,36.23682950191571,27.30689634773472,36.895354406130274,52.74185823754789,0.12341364704253238,0.10475082921848061,0.01866281782405176,0.27597472176195237,19.43845785440613,0.2087187246059024,42.247365900383144,0.17804832121206046,38.07471264367816,2948,0,1793,0,61.598173515981735,15.836044520547945,28.004858732876713,451147.9455316733,161168.42333232725,120838.58707317567,1870.5886802314799,35207.5793699905,40.71777664945128,66356.61711160548,1348.5356297005658,352870.6300170733,354219.1656467738,180.66256926916165,110.47542008622547,82.56366289158686,27.078340761175284,177.38327315454964
beijing_ssp585_late_2080s_hot_2089,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.651337645842812,-0.683144675925926,53.83740421455939,42.09770114942529,31.898595846768124,42.43295019157088,49.718630268199234,0.10860489077593231,0.08806324853677934,0.02054164223915296,0.22771694255086314,8.878113026819925,0.201335905344245,41.85225095785441,0.16168181754983288,30.723180076628353,6460,0,2558,16,61.62100456621005,15.857926644799916,27.784025389092154,454619.6378602921,164640.11566094603,121010.00932685348,2998.3685354163276,37380.06958974662,40.71777664945128,61984.56270421575,2051.7280292434707,358837.7569204754,360889.4849497188,180.66256926916165,110.47542008622548,82.56366289158686,27.078340761175284,177.3832791753944
beijing_ssp585_late_2080s_typical_2084,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.873908172885077,-0.6099879869093231,53.62787356321839,34.315134099616856,27.356798413466727,34.985632183908045,58.764367816091955,0.12566624217802652,0.10683471000181356,0.018831532176212945,0.2722569834589928,17.397030651340998,0.2128273078642032,42.76221264367816,0.18061168945825168,36.24880268199234,2724,0,1705,0,61.01312785388128,15.836044520547945,28.008583047945205,432157.5545120226,142169.31959930496,104464.17634580612,2573.9904708175227,31879.47682473012,40.71777664945128,66967.92690496954,1869.898998465059,334355.38196176785,336225.28096023283,182.6580595208961,112.47274970675761,84.560992512119,27.078340761175284,177.3549925381157
beijing_ssp585_late_2080s_typical_2084,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.639756836663345,-0.698547174329502,55.298132183908045,38.67337164750958,31.101525592718172,39.230124521072796,56.36374521072797,0.11372781562935191,0.09312871850049739,0.020599097128854518,0.2242230046746959,9.093630268199233,0.2067809208504041,42.241379310344826,0.16683572697984647,30.004789272030653,6165,0,2562,17,60.93036529680366,15.84957191780822,27.818389697488584,435220.1233170199,145231.88840430224,104619.75023847679,3599.3820566326585,33761.08015124163,40.71777664945128,62747.154565638804,2557.9736726564915,339407.4612236502,341965.4348963068,182.6580595208961,112.47274970675761,84.560992512119,27.078340761175284,177.35499253818776
beijing_ssp585_mid_2050s_heatwave_extreme_2052,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.574122816133908,-0.737010815772669,53.72964559386973,36.314655172413794,30.789141908312732,37.05699233716475,58.73443486590039,0.1275706427628147,0.10632878361476904,0.02124185914804568,0.2692959661124815,19.36063218390805,0.2244787720119095,44.26484674329502,0.18285781951484018,36.889367816091955,2755,0,1744,0,61.06449771689497,15.83607305936073,28.014426369863013,438493.1154737672,148515.56243730496,107938.47507000976,5171.642816761815,32153.77936721129,40.71777664945128,86049.16511551038,3807.680086807514,329941.6425566175,333749.32264342497,185.8035216374564,115.81157973970603,87.89982254506741,27.078340761175284,170.55673766474214
beijing_ssp585_mid_2050s_heatwave_extreme_2052,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.328135252170373,-0.8301075989782886,56.519396551724135,41.87619731800766,34.51200588206954,42.43893678160919,56.93845785440613,0.11471717939636047,0.09179472975944068,0.022922449636919792,0.22216440357295836,9.800047892720306,0.21333193487828223,43.41475095785441,0.16806291663007292,31.25,6340,0,2567,39,61.09303652968037,15.855597171173793,27.8118329017674,442418.49401702627,152440.9409805641,108286.55177318866,6522.100131351927,34380.62389270143,40.71777664945128,82074.80010090426,4720.260230475549,335545.44310170243,340265.70333217795,185.8035216374564,115.81157973970603,87.89982254506741,27.078340761175284,170.55673383909738
beijing_ssp585_mid_2050s_hot_2052,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.574122816133908,-0.737010815772669,53.72964559386973,36.314655172413794,30.789141908312732,37.05699233716475,58.73443486590039,0.1275706427628147,0.10632878361476904,0.02124185914804568,0.2692959661124815,19.36063218390805,0.2244787720119095,44.26484674329502,0.18285781951484018,36.889367816091955,2755,0,1744,0,61.06449771689497,15.83607305936073,28.014426369863013,438493.1154737672,148515.56243730496,107938.47507000976,5171.642816761815,32153.77936721129,40.71777664945128,86049.16511551038,3807.680086807514,329941.6425566175,333749.32264342497,185.8035216374564,115.81157973970603,87.89982254506741,27.078340761175284,170.55673766474214
beijing_ssp585_mid_2050s_hot_2052,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.328135252170373,-0.8301075989782886,56.519396551724135,41.87619731800766,34.51200588206954,42.43893678160919,56.93845785440613,0.11471717939636047,0.09179472975944068,0.022922449636919792,0.22216440357295836,9.800047892720306,0.21333193487828223,43.41475095785441,0.16806291663007292,31.25,6340,0,2567,39,61.09303652968037,15.855597171173793,27.8118329017674,442418.49401702627,152440.9409805641,108286.55177318866,6522.100131351927,34380.62389270143,40.71777664945128,82074.80010090426,4720.260230475549,335545.44310170243,340265.70333217795,185.8035216374564,115.81157973970603,87.89982254506741,27.078340761175284,170.55673383909738
beijing_ssp585_mid_2050s_typical_2053,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.472963936123598,-0.7922193087484035,50.89798850574713,37.5,28.98199810524102,37.95498084291188,58.68654214559387,0.13023374382272132,0.11088350670614962,0.01935023711657169,0.28559031924122275,22.47365900383142,0.21541675226235033,43.86374521072797,0.18464828238826783,40.06824712643678,3401,0,1962,0,59.40068493150685,15.836044520547945,27.985009988584476,410409.8282816117,120439.90686610065,88871.99730979397,2855.6191745219617,25460.640067545803,40.71777664945128,77511.2945008731,2083.827803811709,316040.63638603524,318124.46418984694,173.64561372164763,103.45355101380567,75.54179381916704,27.078340761175284,167.93532640852592
beijing_ssp585_mid_2050s_typical_2053,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.207281759375068,-0.8926380507662836,52.059386973180075,41.73251915708812,33.38434044362256,42.007902298850574,56.43558429118774,0.11486134386970835,0.09361836873132973,0.021242975138378632,0.23482831180173316,12.308429118773946,0.2067223875372701,43.570402298850574,0.1677229866401761,33.35129310344828,6805,0,2531,20,59.417808219178085,15.867697638246023,27.75415599944929,414072.6154547334,124102.6940392222,88982.48383338982,4278.046037071435,27590.513854522047,40.71777664945128,71964.4358002566,2990.908129858786,322033.2445422687,325024.1526721274,173.6456137216476,103.45355101380567,75.54179381916704,27.078340761175284,167.93532640866144
beijing_ssp585_near_2030s_heatwave_extreme_2030,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.049296626988962,-0.9662697557471265,52.87356321839081,40.804597701149426,35.72217542287238,41.05603448275862,63.020833333333336,0.12904674230673033,0.10424109457812619,0.0248056477286041,0.27430580580304426,19.785680076628353,0.23851832969875367,45.94109195402299,0.18498553993102998,35.75191570881226,2865,0,1772,0,59.44634703196348,15.836044520547945,28.0058575913242,412333.95393134723,122371.3092661142,85916.09942700932,7922.8012559642475,25280.759138893583,40.71777664945128,109839.76224627947,5866.707979989432,299318.9199087141,305185.62788870354,173.8251747848442,103.62802638407544,75.71626918943682,27.078340761175284,172.85583993372313
beijing_ssp585_near_2030s_heatwave_extreme_2030,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.848707006126666,-1.042060743933589,54.166666666666664,43.696120689655174,38.70534934427618,43.94755747126437,61.769636015325666,0.11817413779354832,0.09180935540164437,0.026364782391903957,0.2339299919727698,12.290469348659004,0.22383048145702694,44.929358237547895,0.17022376228786582,31.178160919540232,6256,0,2621,48,59.497716894977174,15.858472454820049,27.81373074152698,415604.5467209794,125641.90205574635,85997.07190162282,9557.531649826482,26835.64906005002,40.71777664945128,104824.82633344844,7016.297215477085,304603.66630719363,311619.96352267073,173.8251747848442,103.62802638407544,75.71626918943682,27.078340761175284,172.85583993380914
beijing_ssp585_near_2030s_hot_2037,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.12703556433551,-0.9247074153895274,49.730603448275865,39.559386973180075,34.37925803569432,39.87667624521073,58.758381226053636,0.12260746985757265,0.09658824734134966,0.026019222516222996,0.2692549025554935,17.624521072796934,0.22562892058165682,42.235392720306514,0.1754438025941032,33.97389846743295,2738,0,1713,2,59.69748858447489,15.836294235159817,28.011786529680364,418734.25560269953,128763.9827927192,89549.3978984762,9163.694191472425,26799.232074380598,40.71777664945128,105214.11193206359,6952.440932470877,309200.9808844969,316153.4218169677,171.45708116923714,101.2567128483818,73.3449556537432,27.078340761175284,166.33339836214154
beijing_ssp585_near_2030s_hot_2037,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.937118164184184,-0.9963138968710089,50.35919540229885,41.487068965517246,37.338172349674096,41.792385057471265,57.525143678160916,0.11208255011895556,0.08456838359993414,0.027514166519021423,0.22959860657361608,11.015325670498084,0.2129733566425641,41.67265325670498,0.1630919548155334,29.48994252873563,5955,0,2442,64,59.880136986301366,15.861665236242285,27.818429014998483,421789.00905118155,131818.7362412013,89631.32449567776,10778.956645161874,28156.796471971673,40.71777664945128,100459.66771473948,8097.130142271316,314349.28476573975,322446.414908011,171.45708203851072,101.25671306952285,73.34495587488423,27.078340761175284,166.3333983620619
