city_slug,scenario,weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,p90_zone_p_tail_mean_occ,p90_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min,electricity_kwh_ref,hvac_electricity_kwh_ref,cooling_electricity_kwh_ref,heating_electricity_kwh_ref,natural_gas_kwh_ref,peak_hvac_electric_kw_15min_ref,pmv_violation_pct_occ_ref,pmv_abs_gt_1_0_pct_occ_ref,adaptive_violation_pct_occ_ref,mean_zone_p_tail_ge_0p20_pct_occ_ref,max_zone_p_tail_ge_0p20_pct_occ_ref,delta_pct_electricity_kwh,delta_pct_hvac_electricity_kwh,delta_pct_cooling_electricity_kwh,delta_pct_heating_electricity_kwh,delta_pct_natural_gas_kwh,delta_pct_peak_hvac_electric_kw_15min,delta_pmv_violation_pct_occ,delta_pmv_abs_gt_1_0_pct_occ,delta_adaptive_violation_pct_occ,delta_mean_zone_p_tail_ge_0p20_pct_occ,delta_max_zone_p_tail_ge_0p20_pct_occ
phoenix,ssp585,phoenix_ssp585_baseline_2020s_typical_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,26.828919656373465,-0.2669907008301405,27.933429118773944,8.225574712643677,10.82238155640876,9.009818007662837,33.878113026819925,0.0854593599108173,0.0670162054824602,0.0184431544283571,0.1724312189020484,0.9039750957854408,0.132210412431921,17.199473180076627,0.1120846517430203,10.925526819923371,3376,0,2008,0,65.92751141552512,15.837756849315069,28.01068778538813,482133.19221090776,192385.1307221309,151579.07414663906,43.39996102368739,37511.20907221976,40.71777664945128,28276.724428706064,31.2381013120029,469031.7049326506,469062.9430339627,184.40158721441932,114.43059227666916,86.28676398799522,27.493957014244213,178.47447271284256,518960.5313570691,229212.4698682923,167704.43729136244,304.71326676344626,27394.75555936641,114.42512933905071,78.66977969348659,32.848419540229884,29.73539272030651,0.0478927203065134,6.944444444444445,-7.09636608584833,-16.066900359881263,-9.615346740472864,-85.75711471815256,3.2194807047223426,0.004774246400246052,-50.736350574712645,-24.622844827586206,4.142720306513414,0.8560823754789274,10.255028735632182
phoenix,ssp585,phoenix_ssp585_late_2080s_heatwave_extreme_2085,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.26654106015826,-0.0479276021711366,28.0411877394636,5.268199233716475,9.95891607307762,5.932710727969349,36.991139846743295,0.0772423162966177,0.0564227842582924,0.0208195320383253,0.1192871500544598,0.0299329501915708,0.1248833695223488,5.741139846743295,0.1044788405469049,2.65205938697318,1639,0,1318,0,70.00570776255708,15.836244292237444,28.055515125570775,541794.7329624244,251236.3081209281,200102.90819753613,0.0,47880.95500891859,40.71777664945128,25428.3336425471,0.0,500931.89036808704,500931.89036808704,193.17649157668893,121.39744624345154,93.3764729581639,27.493957014244213,187.42524515979665,576208.4781367271,285650.05329523084,214802.6338391647,193.9035108462734,25304.49750965365,121.29966658128244,73.83261494252874,28.89727011494253,21.43199233716475,0.0239463601532567,3.3524904214559386,-5.972446862563651,-12.047519255574848,-6.84336377953126,-100.0,0.48938388460867294,0.08061000077323456,-45.79142720306514,-23.629070881226056,15.559147509578544,0.005986590038314102,2.388649425287356
phoenix,ssp585,phoenix_ssp585_late_2080s_hot_2089,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.330298219542556,-0.0142326787994891,32.92624521072797,9.901819923371647,11.668671357884532,10.787835249042145,30.25622605363985,0.0798845831146378,0.0599755168291614,0.0199090662854763,0.1474906584737986,0.3651819923371647,0.1343749941033024,10.973419540229886,0.1106013657738582,6.459530651340996,2456,0,1657,0,70.38812785388127,15.836215753424655,28.031628139269408,550606.5949295588,260180.9954972877,205889.96227597253,20.605935239841298,51018.14588306296,40.71777664945128,26273.5992043032,15.370097511208431,503511.74427137064,503527.11436888186,191.3026101382729,121.27735696551046,93.5101988503076,27.493957014244213,186.29376141604695,581057.4973790753,290631.8979468042,219542.11716146025,195.37311325422525,25930.681192067394,120.82011396713744,78.04717432950191,31.03448275862069,16.61278735632184,0.3172892720306513,6.79477969348659,-5.24060055792562,-10.47748119344081,-6.218467354693207,-89.45303430107691,1.3224412027429069,0.3784494016429971,-45.120929118773944,-21.132662835249043,13.643438697318011,0.04789272030651337,4.1786398467432955
phoenix,ssp585,phoenix_ssp585_late_2080s_typical_2081,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.274441811623273,-0.0378663393997445,21.54573754789272,2.274904214559387,8.566687158887081,2.5981800766283527,28.939176245210728,0.0726174221100316,0.0514604677953942,0.0211569543146374,0.1131668821043224,0.0059865900383141,0.1162105613700018,6.531369731800766,0.09707752724762,2.646072796934866,1657,0,1332,0,68.94977168949772,15.836101598173515,28.056421232876712,540357.7620123414,250024.14982719277,199302.42971441153,1.6023373673968806,47467.9582286407,40.71777664945128,25327.856139953972,0.8396162095023909,505440.9309037292,505441.7705199387,191.6188881947588,121.05430231082944,93.31239670740436,27.493957014244213,183.3117459250766,576446.8959757234,286113.28379057476,215198.36227957992,110.16017932400642,25260.229363025872,120.9432406674825,73.74281609195403,21.348180076628353,18.989463601532567,0.0059865900383141,3.1190134099616857,-6.260617277207414,-12.613582104701582,-7.386641978490906,-98.54544774960465,0.26772035976477543,0.0918295580091925,-52.197078544061306,-19.073275862068964,9.949712643678161,0.0,3.4123563218390807
phoenix,ssp585,phoenix_ssp585_mid_2050s_heatwave_extreme_2057,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,26.986283749517284,-0.1775526420817369,22.629310344827587,7.2796934865900385,10.110022471629,7.6867816091954015,28.69971264367816,0.0770946616787691,0.0562146410387245,0.0208800206400446,0.1645302918793059,0.8321360153256706,0.1196228449790909,11.248802681992338,0.1009689086126197,6.86661877394636,2535,0,1620,0,67.47431506849315,15.837257420091325,28.01888555936073,509270.8892834323,219519.2464728408,175097.8485600204,44.85479554465677,41125.09678854546,40.71777664945128,27326.69215235675,35.92880663908371,488642.4920681779,488678.420874817,190.36678032313188,120.4443455088124,92.75274800763266,27.493957014244213,181.26002461941945,547963.0833841999,258211.44057360844,192119.19733248348,285.4181471366737,26797.418364564423,120.28000776554192,74.3235153256705,25.85009578544061,27.89750957854406,0.4549808429118774,5.471743295019157,-7.0610950397983085,-14.984693944936819,-8.85978549192342,-84.28453271291896,1.9750924532798042,0.13662930882979157,-51.69420498084291,-18.570402298850574,0.8022030651341012,0.3771551724137932,5.777059386973181
phoenix,ssp585,phoenix_ssp585_mid_2050s_hot_2057,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,26.986283749517284,-0.1775526420817369,22.629310344827587,7.2796934865900385,10.110022471629,7.6867816091954015,28.69971264367816,0.0770946616787691,0.0562146410387245,0.0208800206400446,0.1645302918793059,0.8321360153256706,0.1196228449790909,11.248802681992338,0.1009689086126197,6.86661877394636,2535,0,1620,0,67.47431506849315,15.837257420091325,28.01888555936073,509270.8892834323,219519.2464728408,175097.8485600204,44.85479554465677,41125.09678854546,40.71777664945128,27326.69215235675,35.92880663908371,488642.4920681779,488678.420874817,190.36678032313188,120.4443455088124,92.75274800763266,27.493957014244213,181.26002461941945,547963.0833841999,258211.44057360844,192119.19733248348,285.4181471366737,26797.418364564423,120.28000776554192,74.3235153256705,25.85009578544061,27.89750957854406,0.4549808429118774,5.471743295019157,-7.0610950397983085,-14.984693944936819,-8.85978549192342,-84.28453271291896,1.9750924532798042,0.13662930882979157,-51.69420498084291,-18.570402298850574,0.8022030651341012,0.3771551724137932,5.777059386973181
phoenix,ssp585,phoenix_ssp585_mid_2050s_typical_2050,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,26.91611660597879,-0.2275122126436781,31.190134099616856,7.249760536398467,10.8814688769178,7.908285440613026,36.15900383141762,0.0832387337869037,0.0650026441193579,0.0182360896675458,0.1585119530438184,0.2813697318007663,0.1319788624968161,13.176484674329505,0.1108909319732796,7.513170498084292,2687,0,1723,0,66.68949771689498,15.836708047945203,28.03338327625571,489417.88086127373,198853.4190749783,157637.67583470148,42.189303279693945,37921.10914085119,40.71777664945128,27040.731726229707,32.124084236625265,462250.7103343774,462282.8344186141,187.2939086386347,117.25914399633176,88.93177054862423,27.493957014244213,181.56503691074167,524484.2338661195,233919.772079824,172941.98424297635,291.24206464444006,26435.2214673746,117.25540030001012,80.71719348659003,37.95498084291188,20.78544061302682,0.0538793103448275,5.30411877394636,-6.685873614610285,-14.990760589865603,-8.84938869833536,-85.51400762413893,2.2905435447265234,0.0031927709189141264,-49.52705938697318,-30.70522030651341,15.3735632183908,0.22749042145593878,7.872365900383144
phoenix,ssp585,phoenix_ssp585_near_2030s_heatwave_extreme_2033,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.009900486551345,-0.1829254469987228,23.50933908045977,4.555795019157088,9.233080011362194,5.1305076628352495,35.71000957854406,0.0791110940249399,0.0601719768531139,0.018939117171826,0.1466461949573857,0.2334770114942529,0.1209180606516194,9.27322796934866,0.1042584275741207,4.813218390804598,2134,0,1550,0,67.12614155251143,15.836979166666667,28.044563356164385,497259.5780970843,207519.8689989097,165093.61636138492,18.94084030465823,39155.872944395225,40.71777664945128,26846.719687721044,14.221460207810908,481711.32086139574,481725.5423216035,186.3616422583032,116.32691158210233,87.99953813439477,27.493957014244213,182.0060058662422,536423.8009964662,246684.0918982915,181845.689102853,233.21263456804127,26390.64913576421,116.3274072317229,77.17313218390804,28.771551724137932,26.51460727969349,0.0598659003831417,4.262452107279693,-7.300985308002747,-15.876266117528695,-9.212246286461603,-91.87829581371497,1.7281520799682524,-0.00042608155065959147,-53.66379310344827,-24.215756704980844,9.19540229885057,0.17361111111111122,5.010775862068967
phoenix,ssp585,phoenix_ssp585_near_2030s_hot_2033,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.009900486551345,-0.1829254469987228,23.50933908045977,4.555795019157088,9.233080011362194,5.1305076628352495,35.71000957854406,0.0791110940249399,0.0601719768531139,0.018939117171826,0.1466461949573857,0.2334770114942529,0.1209180606516194,9.27322796934866,0.1042584275741207,4.813218390804598,2134,0,1550,0,67.12614155251143,15.836979166666667,28.044563356164385,497259.5780970843,207519.8689989097,165093.61636138492,18.94084030465823,39155.872944395225,40.71777664945128,26846.719687721044,14.221460207810908,481711.32086139574,481725.5423216035,186.3616422583032,116.32691158210233,87.99953813439477,27.493957014244213,182.0060058662422,536423.8009964662,246684.0918982915,181845.689102853,233.21263456804127,26390.64913576421,116.3274072317229,77.17313218390804,28.771551724137932,26.51460727969349,0.0598659003831417,4.262452107279693,-7.300985308002747,-15.876266117528695,-9.212246286461603,-91.87829581371497,1.7281520799682524,-0.00042608155065959147,-53.66379310344827,-24.215756704980844,9.19540229885057,0.17361111111111122,5.010775862068967
phoenix,ssp585,phoenix_ssp585_near_2030s_typical_2034,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,26.85906511847081,-0.2522599377394636,23.790708812260537,6.86661877394636,10.227006519568054,7.387452107279693,36.015325670498086,0.0814499665673202,0.0624419965233652,0.019007970043955,0.155206660351734,0.2873563218390804,0.1258581255688167,12.17073754789272,0.1078004833650599,7.29765325670498,2625,0,1689,0,65.58219178082192,15.837307363013698,28.02310930365297,482108.7751285294,192157.69672657683,152357.43281685686,48.103778612181515,36500.46780100957,40.71777664945128,27529.79555614496,37.02074163231659,467853.5851723358,467890.60591396806,191.2898340040504,121.08257927937092,93.76777969270432,27.493957014244213,182.41915922282868,520263.4271253827,230312.34872343024,169153.37760416817,363.8816312819778,26908.95799313012,120.5234159052644,78.13697318007662,32.537116858237546,26.137452107279696,0.0598659003831417,5.352011494252873,-7.333717883586324,-16.566481219238177,-9.929417328346291,-86.78037733240096,2.3071780154896397,0.46394583982422133,-54.34626436781609,-25.670498084291186,9.87787356321839,0.22749042145593867,6.818726053639847
