city_slug,scenario,weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,p90_zone_p_tail_mean_occ,p90_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
ahmedabad,ssp245,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.33960288316071,0.0867157567049808,15.517241379310343,1.5684865900383145,7.637344833145049,1.766044061302682,12.110871647509578,0.0639148079863097,0.0433797473803932,0.0205350606059165,0.1058014335936836,0.0179597701149425,0.1131276937224843,10.841714559386974,0.0910190266832146,5.771072796934866,2356,0,1632,0,66.5439497716895,15.83607305936073,28.033939783105023,563848.6542251917,274253.7135144652,220280.71818336067,0.0,50721.71661490221,40.71777664945128,24863.22596945696,0.0,486374.75285483984,486374.75285483984,177.6660007619465,107.84403956709318,81.1644304794938,26.340725168809566,175.38491150323657
ahmedabad,ssp245,ahmedabad_ssp245_baseline_2020s_hot_2029,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.33960288316071,0.0867157567049808,15.517241379310343,1.5684865900383145,7.637344833145049,1.766044061302682,12.110871647509578,0.0639148079863097,0.0433797473803932,0.0205350606059165,0.1058014335936836,0.0179597701149425,0.1131276937224843,10.841714559386974,0.0910190266832146,5.771072796934866,2356,0,1632,0,66.5439497716895,15.83607305936073,28.033939783105023,563848.6542251917,274253.7135144652,220280.71818336067,0.0,50721.71661490221,40.71777664945128,24863.22596945696,0.0,486374.75285483984,486374.75285483984,177.6660007619465,107.84403956709318,81.1644304794938,26.340725168809566,175.38491150323657
ahmedabad,ssp245,ahmedabad_ssp245_baseline_2020s_typical_2025,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.232496698653804,0.0399578544061302,10.015565134099615,0.3532088122605364,6.681159449261513,0.4011015325670498,6.13625478927203,0.0605734666813063,0.0397375290679018,0.0208359376134045,0.1030711536433976,0.0897988505747126,0.1053151210032599,9.506704980842912,0.0859337032841955,6.2140804597701145,2410,0,1642,0,65.16837899543378,15.83607305936073,28.02907391552511,549245.2000786598,259640.8256157777,210323.84852237525,0.0,46065.692599877475,40.71777664945128,24800.24974805744,0.0,479829.180753889,479829.180753889,178.39167997366792,108.30107235394466,82.22818313517374,26.340725168809566,176.19016026881332
ahmedabad,ssp245,ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.360118631341077,0.1043612308429118,14.619252873563218,1.317049808429119,7.456102994133377,1.424808429118774,6.896551724137931,0.0628785922988516,0.041821384346408,0.0210572079524435,0.1073371894209994,0.0299329501915708,0.1099274544940061,10.50646551724138,0.0905473569670442,6.615181992337164,2535,0,1700,0,66.98344748858447,15.836044520547944,28.02425799086758,575416.8630005167,285821.87972743786,230169.47579893304,0.0,52401.123975971626,40.71777664945128,24856.48198786443,0.0,497230.7625912581,497230.7625912581,181.5849282895276,111.4517613074396,84.70790410361383,26.340725168809566,176.74934516155892
ahmedabad,ssp245,ahmedabad_ssp245_late_2080s_hot_2081,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.360118631341077,0.1043612308429118,14.619252873563218,1.317049808429119,7.456102994133377,1.424808429118774,6.896551724137931,0.0628785922988516,0.041821384346408,0.0210572079524435,0.1073371894209994,0.0299329501915708,0.1099274544940061,10.50646551724138,0.0905473569670442,6.615181992337164,2535,0,1700,0,66.98344748858447,15.836044520547944,28.02425799086758,575416.8630005167,285821.87972743786,230169.47579893304,0.0,52401.123975971626,40.71777664945128,24856.48198786443,0.0,497230.7625912581,497230.7625912581,181.5849282895276,111.4517613074396,84.70790410361383,26.340725168809566,176.74934516155892
ahmedabad,ssp245,ahmedabad_ssp245_late_2080s_typical_2086,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.251362926930035,0.0499978448275862,12.27250957854406,1.7361111111111112,7.321803508485418,1.861829501915709,8.201628352490422,0.0633715425973361,0.042476347797803,0.020895194799533,0.1076518744261154,0.0598659003831417,0.1083355359529062,10.24904214559387,0.0894248849442766,6.627155172413793,2514,0,1684,0,65.75627853881278,15.836123002283106,28.027746860730595,551533.919715914,261916.71246888643,212156.2329381212,0.0,46509.18171404956,40.71777664945128,24829.216621485983,0.0,480109.6041714117,480109.6041714117,186.27269036159075,115.99371097329971,88.81956937102682,26.340725168809566,174.9801643549093
ahmedabad,ssp245,ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.370237122141926,0.1022702745849297,15.984195402298852,3.801484674329502,8.18420263931366,4.058908045977012,9.369013409961688,0.0645720822664818,0.0444919587469174,0.0200801235195644,0.1105970739479854,0.1436781609195402,0.1090174235738829,9.710249042145596,0.0904047430165718,5.9446839080459775,2376,0,1628,0,66.4783105022831,15.836044520547944,28.030500856164384,565212.844556356,275614.75466611714,222005.7956496842,0.0,50357.67590709867,40.71777664945128,25002.714491844137,0.0,487985.9199650534,487985.9199650534,185.5943581508248,115.51832341486111,88.81956937102682,26.340725168809566,175.09221709931074
ahmedabad,ssp245,ahmedabad_ssp245_mid_2050s_hot_2059,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.370237122141926,0.1022702745849297,15.984195402298852,3.801484674329502,8.18420263931366,4.058908045977012,9.369013409961688,0.0645720822664818,0.0444919587469174,0.0200801235195644,0.1105970739479854,0.1436781609195402,0.1090174235738829,9.710249042145596,0.0904047430165718,5.9446839080459775,2376,0,1628,0,66.4783105022831,15.836044520547944,28.030500856164384,565212.844556356,275614.75466611714,222005.7956496842,0.0,50357.67590709867,40.71777664945128,25002.714491844137,0.0,487985.9199650534,487985.9199650534,185.5943581508248,115.51832341486111,88.81956937102682,26.340725168809566,175.09221709931074
ahmedabad,ssp245,ahmedabad_ssp245_mid_2050s_typical_2058,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.181691778885224,0.009388130587484,9.4169061302682,0.7543103448275862,6.748672045128364,0.850095785440613,14.553400383141762,0.0616917814063626,0.0405453139385916,0.0211464674677709,0.1058290021974308,0.035919540229885,0.1023204514007795,9.033764367816092,0.0854406600805988,5.824952107279693,2333,0,1614,0,65.35958904109589,15.83607305936073,28.032783961187217,539123.1429429068,249516.8445627484,203350.4663032652,0.0,42915.092634319015,40.71777664945128,24892.173436065357,0.0,475480.7587714696,475480.7587714696,178.7368509072199,108.64915769886407,82.38676973524498,26.340725168809566,176.8523939011051
ahmedabad,ssp245,ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000005,27.253119188821085,0.0527482040229885,12.02705938697318,0.6585249042145593,6.9396403288005235,0.7662835249042145,7.95617816091954,0.0597467432728169,0.0389996586251775,0.0207470846476393,0.0980475998906396,0.0598659003831417,0.1008284824051052,7.429358237547892,0.0829258421256291,4.226532567049809,1991,0,1462,0,65.59646118721462,15.836044520547944,28.04185216894977,554158.4473608843,264544.70627929777,215012.5485524364,0.0,46280.866767863656,40.71777664945128,24843.359395877,0.0,476370.3571336543,476370.3571336543,182.7817022777984,112.90062920093716,86.45818936877255,26.340725168809566,176.07787037775168
