strategy,controller,n,facility_elec_pct,hvac_elec_pct,cooling_elec_pct,heating_elec_pct,peak_hvac_pct,pmv_violation_pp,adaptive_violation_pp,mean_tail_pp,max_tail_pp,abs_p90_tail_pct
paperb_adaptive_band_relax,Adaptive-band guard,144,-5.3304420048348735,-11.801692518457168,-6.280793492588333,-82.37801701824142,-0.07552509519746327,-39.81514740315028,13.12800992443593,-1.1697547493614302,1.294225933908046,
paperb_pmv_exceedance_guard_relax,PMV exceedance guard,144,-4.630954769667899,-9.995494831993073,-5.628474037848602,8.786130396016024,-0.053159849823005485,-27.54305356002554,6.518897669220944,2.492749574286931,4.066349709982971,
paperb_ppd_guard_relax,PPD guard,144,-4.612062223737192,-9.953943766984901,-5.591987997344992,10.521152135273718,-0.06299856652236782,-27.160660121328224,6.565418462643678,2.508048637718178,4.057452972009366,
paperb_gate_tail_asym_relax,Mean-zone TSV-tail guard,144,-5.923142417283046,-13.289914766814743,-6.908811132569601,-88.90696790334438,-0.07522328915260218,-45.67082235791826,16.18632596317582,0.3106375053214134,3.0877916799702003,
paperb_p90_tail_asym_relax,p90-zone TSV-tail guard,144,-5.638189430057403,-12.57697290180537,-6.768783878653453,-84.6903826173665,-0.0752260689854941,-45.1359787409536,15.458622685185183,-0.9784748829289059,2.8927286212217966,8.95810052149851
paperb_mu_relax,Expected-TSV guard,144,-5.941827190886035,-13.35666116447173,-6.88669523427093,-89.323716278508,-0.07522671447474731,-45.46062652990634,16.282485565666242,0.9344485020221371,3.0972704475308643,
