weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.321804686843972,-0.8398973100255428,78.89727011494253,36.889367816091955,23.88378578293602,39.912595785440615,30.932710727969347,0.08575280764791976,0.05653654114496088,0.02921626650295889,0.14736883124703673,0.6226053639846743,0.12647590605002704,8.42911877394636,0,0,0,0,63.62442922374429,16.767123287671232,27.13972602739726,510594.51073621196,220365.50089359126,161127.49948998037,517.2739411757705,55468.690571943655,40.71777664945128,28235.351032741873,301.6835939690171,476288.4925819296,476590.17617589864,182.2963335928197,112.41016665096532,84.39815257050229,27.493957014244213,181.98038736473572
phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,26.46157131641444,-0.41532650862068965,38.63146551724138,18.498563218390803,15.027720917050742,19.6360153256705,34.48275862068966,0.08439378090648937,0.06451685500224055,0.01987692590424882,0.16214168357768352,0.712404214559387,0.1305779237551685,13.811063218390803,2486,4616,1730,0,65.04851598173515,15.840610730593607,27.88901969178082,477400.3040712218,187171.2942286011,147244.2391598125,110.77516036726065,36564.243017929824,40.71777664945128,29989.01656180644,85.24666019969793,460175.16419097775,460260.4108511775,181.94428187871085,112.02235764826362,84.03355362218774,27.493957014244213,179.61854681942094
phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,26.78355146224288,-0.29339938537675603,27.873563218390807,8.159722222222223,10.943467746789732,8.668582375478927,40.85847701149425,0.09209522796119365,0.07400273046613429,0.018092497495059385,0.196462441718997,4.3821839080459775,0.1421710190700683,21.012931034482758,1961,0,1417,0,65.28538812785388,15.836044520547945,28.04761700913242,471934.0969246468,181705.08708202603,144758.261328384,78.65101700555194,33616.13784614498,40.71777664945128,29347.256059801923,59.82279431584233,454241.09091719193,454300.9137115078,181.94428187871085,112.02235764826362,84.03355362218774,27.493957014244213,179.61854681950746
phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_mu_relax,35040,16704,0.8543330000000003,93.20000000000003,26.77185190983932,-0.2980327666028097,29.142720306513407,7.728687739463602,10.975043659598962,8.153735632183908,40.81058429118774,0.0924039739332903,0.07423643436509862,0.018167539568191688,0.20022078580689387,5.046695402298851,0.14246987316626514,20.994971264367816,2580,0,1702,0,65.27682648401827,15.836472602739725,28.044270833333332,472357.5818732328,182128.57203061215,144922.91685801948,77.9503613944799,33875.66792070662,40.71777664945128,29408.26531839701,59.191461440146114,454413.1682241094,454472.3596855495,181.94197331065038,112.01999352763725,84.03091167348198,27.493957014244213,178.97116279794585
phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_pmv_exceedance_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.29222172248472,-0.47851169380587494,56.26197318007663,15.020354406130268,15.62746701692721,17.24736590038314,28.13697318007663,0.08926069986682432,0.06826946293736205,0.020991236929462254,0.18418554415357788,3.6099137931034484,0.13520568517728693,15.876436781609197,3038,6889,529,742,64.91723744292237,16.51776472117803,27.75301015496798,479978.4803655098,189749.47052288905,148145.1664627988,691.9614563346292,37660.30571326411,40.71777664945128,28521.63120288154,371.2472759083174,462609.9899066291,462981.23718253744,181.94302205877239,112.02105066520582,84.03204954208101,27.493957014244213,179.05932253247403
phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_ppd_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.29083347653608,-0.4791362547892721,56.83069923371647,14.248084291187741,15.574056610954068,16.25359195402299,28.23275862068966,0.08938058108918708,0.06830870822224669,0.02107187286694041,0.18418554415357788,3.6099137931034484,0.13562240579296025,16.12188697318008,3227,6831,512,803,64.9771689497717,16.534909148194473,27.752367766915935,480109.794867503,189880.78502488238,148216.69824714464,690.7910107300992,37721.25887651611,40.71777664945128,28515.38124061276,371.17837271639866,462561.1926310251,462932.37100374146,181.9430489025661,112.0210790340006,84.03208645271654,27.493957014244213,179.0226699177681
phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,reference,35040,16704,0.8543330000000003,93.20000000000003,25.321804686843972,-0.8398973100255428,78.89727011494253,36.889367816091955,23.88378578293602,39.912595785440615,30.932710727969347,,,,,0.0,,0.0,0,0,0,0,63.62442922374429,16.767123287671232,27.13972602739726,510594.51073621196,220365.50089359126,161127.49948998037,517.2739411757705,55468.690571943655,40.71777664945128,28235.351032741873,301.6835939690171,476288.4925819296,476590.17617589864,182.2963335928197,112.41016665096532,84.39815257050229,27.493957014244213,181.98038736473572
phoenix_ssp245_baseline_2020s_hot_2028,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.401198421654506,-0.7953979086845465,80.41187739463601,31.956417624521073,22.18509640462754,35.332854406130274,22.06058429118774,0.07793187855933476,0.0489897136937031,0.02894216486563167,0.13515039411099744,0.0,0.11300459944970512,4.75933908045977,0,0,0,0,63.69006849315069,16.767123287671232,27.13972602739726,516413.6524646947,226660.9826836392,167532.5301207726,264.04081677727555,55612.962516316045,40.71777664945128,26949.383180834717,177.05105867886266,487656.6029661959,487833.65402487473,184.94939411737198,114.98199087574531,86.83473405476327,27.493957014244213,180.81049580613603
phoenix_ssp245_baseline_2020s_hot_2028,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,26.681159204011916,-0.3184775303320562,32.57303639846743,10.997365900383143,11.859225135402257,11.793582375478927,29.561781609195403,0.07785572825238131,0.057730326278994465,0.02012540197338686,0.1492849303055227,0.08381226053639847,0.1162344381313471,8.249521072796934,1968,4276,1574,0,65.41952054794521,15.840746289954337,27.945540810502283,481606.2205409112,191853.55075985572,152130.40546491797,45.730872038199735,36425.965193126314,40.71777664945128,27939.61678330392,34.965678254348795,469297.1303841847,469332.0960624391,184.87924992705663,114.98382444716857,86.99405506365324,27.493957014244213,181.3709222792441
phoenix_ssp245_baseline_2020s_hot_2028,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,26.938172900762275,-0.22086929278416345,21.767241379310345,3.7176724137931036,8.918865019162036,4.028975095785441,35.11733716475096,0.0815196470258515,0.06291912155811019,0.018600525467741314,0.1694235310233585,1.5445402298850575,0.12175432051309032,11.709770114942529,1376,0,1193,0,65.77625570776256,15.83607305936073,28.064990011415524,476902.9511979724,187150.2814169169,149983.01249776979,33.374022778573405,33882.44566659535,40.71777664945128,27515.915577377134,25.2635261912991,464715.327525442,464740.5910516333,184.95726644580827,114.99476563494278,86.9264853950541,27.493957014244213,181.37092227928872
phoenix_ssp245_baseline_2020s_hot_2028,paperb_mu_relax,35040,16704,0.8543330000000003,93.20000000000003,26.923061486354662,-0.22672158365261816,22.7610153256705,3.7595785440613025,9.046105736381842,4.112787356321839,34.979645593869726,0.08111598952489975,0.06242273683648482,0.01869325268841495,0.16743449534574675,1.2272509578544062,0.1214735163460302,11.524185823754788,1985,0,1486,0,65.75913242009133,15.836501141552512,28.05890410958904,477283.8345031844,187531.16472212895,150104.18627262427,33.94252875073013,34141.586690980716,40.71777664945128,27558.89255676808,25.72834055494934,464896.0107529375,464921.73909349245,184.95716834444292,114.99468802954806,86.92685323322372,27.493957014244213,181.46728876653393
phoenix_ssp245_baseline_2020s_hot_2028,paperb_pmv_exceedance_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.36797980391579,-0.435693127394636,55.25622605363984,10.632183908045976,14.19728742154487,12.751436781609197,22.958572796934863,0.0787222419182706,0.05686144669703557,0.02186079522123503,0.1490393483680068,0.46096743295019155,0.115948279188695,7.6209291187739465,2340,7454,564,546,64.99714611872146,16.458180606093038,27.74440349422089,486467.96815910575,196715.2983780503,154184.3614421722,284.12759589054485,38995.360110214264,40.71777664945128,27107.1823611183,182.57988940086145,474018.0083083426,474200.5881977435,184.95700300230072,114.99455724198761,86.92746824485003,27.493957014244213,181.70128754015033
phoenix_ssp245_baseline_2020s_hot_2028,paperb_ppd_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.373057122104726,-0.4338261893358876,55.47174329501916,9.91977969348659,14.106063043064653,11.829501915708812,23.144157088122604,0.07874526757141137,0.056856562019935344,0.02188870555147603,0.14894198405984557,0.4549808429118774,0.11611364545427942,7.692768199233717,2534,7356,558,607,64.98858447488584,16.473942949129565,27.747444661458335,486390.4437985182,196637.77401746274,154181.9092678823,285.5557547580681,38918.8597650491,40.71777664945128,27097.808907071732,183.13351087905846,473896.8097714336,474079.94328231266,184.95700300230072,114.99455724198761,86.92746824485003,27.493957014244213,181.7012875401493
phoenix_ssp245_baseline_2020s_hot_2028,reference,35040,16704,0.8543330000000003,93.20000000000003,25.401198421654506,-0.7953979086845465,80.41187739463601,31.956417624521073,22.18509640462754,35.332854406130274,22.06058429118774,,,,,0.0,,0.0,0,0,0,0,63.69006849315069,16.767123287671232,27.13972602739726,516413.6524646947,226660.9826836392,167532.5301207726,264.04081677727555,55612.962516316045,40.71777664945128,26949.383180834717,177.05105867886266,487656.6029661959,487833.65402487473,184.94939411737198,114.98199087574531,86.83473405476327,27.493957014244213,180.81049580613603
phoenix_ssp245_baseline_2020s_typical_2026,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.36764609504854,-0.818173770753512,83.59075670498083,30.058668582375482,22.350178736774488,33.17169540229885,28.873323754789272,0.08252093361964738,0.05415375010718664,0.028367183512460727,0.1572951412269657,0.7602969348659003,0.12105795431959922,8.722461685823754,0,0,0,0,63.51312785388128,16.767123287671232,27.13972602739726,510735.19743481476,221006.63633213806,161689.78063617754,301.35423803582444,55764.07335152653,40.71777664945128,27921.499247163683,190.37462217286986,490308.2139586643,490498.5885808372,185.3791496662335,115.47445130265353,87.45373247861899,27.493957014244213,180.23829075497252
phoenix_ssp245_baseline_2020s_typical_2026,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,26.566600642863836,-0.37013809067688375,34.3330938697318,14.966475095785443,13.52762660949739,16.014128352490424,31.25,0.08091322142207384,0.0612599430248254,0.01965327839724843,0.1615008345398333,1.0835727969348659,0.12250385507331828,12.404214559386974,2624,3908,1695,0,65.29965753424658,15.845055650684932,27.88812785388128,477582.8016385118,187854.240535835,146813.80709377496,75.22741794387572,37713.77791771807,40.71777664945128,29212.376738771116,60.577683147407996,472923.8263745644,472984.40405771177,185.57033470512263,115.66061747077941,87.67625255833426,27.493957014244213,180.59892249608916
phoenix_ssp245_baseline_2020s_typical_2026,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,26.85912907202049,-0.25958449074074075,23.389607279693486,7.0102969348659006,9.955242450962333,7.441331417624521,36.7397030651341,0.08790112917017245,0.0699170897652491,0.01798403940492333,0.204419319639254,5.711206896551724,0.13418214595849184,18.82183908045977,2217,0,1489,0,65.51940639269407,15.83607305936073,28.032883847031965,471985.41919114697,182256.85808847012,144325.69957443068,54.49211086133469,34625.23829677999,40.71777664945128,28814.46820293347,43.00363877713678,467811.53329816397,467854.53693694115,185.57033470512263,115.66061747077941,87.67625255833426,27.493957014244213,180.59892249622146
phoenix_ssp245_baseline_2020s_typical_2026,paperb_mu_relax,35040,16704,0.8543330000000003,93.20000000000003,26.843536493990737,-0.265691251596424,24.64080459770115,6.746886973180076,9.997338611676318,7.29765325670498,36.637931034482754,0.08799568022243534,0.06989978062567984,0.018095899596755526,0.20971159399872655,6.4894636015325675,0.13462220811409348,18.552442528735632,2882,0,1820,0,65.55365296803653,15.836643835616439,28.02875285388128,472610.09852480545,182881.5374221286,144558.93640840036,53.54774399225505,35017.62516333784,40.71777664945128,28930.756482426474,42.18864305230279,467961.3423523685,468003.5309954208,185.56793298923847,115.6582084606372,87.7316695664221,27.493957014244213,180.5277571488202
phoenix_ssp245_baseline_2020s_typical_2026,paperb_pmv_exceedance_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.475027782012056,-0.4046775223499361,47.7610153256705,10.686063218390805,13.1976272079358,12.446120689655173,27.304837164750957,0.08706021620369629,0.06692456751533735,0.020135648688358945,0.20545079135169506,5.483716475095785,0.12882280086660386,15.056273946360152,2490,6193,705,531,65.2796803652968,16.378162596541454,27.802691706130492,478002.40211524937,188273.84101257255,146517.36492327537,342.6561808904822,38162.39180200861,40.71777664945128,28133.81514989027,200.01637568068384,474167.9958067804,474368.01218246116,185.568465433338,115.65872838610014,87.73129710154308,27.493957014244213,180.76130665557838
phoenix_ssp245_baseline_2020s_typical_2026,paperb_ppd_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.477260104926145,-0.403908285440613,47.83884099616858,9.985632183908045,13.138656657328756,11.649904214559387,27.25095785440613,0.08719863162317736,0.06706509262268202,0.020133539000495332,0.2057083404623556,5.573515325670498,0.12906056669420693,15.193965517241379,2643,6126,697,588,65.27111872146119,16.389515915962114,27.803906612309145,477988.05871245725,188259.49760978055,146539.7077179132,342.10819740557685,38126.25358806364,40.71777664945128,28126.887975658916,199.69417342232555,474118.0034989834,474317.6976724057,185.56846565693482,115.65872838610014,87.73129616262015,27.493957014244213,180.76130665393367
phoenix_ssp245_baseline_2020s_typical_2026,reference,35040,16704,0.8543330000000003,93.20000000000003,25.36764609504854,-0.818173770753512,83.59075670498083,30.058668582375482,22.350178736774488,33.17169540229885,28.873323754789272,,,,,0.0,,0.0,0,0,0,0,63.51312785388128,16.767123287671232,27.13972602739726,510735.19743481476,221006.63633213806,161689.78063617754,301.35423803582444,55764.07335152653,40.71777664945128,27921.499247163683,190.37462217286986,490308.2139586643,490498.5885808372,185.3791496662335,115.47445130265353,87.45373247861899,27.493957014244213,180.23829075497252
phoenix_ssp245_late_2080s_heatwave_extreme_2086,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.79014839868991,-0.6189531449553002,71.65948275862068,23.545258620689655,19.213211779337666,26.466714559386972,27.96336206896552,0.07859603522141571,0.047828643083761176,0.03076739213765455,0.13501116932945512,0.05387931034482758,0.11852309215751175,5.818965517241379,0,0,0,0,66.22146118721462,16.767123287671232,27.13972602739726,557891.8245409905,268171.2833047388,198528.8222038925,198.26197487588755,66192.77753316189,40.71777664945128,26418.408511511294,134.16155311148842,523151.1910414066,523285.352594518,190.1169033582723,120.24019788065934,92.30310460794661,27.493957014244213,179.31117420572193
phoenix_ssp245_late_2080s_heatwave_extreme_2086,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,26.873395069869137,-0.21752546296296296,33.13577586206897,10.338840996168583,11.801372071820188,11.320641762452107,27.071360153256705,0.07690725000271889,0.05571498566522527,0.021192264337493626,0.14498822252427418,0.19157088122605362,0.12020012097953248,9.578544061302683,2121,3711,1598,1,67.89383561643835,15.851020262557078,27.928631563926942,523790.8816419396,234070.34040568792,184215.92536450556,28.617927925080565,46574.375520448724,40.71777664945128,27300.171284452594,21.196250377414056,508814.1569334598,508835.3531838373,190.32903669866755,120.44768401079563,92.83890250134067,27.493957014244213,179.81770392856924
phoenix_ssp245_late_2080s_heatwave_extreme_2086,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.150408888686755,-0.11253017241379311,21.863026819923373,3.8852969348659006,8.910834982925879,4.274425287356322,31.172174329501917,0.0804876481479639,0.06110825311507107,0.01937939503289281,0.17021952264326973,1.8917624521072798,0.12623413667341107,13.781130268199234,1443,0,1212,0,68.087899543379,15.836044520547945,28.06166523972603,517592.9296581293,227872.38842187775,181652.68930726277,14.277391081016496,42954.000130725406,40.71777664945128,26884.278943597667,9.951193645815911,504062.940565575,504072.89175922074,190.34023343873267,120.46038167612927,92.7775759339267,27.493957014244213,179.81770392840477
phoenix_ssp245_late_2080s_heatwave_extreme_2086,paperb_mu_relax,35040,16704,0.8543330000000003,93.20000000000003,27.13365710750014,-0.11902051404853131,22.928639846743295,3.9331896551724137,9.031008349097103,4.346264367816092,30.920737547892717,0.0800924973068271,0.060603984035132126,0.019488513271694985,0.16581478154524548,1.9815613026819925,0.12619809109131053,13.547653256704981,2166,0,1542,0,68.09075342465754,15.836615296803654,28.052796803652967,518092.4706768966,228371.92944064506,181819.88786385182,14.86474576056595,43285.75523822409,40.71777664945128,26940.176550713175,10.465870873482126,504246.8016866055,504257.26755747903,190.34009994018012,120.46024499500012,92.77868899478412,27.493957014244213,179.81769698381598
phoenix_ssp245_late_2080s_heatwave_extreme_2086,paperb_pmv_exceedance_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.846639748698735,-0.22762324393358876,40.08022030651341,8.183668582375478,11.576037809682362,9.482758620689655,25.047892720306514,0.0776969825090296,0.05651222051767693,0.021184761991352666,0.15158924095209173,1.2751436781609196,0.1200977179372165,9.410919540229886,2269,5328,930,380,67.75970319634703,16.216887940010523,27.877504378366687,521466.9898808315,231746.4486445799,182406.33168218547,218.91419368864052,45869.78117589727,40.71777664945128,26481.017445497448,136.79441571794078,508745.223106287,508882.01752200496,190.33943764223656,120.45957203592828,92.78183935918436,27.493957014244213,179.27512367387405
phoenix_ssp245_late_2080s_heatwave_extreme_2086,paperb_ppd_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.811398538785113,-0.24085759897828862,42.019875478927204,7.836446360153257,11.770379096942067,9.14750957854406,25.071839080459768,0.07782116958464899,0.056402008550592235,0.021419161034056743,0.15210015698520105,1.3469827586206895,0.12042735307324623,9.470785440613026,2424,5616,933,419,67.9195205479452,16.243144957659997,27.85712184122164,522508.91227546375,232788.37103921213,182916.65171162848,218.22077979941255,46402.076954975644,40.71777664945128,26477.468764002,136.0676671162888,509284.7894629373,509420.85713005357,190.33943764223656,120.45957203592828,92.78183935918436,27.493957014244213,179.2396417310512
phoenix_ssp245_late_2080s_heatwave_extreme_2086,reference,35040,16704,0.8543330000000003,93.20000000000003,25.79014839868991,-0.6189531449553002,71.65948275862068,23.545258620689655,19.213211779337666,26.466714559386972,27.96336206896552,,,,,0.0,,0.0,0,0,0,0,66.22146118721462,16.767123287671232,27.13972602739726,557891.8245409905,268171.2833047388,198528.8222038925,198.26197487588755,66192.77753316189,40.71777664945128,26418.408511511294,134.16155311148842,523151.1910414066,523285.352594518,190.1169033582723,120.24019788065934,92.30310460794661,27.493957014244213,179.31117420572193
phoenix_ssp245_late_2080s_hot_2086,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.79014839868991,-0.6189531449553002,71.65948275862068,23.545258620689655,19.213211779337666,26.466714559386972,27.96336206896552,0.07859603522141571,0.047828643083761176,0.03076739213765455,0.13501116932945512,0.05387931034482758,0.11852309215751175,5.818965517241379,0,0,0,0,66.22146118721462,16.767123287671232,27.13972602739726,557891.8245409905,268171.2833047388,198528.8222038925,198.26197487588755,66192.77753316189,40.71777664945128,26418.408511511294,134.16155311148842,523151.1910414066,523285.352594518,190.1169033582723,120.24019788065934,92.30310460794661,27.493957014244213,179.31117420572193
