weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.478429666496588,-0.7623494971264368,76.23323754789271,33.878113026819925,22.322551360890134,36.92528735632184,26.137452107279696,0.08036308297502788,0.05046638901454834,0.029896693960479538,0.13692842561743027,0.16762452107279693,0.1174947766334751,5.573515325670498,0,0,0,0,64.40353881278538,16.767123287671232,27.13972602739726,528061.0201735058,237190.8156706164,175032.17983697806,362.1521364368799,58543.6656520261,40.71777664945128,26880.787676397096,218.54413984507048,487469.0515765804,487687.59571642533,191.34480033444981,121.13999734472301,93.04988252736985,27.493957014244213,181.2087962167865
phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,26.65009650734825,-0.3265188378033206,34.770114942528735,13.182471264367814,13.08324583874032,14.12236590038314,32.11805555555556,0.07907770274334606,0.058577161636529304,0.020500541106816775,0.14889246180265175,0.16163793103448276,0.12137749980143624,10.03352490421456,2013,4658,1613,1,66.03881278538812,15.84375,27.9361301369863,493990.1538626376,203119.94935974816,160703.62840934284,49.88761308372273,39113.615292146256,40.71777664945128,27909.23819692053,36.68153108527713,471050.4382647867,471087.119795872,191.50946248113596,121.30032811351727,93.59151103108475,27.493957014244213,182.14274896314075
phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,26.91533095267352,-0.22593965517241382,24.521072796934863,5.70522030651341,9.94151204469584,6.172174329501916,37.26053639846743,0.08311861065190466,0.06426122744215222,0.018857383209752453,0.17024942741831953,1.5445402298850575,0.12780343993013143,13.912835249042146,1374,0,1188,0,66.26712328767124,15.836044520547945,28.06392694063927,489047.01586678234,198176.8113638929,158387.61051456805,33.767098539949615,36502.615705609576,40.71777664945128,27514.807272707858,24.768150669055277,466197.85277206294,466222.620922732,191.50946248113596,121.30032811351727,93.59151103108475,27.493957014244213,182.49761323451133
phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,paperb_mu_relax,35040,16704,0.8543330000000003,93.20000000000003,26.907863443104187,-0.22887623722860795,25.137691570881227,5.657327586206897,9.968147892104401,6.100335249042145,37.18869731800766,0.08309770433266017,0.06419037624578906,0.0189073280868711,0.16925305524452453,1.8977490421455938,0.1280073079534013,13.924808429118773,1909,0,1462,0,66.2642694063927,15.836558219178082,28.059303652968037,489356.4892605473,198486.28475765776,158494.20054688593,33.906891801293014,36705.35927379523,40.71777664945128,27543.656378101354,24.74129627313237,466248.9848131868,466273.72610945994,191.5096668589131,121.30055574050078,93.61610838847888,27.493957014244213,182.4667101286958
phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,paperb_pmv_exceedance_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.450490918928974,-0.4013852969348659,51.42480842911878,12.751436781609197,14.462027789417597,14.87667624521073,23.22198275862069,0.08162977757631944,0.060232876535706185,0.02139690104061326,0.1571627336408476,1.4547413793103448,0.12203272325443375,10.057471264367816,2742,6460,616,622,65.9189497716895,16.42621610110209,27.789343954983366,496027.81004489446,205157.60554200498,161163.62030135415,508.57027081022744,40232.59692466524,40.71777664945128,27062.89340121839,267.8024350928185,474061.15218005964,474328.9546151525,191.51274026483156,121.30332528927838,93.61842843619198,27.493957014244213,182.03087259316348
phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,paperb_ppd_guard_relax,35040,16704,0.8543330000000003,93.20000000000003,26.457066997078254,-0.3990406689016603,51.78400383141762,11.901340996168583,14.302778684292,13.727250957854405,23.742816091954023,0.08160934163517201,0.060159877386369034,0.021449464248802976,0.1562336707338766,1.496647509578544,0.12260966630528022,10.165229885057471,2905,6422,617,672,65.92180365296804,16.440446055860825,27.792679217961282,496096.1430486875,205225.93854579798,161161.1240923938,507.5222463659167,40304.47416186291,40.71777664945128,27050.411893735465,267.666038511881,473920.8033201034,474188.4693586153,191.51265952022618,121.3032337336137,93.61927291747203,27.493957014244213,182.03037097678686
phoenix_ssp585_baseline_2020s_heatwave_extreme_2025,reference,35040,16704,0.8543330000000003,93.20000000000003,25.478429666496588,-0.7623494971264368,76.23323754789271,33.878113026819925,22.322551360890134,36.92528735632184,26.137452107279696,,,,,0.0,,0.0,0,0,0,0,64.40353881278538,16.767123287671232,27.13972602739726,528061.0201735058,237190.8156706164,175032.17983697806,362.1521364368799,58543.6656520261,40.71777664945128,26880.787676397096,218.54413984507048,487469.0515765804,487687.59571642533,191.34480033444981,121.13999734472301,93.04988252736985,27.493957014244213,181.2087962167865
phoenix_ssp585_baseline_2020s_hot_2025,diagnostic_reference,35040,16704,0.8543330000000003,93.20000000000003,25.478429666496588,-0.7623494971264368,76.23323754789271,33.878113026819925,22.322551360890134,36.92528735632184,26.137452107279696,0.08036308297502788,0.05046638901454834,0.029896693960479538,0.13692842561743027,0.16762452107279693,0.1174947766334751,5.573515325670498,0,0,0,0,64.40353881278538,16.767123287671232,27.13972602739726,528061.0201735058,237190.8156706164,175032.17983697806,362.1521364368799,58543.6656520261,40.71777664945128,26880.787676397096,218.54413984507048,487469.0515765804,487687.59571642533,191.34480033444981,121.13999734472301,93.04988252736985,27.493957014244213,181.2087962167865
phoenix_ssp585_baseline_2020s_hot_2025,paperb_adaptive_band_relax,35040,16704,0.8543330000000003,93.20000000000003,26.65009650734825,-0.3265188378033206,34.770114942528735,13.182471264367814,13.08324583874032,14.12236590038314,32.11805555555556,0.07907770274334606,0.058577161636529304,0.020500541106816775,0.14889246180265175,0.16163793103448276,0.12137749980143624,10.03352490421456,2013,4658,1613,1,66.03881278538812,15.84375,27.9361301369863,493990.1538626376,203119.94935974816,160703.62840934284,49.88761308372273,39113.615292146256,40.71777664945128,27909.23819692053,36.68153108527713,471050.4382647867,471087.119795872,191.50946248113596,121.30032811351727,93.59151103108475,27.493957014244213,182.14274896314075
phoenix_ssp585_baseline_2020s_hot_2025,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,26.91533095267352,-0.22593965517241382,24.521072796934863,5.70522030651341,9.94151204469584,6.172174329501916,37.26053639846743,0.08311861065190466,0.06426122744215222,0.018857383209752453,0.17024942741831953,1.5445402298850575,0.12780343993013143,13.912835249042146,1374,0,1188,0,66.26712328767124,15.836044520547945,28.06392694063927,489047.01586678234,198176.8113638929,158387.61051456805,33.767098539949615,36502.615705609576,40.71777664945128,27514.807272707858,24.768150669055277,466197.85277206294,466222.620922732,191.50946248113596,121.30032811351727,93.59151103108475,27.493957014244213,182.49761323451133
