Controller,Relax actions,Guard holds,Protection actions,Warm protection,Cold protection
Adaptive-band guard,2233.9236111111113,3602.2916666666665,1447.0208333333333,1446.5069444444443,0.5138888888888888
PMV exceedance guard,3024.2291666666665,5333.284722222223,1390.9097222222222,861.0833333333334,529.8263888888889
PPD guard,3164.222222222222,5355.048611111111,1429.5972222222222,870.4375,559.1597222222222
Mean-zone TSV-tail guard,1712.9027777777778,0.0,1291.9930555555557,1291.5555555555557,0.4375
p90-zone TSV-tail guard,2924.6319444444443,0.0,1682.173611111111,1666.4722222222222,15.70138888888889
Expected-TSV guard,1817.9027777777778,0.0,1376.8402777777778,1375.5555555555557,1.2847222222222223
