city,pathway,weather,strategy,strategy_label,time_slice,role,year,delta_pct_electricity_kwh,delta_pct_hvac_electricity_kwh,delta_pct_cooling_electricity_kwh,delta_pct_heating_electricity_kwh,delta_pct_natural_gas_kwh,delta_pct_peak_hvac_electric_kw_15min,delta_pmv_violation_pct_occ,abs_pmv_violation_pct_occ,delta_adaptive_violation_pct_occ,abs_adaptive_violation_pct_occ,delta_mean_zone_p_tail_ge_0p20_pct_occ,abs_mean_zone_p_tail_ge_0p20_pct_occ,delta_max_zone_p_tail_ge_0p20_pct_occ,abs_max_zone_p_tail_ge_0p20_pct_occ,abs_p90_zone_p_tail_ge_0p20_pct_occ
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,paperb_adaptive_band_relax,Adaptive,baseline_2020s,heatwave_extreme,2029,-6.243451469949009,-12.075578810874564,-5.907261435282148,-100.0,-0.0712372062731233,-0.30721108360636135,-38.350095785440615,16.68462643678161,7.722701149425288,11.907327586206897,0.0179597701149425,0.0179597701149425,6.549329501915707,10.554358237547891,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,paperb_gate_tail_asym_relax,Mean TSV tail,baseline_2020s,heatwave_extreme,2029,-6.434935403356623,-12.4459315460579,-6.194861862340016,-100.0,-0.07656086501721425,-0.30721108360636135,-39.72701149425288,15.307710727969347,9.039750957854409,13.224377394636017,0.0179597701149425,0.0179597701149425,6.950431034482758,10.955459770114942,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,paperb_mu_relax,Expected TSV,baseline_2020s,heatwave_extreme,2029,-6.427770811136502,-12.432074371317551,-6.190387140173616,-100.0,-0.07635481799643548,-0.30721108360636135,-39.70306513409962,15.331657088122604,9.009818007662837,13.194444444444445,0.0179597701149425,0.0179597701149425,6.914511494252874,10.919540229885058,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,paperb_pmv_exceedance_guard_relax,PMV guard,baseline_2020s,heatwave_extreme,2029,-6.242648371050987,-12.074025521947352,-6.352875415203921,-46.97041027929225,-0.33237878779133884,-0.3072614739771404,-33.22557471264368,21.809147509578544,4.980842911877395,9.165469348659004,0.0179597701149425,0.0179597701149425,5.465756704980842,9.470785440613026,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,paperb_ppd_guard_relax,PPD guard,baseline_2020s,heatwave_extreme,2029,-6.216748283972202,-12.023931668534097,-6.333058254118022,-35.74119627404777,-0.33163509575101124,-0.3072614739771404,-32.8963122605364,22.138409961685824,4.699473180076629,8.884099616858238,0.0179597701149425,0.0179597701149425,5.459770114942527,9.464798850574711,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_hot_2029,paperb_adaptive_band_relax,Adaptive,baseline_2020s,hot,2029,-6.243451469949009,-12.075578810874564,-5.907261435282148,-100.0,-0.0712372062731233,-0.30721108360636135,-38.350095785440615,16.68462643678161,7.722701149425288,11.907327586206897,0.0179597701149425,0.0179597701149425,6.549329501915707,10.554358237547891,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_hot_2029,paperb_gate_tail_asym_relax,Mean TSV tail,baseline_2020s,hot,2029,-6.434935403356623,-12.4459315460579,-6.194861862340016,-100.0,-0.07656086501721425,-0.30721108360636135,-39.72701149425288,15.307710727969347,9.039750957854409,13.224377394636017,0.0179597701149425,0.0179597701149425,6.950431034482758,10.955459770114942,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_hot_2029,paperb_mu_relax,Expected TSV,baseline_2020s,hot,2029,-6.427770811136502,-12.432074371317551,-6.190387140173616,-100.0,-0.07635481799643548,-0.30721108360636135,-39.70306513409962,15.331657088122604,9.009818007662837,13.194444444444445,0.0179597701149425,0.0179597701149425,6.914511494252874,10.919540229885058,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_hot_2029,paperb_pmv_exceedance_guard_relax,PMV guard,baseline_2020s,hot,2029,-6.242648371050987,-12.074025521947352,-6.352875415203921,-46.97041027929225,-0.33237878779133884,-0.3072614739771404,-33.22557471264368,21.809147509578544,4.980842911877395,9.165469348659004,0.0179597701149425,0.0179597701149425,5.465756704980842,9.470785440613026,
Ahmedabad,SSP245,ahmedabad_ssp245_baseline_2020s_hot_2029,paperb_ppd_guard_relax,PPD guard,baseline_2020s,hot,2029,-6.216748283972202,-12.023931668534097,-6.333058254118022,-35.74119627404777,-0.33163509575101124,-0.3072614739771404,-32.8963122605364,22.138409961685824,4.699473180076629,8.884099616858238,0.0179597701149425,0.0179597701149425,5.459770114942527,9.464798850574711,
