strategy_label,hvac_elec_delta_pct,peak_hvac_delta_pct,max_tail_pct,pmv_violation_pct,relax_density_pct,hold_density_pct,warm_protect_density_pct
Reference,0.0,0.0,27.8125,81.875,0.0,0.0,0.0
Adaptive,-1.536160202896838,0.0,28.020833333333332,81.45833333333333,6.25,6.25,6.25
PMV guard,-1.046020190826862,0.0,27.500000000000004,81.875,58.4375,32.29166666666667,19.375
PPD guard,-1.0158436329845895,0.0,27.604166666666668,81.97916666666667,60.520833333333336,31.145833333333332,19.270833333333336
Mean TSV tail,-1.536160202896838,0.0,28.020833333333332,81.45833333333333,16.041666666666668,0.0,10.625
p90 TSV tail,-1.536160202896838,0.0,28.020833333333332,81.45833333333333,34.375,0.0,17.291666666666668
Expected TSV,-1.536160202896838,0.0,28.020833333333332,81.45833333333333,33.125,0.0,16.041666666666668
