Guard,Threshold,Facility elec. change (%),HVAC elec. change (%),Mean-tail change (pp),Any-zone tail change (pp),n_cases
Mean-zone TSV-tail guard,0.15,-5.82559630868901,-13.031620389588333,-0.7351449419965943,2.7613562287143467,144
Mean-zone TSV-tail guard,0.2,-5.923142417283046,-13.289914766814743,0.3106375053214134,3.0877916799702003,144
Mean-zone TSV-tail guard,0.25,-5.995947373594177,-13.49791073678066,1.1021561701787996,3.102467140272456,144
p90-zone TSV-tail guard,0.15,-4.957015866852103,-10.97264681887168,-1.320957721370796,2.097842499467859,144
p90-zone TSV-tail guard,0.2,-5.638189430057403,-12.57697290180537,-0.9784748829289059,2.892728621221797,144
p90-zone TSV-tail guard,0.25,-5.7453394864833935,-12.865599536923263,-0.8860568992124308,2.9468989463601534,144
