city,pathway,strategy_label,facility_elec_pct,hvac_elec_pct,cooling_elec_pct,heating_elec_pct,pmv_violation_pp,adaptive_violation_pp,mean_tail_pp,max_tail_pp
Ahmedabad,SSP245,Adaptive,-6.386038108820769,-12.491293979336056,-6.424017386380391,-99.86808068132592,-45.59237308429118,6.049449233716474,0.027937420178799476,5.772569444444444
Ahmedabad,SSP245,PMV guard,-6.385869131980176,-12.490748002864498,-6.781254494948363,-34.395643109146825,-41.42420977011494,3.7371288314176243,0.02743853767560663,5.022749042145595
Ahmedabad,SSP245,PPD guard,-6.3741220830694125,-12.467760488673088,-6.781561566463284,-27.7999163149897,-41.23513330140485,3.598439495530013,0.02743853767560663,4.96787196679438
Ahmedabad,SSP245,Mean TSV tail,-6.51522336968744,-12.743933935182957,-6.607117420167025,-99.93808257051069,-46.60859674329502,6.9394556194125165,0.03242736270753511,6.047952586206897
Ahmedabad,SSP245,p90 TSV tail,-5.996413931034488,-11.731444950971097,-6.064429316415048,-99.93808257051069,-46.275343231162196,4.766323435504471,0.03542065772669217,5.97312021072797
Ahmedabad,SSP245,Expected TSV,-6.5073625276639655,-12.728545455649131,-6.603922698801537,-99.93808257051069,-46.596623563218394,6.902538314176245,0.03142959770114941,6.020015166028098
Ahmedabad,SSP585,Adaptive,-6.173804363530323,-12.040004005955291,-6.200085006727356,-99.4299908595887,-44.947816890166024,5.646352171136654,0.06086366538952748,5.1339998403576
Ahmedabad,SSP585,PMV guard,-6.179880338192592,-12.053583933461809,-6.586377150467137,-38.66378014958669,-40.9318127394636,3.5141283524904217,0.061362547892720325,4.4076269157088115
Ahmedabad,SSP585,PPD guard,-6.157261836142415,-12.008844574355644,-6.5777794210308045,-34.50889336120166,-40.62100893997445,3.3904054916985955,0.061861430395913186,4.3303001277139215
Ahmedabad,SSP585,Mean TSV tail,-6.329254333095328,-12.346803505807287,-6.427235112859208,-99.52813598051443,-46.36763649425287,6.58125798212005,0.06285919540229885,5.360991379310345
Ahmedabad,SSP585,p90 TSV tail,-5.85052657903567,-11.419255766056063,-5.942382617750912,-99.51065838424927,-46.11021312260536,4.886055236270754,0.06485472541507026,5.336546136653896
Ahmedabad,SSP585,Expected TSV,-6.320534582749496,-12.329904803038785,-6.422249785302093,-99.52813361658453,-46.335209131545334,6.536857439335887,0.06285919540229888,5.337045019157088
Beijing,SSP245,Adaptive,-4.26768935828927,-12.924616462261868,-7.2191406227005785,-40.34750352175593,-29.25746328224776,12.470067049808428,-7.337563856960408,-1.4786877394636022
Beijing,SSP245,PMV guard,-2.183108044606629,-6.539324110600988,-5.263950455835638,29.888605616636514,-13.309686302681989,7.207854406130269,12.987907088122606,4.917484833971903
Beijing,SSP245,PPD guard,-2.1798872801401274,-6.526763119007423,-5.219318846789029,29.839468019709148,-12.90658924010217,7.386953224776499,13.053260696040867,5.039711047254149
Beijing,SSP245,Mean TSV tail,-5.795693243365022,-17.598485164880593,-8.445662392709623,-68.34025696880188,-36.61897349936143,15.815573116219666,-0.35021551724137856,5.3340517241379315
Beijing,SSP245,p90 TSV tail,-4.929113430877442,-14.967411513446558,-8.342634585825687,-46.15531480355667,-35.64864703065134,15.022349936143039,-6.594727809706257,4.562779374201786
Beijing,SSP245,Expected TSV,-5.99940679491002,-18.217488661299544,-8.392934307611553,-70.96716014803627,-36.077187100893994,16.63274265644955,3.2636893358876127,5.43183269476373
Beijing,SSP585,Adaptive,-4.533137284090677,-12.994893622328354,-6.846219327216701,-38.701135635167155,-27.6785001596424,12.012591794380588,-6.952426564495529,-1.346982758620691
Beijing,SSP585,PMV guard,-2.4702523448680647,-7.023446845695326,-5.481727538898684,28.231898678743516,-13.879410121328226,7.070661717752235,12.121847062579823,4.937939016602808
Beijing,SSP585,PPD guard,-2.4495067716473558,-6.960675194618012,-5.376161666392934,28.199232372905836,-13.285241060025541,7.300646551724139,12.213142560664112,5.020254629629628
Beijing,SSP585,Mean TSV tail,-6.005368143541896,-17.259670243808813,-7.914859593008462,-64.11077861354663,-34.380487707535124,15.301724137931037,-0.241958014048532,5.006784802043421
Beijing,SSP585,p90 TSV tail,-5.138109680018946,-14.768122480979764,-7.813630045764519,-42.92122187184115,-33.43560424648787,14.620749521072801,-6.119292784163474,4.275921934865899
Beijing,SSP585,Expected TSV,-6.185507792413097,-17.784350383839527,-7.868779253914781,-66.37045796289304,-33.89058508939974,16.026600415070245,3.178879310344827,5.205838920817367
Guangzhou,SSP245,Adaptive,-5.176212852965332,-11.270363491185527,-5.906436653476679,-86.71504146121474,-44.252873563218394,19.14910600255428,0.055874840357598966,-0.07832455300127701
Guangzhou,SSP245,PMV guard,-4.48091403173132,-9.735670059978105,-4.716783581318259,27.706613416321876,-29.01350973818646,9.791068007662835,0.22549489144316728,3.43680156449553
Guangzhou,SSP245,PPD guard,-4.459026978408665,-9.687270044152548,-4.673896736631095,27.318546271251183,-28.56002554278416,9.892341155810984,0.22649265644955296,3.374940134099617
Guangzhou,SSP245,Mean TSV tail,-5.479176389955275,-11.927860974524071,-6.22057277510061,-89.7916619962948,-50.582195881226056,22.47066570881226,0.16064016602809703,0.002494412515964236
Guangzhou,SSP245,p90 TSV tail,-5.4494474719943975,-11.86296254914908,-6.211404244095395,-89.40626044853614,-50.44899425287357,22.2935624201788,0.07433349297573433,0.030930715197956576
Guangzhou,SSP245,Expected TSV,-5.473184038922814,-11.914979372459753,-6.215115050097663,-89.80141744800018,-50.542285280970624,22.461685823754788,0.17660440613026818,0.023946360153256647
Guangzhou,SSP585,Adaptive,-4.924029016751325,-10.511856987128555,-5.244500824015266,-86.87119189143219,-38.64443646232439,18.94955300127714,0.03741618773946353,0.5392919859514684
Guangzhou,SSP585,PMV guard,-4.37761638956209,-9.331110452512428,-4.428249689138963,35.98868281997743,-25.725375159642397,9.65736749680715,0.23347701149425282,4.107798531289911
Guangzhou,SSP585,PPD guard,-4.359740869757213,-9.292714742144886,-4.396988670935259,35.64816054994261,-25.404094827586206,9.812519955300127,0.23347701149425282,4.031469508301405
Guangzhou,SSP585,Mean TSV tail,-5.197654589196017,-11.1016785058819,-5.550238119084439,-89.20118078239905,-44.26534562579821,22.01867816091954,0.13669380587484029,0.6241020114942529
Guangzhou,SSP585,p90 TSV tail,-5.159657294895517,-11.022681698067906,-5.536494766501122,-88.75907493240796,-44.175546775223495,21.80814974457216,0.06136254789272025,0.7578025223499362
Guangzhou,SSP585,Expected TSV,-5.191685954989677,-11.089489790980183,-5.544769067436545,-89.22028350724709,-44.245889208173686,22.01518598339719,0.14567369093231158,0.6340796615581096
Houston,SSP245,Adaptive,-5.363215341436187,-12.062164099093978,-6.573172313738045,-84.79132418571754,-39.762931034482754,23.28085089399745,-0.06585249042145595,-0.4335288952745846
Houston,SSP245,PMV guard,-4.448329372658665,-9.991522306478846,-5.27816375413784,28.177089421964848,-21.844568167305237,12.243574393358877,0.721882982120051,5.8399185823754785
Houston,SSP245,PPD guard,-4.447113009098655,-9.988908755542203,-5.274610441155128,27.3824279218307,-21.518797892720304,12.411198914431672,0.7064176245210728,5.733157726692209
Houston,SSP245,Mean TSV tail,-5.8637482477395295,-13.19358658383409,-7.206902006378442,-88.42047988138692,-47.88473818646232,28.53009259259259,0.20304517879948913,-0.11274744572158324
Houston,SSP245,p90 TSV tail,-5.792689209335443,-13.033189683926755,-7.1772121673136065,-87.43064778577529,-47.29456018518518,28.082096104725412,0.07533125798212004,-0.009977650063856425
Houston,SSP245,Expected TSV,-5.8624468570748896,-13.190666921046708,-7.200114945008071,-88.47484607128312,-47.841834291187745,28.542564655172413,0.23946360153256704,-0.143179278416347
Houston,SSP585,Adaptive,-4.9264670564221555,-10.90348325485187,-5.740915215751741,-79.6454723255385,-34.25327266922094,20.76299090038314,-0.13719268837803322,-0.12921056832694747
