scope,scaled_run_id,anchor_id,city,scenario,selector_role,zone_order,zone,selected_count,selected_denominator,selected_share,warm_protection_selected_count,warm_protection_denominator,warm_protection_selected_share,is_scenario_worst_cumulative_dh28_zone,worst_cumulative_dh28_scenario_count
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,4,Perimeter_top_ZN_3,1313,16704,0.0786039272030651,45,953,0.0472193074501574,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,5,Perimeter_top_ZN_2,922,16704,0.0551963601532567,25,953,0.0262329485834208,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,6,Perimeter_top_ZN_1,2176,16704,0.130268199233716,269,953,0.282266526757608,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,7,Perimeter_top_ZN_4,801,16704,0.0479525862068966,29,953,0.0304302203567681,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,8,Perimeter_bot_ZN_3,597,16704,0.0357399425287356,1,953,0.00104931794333683,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,9,Perimeter_bot_ZN_2,761,16704,0.0455579501915709,6,953,0.00629590766002099,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,10,Perimeter_bot_ZN_1,1739,16704,0.104106800766284,271,953,0.284365162644281,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,11,Perimeter_bot_ZN_4,447,16704,0.0267600574712644,0,953,0,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,12,Perimeter_mid_ZN_3,748,16704,0.04477969348659,20,953,0.0209863588667366,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,13,Perimeter_mid_ZN_2,472,16704,0.0282567049808429,14,953,0.0146904512067156,False,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,14,Perimeter_mid_ZN_1,1675,16704,0.100275383141762,256,953,0.268625393494229,True,
scenario,SCALED-96-012,ahmedabad_ssp585_present_typical,Ahmedabad,ssp585,present_typical,15,Perimeter_mid_ZN_4,390,16704,0.0233477011494253,16,953,0.0167890870933893,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,1,Core_bottom,1513,16704,0.0905771072796935,0,1691,0,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,2,Core_mid,1255,16704,0.0751317049808429,1,1691,0.000591366055588409,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,3,Core_top,726,16704,0.0434626436781609,0,1691,0,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,4,Perimeter_top_ZN_3,1423,16704,0.0851891762452107,160,1691,0.0946185688941455,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,5,Perimeter_top_ZN_2,834,16704,0.0499281609195402,39,1691,0.023063276167948,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,6,Perimeter_top_ZN_1,2307,16704,0.138110632183908,526,1691,0.311058545239503,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,7,Perimeter_top_ZN_4,779,16704,0.0466355363984674,76,1691,0.0449438202247191,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,8,Perimeter_bot_ZN_3,597,16704,0.0357399425287356,1,1691,0.000591366055588409,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,9,Perimeter_bot_ZN_2,660,16704,0.0395114942528736,2,1691,0.00118273211117682,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,10,Perimeter_bot_ZN_1,1949,16704,0.116678639846743,344,1691,0.203429923122413,True,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,11,Perimeter_bot_ZN_4,449,16704,0.0268797892720307,0,1691,0,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,12,Perimeter_mid_ZN_3,1294,16704,0.0774664750957854,114,1691,0.0674157303370786,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,13,Perimeter_mid_ZN_2,456,16704,0.0272988505747126,16,1691,0.00946185688941455,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,14,Perimeter_mid_ZN_1,2095,16704,0.125419061302682,387,1691,0.228858663512714,False,
scenario,SCALED-96-016,ahmedabad_ssp585_future_extreme,Ahmedabad,ssp585,future_extreme,15,Perimeter_mid_ZN_4,367,16704,0.021970785440613,25,1691,0.0147841513897102,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,1,Core_bottom,2720,16704,0.162835249042146,1070,5306,0.201658499811534,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,2,Core_mid,3126,16704,0.187140804597701,1116,5306,0.210327930644553,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,3,Core_top,767,16704,0.0459171455938697,147,5306,0.0277044854881266,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,4,Perimeter_top_ZN_3,796,16704,0.0476532567049808,5,5306,0.000942329438371655,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,5,Perimeter_top_ZN_2,1031,16704,0.0617217432950192,72,5306,0.0135695439125518,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,6,Perimeter_top_ZN_1,1942,16704,0.116259578544061,922,5306,0.173765548435733,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,7,Perimeter_top_ZN_4,1083,16704,0.0648347701149425,285,5306,0.0537127779871843,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,8,Perimeter_bot_ZN_3,366,16704,0.0219109195402299,0,5306,0,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,9,Perimeter_bot_ZN_2,392,16704,0.0234674329501916,17,5306,0.00320392009046363,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,10,Perimeter_bot_ZN_1,1301,16704,0.0778855363984674,376,5306,0.0708631737655484,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,11,Perimeter_bot_ZN_4,462,16704,0.0276580459770115,61,5306,0.0114964191481342,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,12,Perimeter_mid_ZN_3,269,16704,0.0161039272030651,13,5306,0.0024500565397663,True,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,13,Perimeter_mid_ZN_2,622,16704,0.0372365900383142,197,5306,0.0371277798718432,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,14,Perimeter_mid_ZN_1,1310,16704,0.0784243295019157,843,5306,0.158876743309461,False,
scenario,SCALED-96-020,beijing_ssp245_present_typical,Beijing,ssp245,present_typical,15,Perimeter_mid_ZN_4,517,16704,0.0309506704980843,182,5306,0.0343007915567282,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,1,Core_bottom,2413,16704,0.144456417624521,1275,6177,0.206410879067508,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,2,Core_mid,3146,16704,0.188338122605364,1604,6177,0.259672980411203,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,3,Core_top,582,16704,0.0348419540229885,91,6177,0.0147320705844261,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,4,Perimeter_top_ZN_3,1149,16704,0.0687859195402299,94,6177,0.0152177432410555,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,5,Perimeter_top_ZN_2,986,16704,0.0590277777777778,121,6177,0.0195887971507204,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,6,Perimeter_top_ZN_1,1760,16704,0.10536398467433,846,6177,0.1369596891695,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,7,Perimeter_top_ZN_4,1202,16704,0.0719588122605364,407,6177,0.0658895904160596,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,8,Perimeter_bot_ZN_3,466,16704,0.0278975095785441,7,6177,0.00113323619880201,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,9,Perimeter_bot_ZN_2,459,16704,0.0274784482758621,22,6177,0.00356159948194917,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,10,Perimeter_bot_ZN_1,1461,16704,0.0874640804597701,570,6177,0.092277804759592,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,11,Perimeter_bot_ZN_4,433,16704,0.0259219348659004,60,6177,0.00971345313258863,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,12,Perimeter_mid_ZN_3,521,16704,0.0311901340996169,44,6177,0.00712319896389833,True,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,13,Perimeter_mid_ZN_2,575,16704,0.0344228927203065,215,6177,0.0348065403917759,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,14,Perimeter_mid_ZN_1,1085,16704,0.0649545019157088,663,6177,0.107333657115104,False,
scenario,SCALED-96-024,beijing_ssp245_future_extreme,Beijing,ssp245,future_extreme,15,Perimeter_mid_ZN_4,466,16704,0.0278975095785441,158,6177,0.0255787599158167,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,1,Core_bottom,2857,16704,0.171036877394636,1114,5616,0.198361823361823,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,2,Core_mid,3161,16704,0.189236111111111,1362,5616,0.242521367521368,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,3,Core_top,876,16704,0.0524425287356322,161,5616,0.0286680911680912,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,4,Perimeter_top_ZN_3,1077,16704,0.0644755747126437,11,5616,0.00195868945868946,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,5,Perimeter_top_ZN_2,921,16704,0.0551364942528736,70,5616,0.0124643874643875,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,6,Perimeter_top_ZN_1,1760,16704,0.10536398467433,894,5616,0.159188034188034,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,7,Perimeter_top_ZN_4,903,16704,0.054058908045977,291,5616,0.0518162393162393,True,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,8,Perimeter_bot_ZN_3,321,16704,0.0192169540229885,4,5616,0.000712250712250712,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,9,Perimeter_bot_ZN_2,526,16704,0.0314894636015326,54,5616,0.00961538461538462,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,10,Perimeter_bot_ZN_1,1327,16704,0.0794420498084291,389,5616,0.0692663817663818,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,11,Perimeter_bot_ZN_4,512,16704,0.0306513409961686,86,5616,0.0153133903133903,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,12,Perimeter_mid_ZN_3,284,16704,0.0170019157088123,16,5616,0.00284900284900285,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,13,Perimeter_mid_ZN_2,560,16704,0.0335249042145594,211,5616,0.0375712250712251,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,14,Perimeter_mid_ZN_1,1230,16704,0.0736350574712644,802,5616,0.142806267806268,False,
scenario,SCALED-96-028,beijing_ssp585_present_typical,Beijing,ssp585,present_typical,15,Perimeter_mid_ZN_4,389,16704,0.0232878352490421,151,5616,0.0268874643874644,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,1,Core_bottom,2297,16704,0.137511973180077,1058,5278,0.200454717696097,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,2,Core_mid,3306,16704,0.197916666666667,1430,5278,0.270935960591133,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,3,Core_top,687,16704,0.0411278735632184,97,5278,0.0183781735505873,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,4,Perimeter_top_ZN_3,1274,16704,0.0762691570881226,152,5278,0.0287987874194771,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,5,Perimeter_top_ZN_2,933,16704,0.0558548850574713,84,5278,0.0159151193633952,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,6,Perimeter_top_ZN_1,1710,16704,0.102370689655172,701,5278,0.132815460401667,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,7,Perimeter_top_ZN_4,846,16704,0.0506465517241379,218,5278,0.0413035240621447,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,8,Perimeter_bot_ZN_3,459,16704,0.0274784482758621,1,5278,0.000189465706707086,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,9,Perimeter_bot_ZN_2,359,16704,0.0214918582375479,13,5278,0.00246305418719212,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,10,Perimeter_bot_ZN_1,1440,16704,0.0862068965517241,498,5278,0.0943539219401288,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,11,Perimeter_bot_ZN_4,390,16704,0.0233477011494253,34,5278,0.00644183402804092,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,12,Perimeter_mid_ZN_3,692,16704,0.0414272030651341,60,5278,0.0113679424024252,True,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,13,Perimeter_mid_ZN_2,555,16704,0.0332255747126437,173,5278,0.0327775672603259,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,14,Perimeter_mid_ZN_1,1294,16704,0.0774664750957854,637,5278,0.120689655172414,False,
scenario,SCALED-96-032,beijing_ssp585_future_extreme,Beijing,ssp585,future_extreme,15,Perimeter_mid_ZN_4,462,16704,0.0276580459770115,122,5278,0.0231148162182645,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,1,Core_bottom,2411,16704,0.144336685823755,0,157,0,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,2,Core_mid,1633,16704,0.0977610153256705,0,157,0,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,3,Core_top,1035,16704,0.0619612068965517,0,157,0,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,4,Perimeter_top_ZN_3,1420,16704,0.0850095785440613,23,157,0.146496815286624,False,
scenario,SCALED-96-036,guangzhou_ssp245_present_typical,Guangzhou,ssp245,present_typical,5,Perimeter_top_ZN_2,886,16704,0.0530411877394636,13,157,0.0828025477707006,False,
