scaled_run_id,anchor_id,physical_condition_id,city,scenario,selector_role,weather_year,strategy,policy_label,trace_rows,occupied_rows,zone_count,timestep_hours,worst_zone_dh_below_18c,worst_zone_dh_below_18c_zone,worst_zone_dh_below_16c,worst_zone_dh_below_16c_zone
SCALED-96-022,beijing_ssp245_future_extreme,beijing|ssp245|late_2080s|2084,Beijing,ssp245,future_extreme,2084,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,2.12223383201,perimeter_bot_zn_1,0,core_bottom
SCALED-96-023,beijing_ssp245_future_extreme,beijing|ssp245|late_2080s|2084,Beijing,ssp245,future_extreme,2084,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,9.69927287532,perimeter_bot_zn_1,0.216780683685,perimeter_top_zn_2
SCALED-96-024,beijing_ssp245_future_extreme,beijing|ssp245|late_2080s|2084,Beijing,ssp245,future_extreme,2084,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,8.78457690456,perimeter_bot_zn_1,0.197046343341,perimeter_top_zn_2
SCALED-96-025,beijing_ssp585_present_typical,beijing|ssp585|baseline_2020s|2026,Beijing,ssp585,present_typical,2026,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,80.4616795398,perimeter_bot_zn_1,16.9916097762,perimeter_bot_zn_1
SCALED-96-026,beijing_ssp585_present_typical,beijing|ssp585|baseline_2020s|2026,Beijing,ssp585,present_typical,2026,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,56.8111362133,perimeter_bot_zn_1,11.5563289541,perimeter_bot_zn_1
SCALED-96-027,beijing_ssp585_present_typical,beijing|ssp585|baseline_2020s|2026,Beijing,ssp585,present_typical,2026,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,103.791788575,perimeter_bot_zn_1,23.6988459951,perimeter_bot_zn_1
SCALED-96-028,beijing_ssp585_present_typical,beijing|ssp585|baseline_2020s|2026,Beijing,ssp585,present_typical,2026,paperb_p90_tail_asym_relax,Learned-p90 policy,35040,16704,15,0.25,100.000521156,perimeter_bot_zn_1,22.8953067254,perimeter_bot_zn_1
SCALED-96-029,beijing_ssp585_future_extreme,beijing|ssp585|late_2080s|2089,Beijing,ssp585,future_extreme,2089,diagnostic_reference,Fixed-setpoint reference,35040,16704,15,0.25,7.05758646439,perimeter_bot_zn_1,0,core_bottom
SCALED-96-030,beijing_ssp585_future_extreme,beijing|ssp585|late_2080s|2089,Beijing,ssp585,future_extreme,2089,paperb_pmv_relax,Building-mean PMV policy,35040,16704,15,0.25,1.8806034205,perimeter_bot_zn_1,0,core_bottom
SCALED-96-031,beijing_ssp585_future_extreme,beijing|ssp585|late_2080s|2089,Beijing,ssp585,future_extreme,2089,paperb_adaptive_band_relax,Adaptive-band benchmark,35040,16704,15,0.25,12.1508648887,perimeter_bot_zn_1,0,core_bottom
