experiment,variant_id,alternative,contrast_scope,aggregation,n_matched_cells,occupied_decisions,branch_changed_count,branch_changed_pct,outcome_changed_count,outcome_changed_pct,mean_energy_pct_of_learned_p90,median_energy_pct_of_learned_p90,min_energy_pct_of_learned_p90,max_energy_pct_of_learned_p90,learned_p90_lower_count_energy_pct_of_learned_p90,equal_within_1e_9_count_energy_pct_of_learned_p90,learned_p90_higher_count_energy_pct_of_learned_p90,mean_total_delivered_site_electricity_plus_facility_gas_kwh,median_total_delivered_site_electricity_plus_facility_gas_kwh,min_total_delivered_site_electricity_plus_facility_gas_kwh,max_total_delivered_site_electricity_plus_facility_gas_kwh,learned_p90_lower_count_total_delivered_site_electricity_plus_facility_gas_kwh,equal_within_1e_9_count_total_delivered_site_electricity_plus_facility_gas_kwh,learned_p90_higher_count_total_delivered_site_electricity_plus_facility_gas_kwh,mean_occupied_worst_zone_degree_hours_above_26c,median_occupied_worst_zone_degree_hours_above_26c,min_occupied_worst_zone_degree_hours_above_26c,max_occupied_worst_zone_degree_hours_above_26c,learned_p90_lower_count_occupied_worst_zone_degree_hours_above_26c,equal_within_1e_9_count_occupied_worst_zone_degree_hours_above_26c,learned_p90_higher_count_occupied_worst_zone_degree_hours_above_26c,mean_occupied_worst_zone_degree_hours_above_28c,median_occupied_worst_zone_degree_hours_above_28c,min_occupied_worst_zone_degree_hours_above_28c,max_occupied_worst_zone_degree_hours_above_28c,learned_p90_lower_count_occupied_worst_zone_degree_hours_above_28c,equal_within_1e_9_count_occupied_worst_zone_degree_hours_above_28c,learned_p90_higher_count_occupied_worst_zone_degree_hours_above_28c,mean_occupied_worst_zone_degree_hours_above_30c,median_occupied_worst_zone_degree_hours_above_30c,min_occupied_worst_zone_degree_hours_above_30c,max_occupied_worst_zone_degree_hours_above_30c,learned_p90_lower_count_occupied_worst_zone_degree_hours_above_30c,equal_within_1e_9_count_occupied_worst_zone_degree_hours_above_30c,learned_p90_higher_count_occupied_worst_zone_degree_hours_above_30c,mean_occupied_worst_zone_degree_hours_below_18c,median_occupied_worst_zone_degree_hours_below_18c,min_occupied_worst_zone_degree_hours_below_18c,max_occupied_worst_zone_degree_hours_below_18c,learned_p90_lower_count_occupied_worst_zone_degree_hours_below_18c,equal_within_1e_9_count_occupied_worst_zone_degree_hours_below_18c,learned_p90_higher_count_occupied_worst_zone_degree_hours_below_18c,mean_occupied_worst_zone_degree_hours_below_16c,median_occupied_worst_zone_degree_hours_below_16c,min_occupied_worst_zone_degree_hours_below_16c,max_occupied_worst_zone_degree_hours_below_16c,learned_p90_lower_count_occupied_worst_zone_degree_hours_below_16c,equal_within_1e_9_count_occupied_worst_zone_degree_hours_below_16c,learned_p90_higher_count_occupied_worst_zone_degree_hours_below_16c,mean_occupied_mean_heating_setpoint_c,median_occupied_mean_heating_setpoint_c,min_occupied_mean_heating_setpoint_c,max_occupied_mean_heating_setpoint_c,learned_p90_lower_count_occupied_mean_heating_setpoint_c,equal_within_1e_9_count_occupied_mean_heating_setpoint_c,learned_p90_higher_count_occupied_mean_heating_setpoint_c,mean_occupied_mean_cooling_setpoint_c,median_occupied_mean_cooling_setpoint_c,min_occupied_mean_cooling_setpoint_c,max_occupied_mean_cooling_setpoint_c,learned_p90_lower_count_occupied_mean_cooling_setpoint_c,equal_within_1e_9_count_occupied_mean_cooling_setpoint_c,learned_p90_higher_count_occupied_mean_cooling_setpoint_c
M4,rev01_learned_mean_tail_full24,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,all_stress_test_cells,24,400896,30744,7.6688218390804597,43967,10.967183508939975,0.13836499982104064,0.045154324917768551,-0.21783314176147062,0.65788891471285726,5,0,19,807.5748331246092,263.33721303544007,-1082.6179546081112,4108.3750300237443,5,0,19,-59.580519383714829,-24.584013209931072,-260.62479360933958,15.091082683933564,18,0,6,0.63403849363600118,1.8587439273550217,-55.493342645052053,16.77470710131729,7,0,17,4.6213934701093802,1.975482229357052,-2.2233986331367568,28.141805697486916,1,2,21,0.71882271037851508,0,-0,6.0331761742781822,0,19,5,0.086894276478099428,0,-0,1.4404917470874494,0,21,3,0.0239433229806932,0.00077825670498121724,5.9865900382760628e-05,0.177160412872432,0,0,24,-0.12544144631041165,-0.076074592911878014,-0.44118112074460925,-0.0079920977011518346,24,0,0
M4,rev01_learned_mean_tail_full24,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,present_typical,12,200448,13779,6.8741020114942533,19916,9.9357439335887605,0.14400317336927779,0.031857023849849751,-0.043549894600364569,0.6239958669626855,3,0,9,792.57007638502307,162.20117920494522,-223.81414518563543,3582.4119445327669,3,0,9,-62.460821475318234,-26.360766305578636,-161.53929236764907,13.374365071203101,9,0,3,-2.9964100968192269,1.8587439273550217,-55.493342645052053,13.146598149876809,5,0,7,3.0378154612369936,1.5511417261793898,-2.2233986331367568,13.780436513662551,1,2,9,0.94916116596008615,0,-0,6.0331761742781822,0,9,3,0.16750810362911808,0,-0,1.4404917470874494,0,10,2,0.025093666895139439,0.0014442648467429819,5.9865900382760628e-05,0.177160412872432,0,0,12,-0.10812636627548056,-0.069302262931035585,-0.40533119508589976,-0.0079920977011518346,12,0,0
M4,rev01_learned_mean_tail_full24,learned_mean_tail,learned p90-zone aggregation minus learned building-mean aggregation,late_century_hot_extreme,12,200448,16965,8.4635416666666661,24051,11.998623084291188,0.13272682627280347,0.069086822373672613,-0.21783314176147062,0.65788891471285726,2,0,10,822.57958986419544,395.43043940357165,-1082.6179546081112,4108.3750300237443,2,0,10,-56.700217292111425,-11.703583859672108,-260.62479360933958,15.091082683933564,9,0,3,4.264487084091229,3.9667225058535678,-22.502424822278499,16.77470710131729,2,0,10,6.2049714789817676,4.436479091328323,0.00059728508460921148,28.141805697486916,0,0,12,0.48848425479694396,0,-0,3.2155212890591685,0,10,2,0.0062804493270807544,0,-0,0.07536539192496905,0,11,1,0.022792979066246961,0.00077825670498121724,0.00014966475095690157,0.13794661481718506,0,0,12,-0.14275652634534275,-0.08948455459770166,-0.44118112074460925,-0.031803759578544089,12,0,0
M5,rev01_p90_signal_a000_full24,neutral_always_relax_null,learned p90 signal minus neutral always-relax p90 structural null,all_stress_test_cells,24,400896,44776,11.168981481481481,47353,11.811791586845466,0.18523982053860125,0.062530327524178475,-0.057343970049647308,0.65792042298363329,2,0,22,1044.6795673947952,370.28547426394653,-294.70545809553005,4108.571792410221,2,0,22,-158.33837607775982,-25.941994862494084,-817.61542712026312,15.108093963330248,18,0,6,-1.8395929064545851,1.7745961905600325,-107.52014776915041,16.790548348002631,7,0,17,4.5898531500952338,1.9754822460260204,-3.6288114978053549,28.153140170555673,1,2,21,1.7887542313410514,0,-0,15.67491982543666,0,19,5,0.27550415233703135,0,-0,3.5270842865362297,0,21,3,0.024024391387461968,0.00083812260536397787,5.9865900382760628e-05,0.17841759678047708,0,0,24,-0.19119977265938978,-0.087508979885058125,-0.8151783669131909,-0.0081866618773958066,24,0,0
M5,rev01_p90_signal_a000_full24,neutral_always_relax_null,learned p90 signal minus neutral always-relax p90 structural null,present_typical,12,200448,20606,10.279972860791826,21871,10.91105922733078,0.18088359030581949,0.029778127251943336,-0.057343970049647308,0.62406703029668753,2,0,10,977.24065826093045,151.53542150105932,-294.70545809553005,3582.8204991262173,2,0,10,-168.03410974076027,-26.764087697442847,-648.53973975487997,13.374365071203101,9,0,3,-7.7436366779915433,1.7304566692704384,-107.52014776915041,13.146598149876809,5,0,7,2.9523234962434777,1.5511417261793898,-3.6288114978053549,14.159945763968494,1,2,9,2.6011931302091345,0,-0,15.67491982543666,0,9,3,0.54109062624487547,0,-0,3.5270842865362297,0,10,2,0.025245826058613179,0.0014741977969343623,5.9865900382760628e-05,0.17841759678047708,0,0,12,-0.17245102903090834,-0.080108057950193157,-0.7445912525571643,-0.0081866618773958066,12,0,0
M5,rev01_p90_signal_a000_full24,neutral_always_relax_null,learned p90 signal minus neutral always-relax p90 structural null,late_century_hot_extreme,12,200448,24170,12.057990102171138,25482,12.712523946360154,0.189596050771383,0.082689873017090659,0.0021951037891913159,0.65792042298363329,0,0,12,1112.1184765286598,506.17159077775432,12.30322257289663,4108.571792410221,0,0,12,-148.64264241475939,-13.324277821083797,-817.61542712026312,15.108093963330248,9,0,3,4.0644508650823736,3.9675979267717594,-22.49340655838796,16.790548348002631,2,0,10,6.2273828039469903,4.4992339298511013,0.00059731830859277579,28.153140170555673,0,0,12,0.97631533247296876,0,-0,6.585198190200618,0,10,2,0.0099176784291871902,0,-0,0.11901214115024628,0,11,1,0.022802956716310756,0.00083812260536397787,0.00014966475095690157,0.13794661481718506,0,0,12,-0.20994851628787123,-0.10086655890804685,-0.8151783669131909,-0.032103089080461444,12,0,0
