scaled_run_id,anchor_id,city,scenario,selector_role,weather_year,occupied_rows,zone_count,unique_selected_zones,modal_selected_zone,modal_selected_count,modal_selected_share,switch_opportunities,selected_zone_switches,selected_zone_switch_rate,persistence_episode_count,persistence_mean_hours,persistence_median_hours,persistence_p90_hours,persistence_max_hours,warmest_concordant_count,warmest_concordant_share,top3_warmest_count,top3_warmest_share,selected_temperature_rank_mean,selected_temperature_rank_median,selected_to_warmest_temperature_gap_mean_c,selected_to_warmest_temperature_gap_p90_c,worst_cumulative_dh28_zone,worst_cumulative_dh28_c_h,worst_cumulative_dh28_margin_c_h,worst_cumulative_zone_concordant_count,worst_cumulative_zone_concordant_share,warm_protection_rows,warm_protection_share,warm_protection_warmest_concordant_count,warm_protection_warmest_concordant_share,warm_protection_top3_warmest_count,warm_protection_top3_warmest_share,warm_protection_worst_cumulative_zone_concordant_count,warm_protection_worst_cumulative_zone_concordant_share,selected_p_tail_rank1_count,selected_p_tail_rank2_count,selected_p_tail_rank3_count,selector_target_max_abs_error
SCALED-96-044,guangzhou_ssp585_present_typical,Guangzhou,ssp585,present_typical,2025,16704,15,15,Core_bottom,2377,0.142301245210728,16443,10072,0.61254029070121,10333,0.404142069099003,0.25,0.75,5.5,2508,0.15014367816092,7193,0.430615421455939,6.22114463601533,5,0.475697476672994,1.2307327794005,Perimeter_mid_ZN_1,674.802221823532,21.1030648272947,1332,0.0797413793103448,543,0.032507183908046,120,0.220994475138122,411,0.756906077348066,108,0.198895027624309,3987,12667,50,0.0944922559767936
SCALED-96-048,guangzhou_ssp585_future_extreme,Guangzhou,ssp585,future_extreme,2086,16704,15,15,Perimeter_mid_ZN_1,2150,0.128711685823755,16443,10382,0.631393298059965,10643,0.392370572207084,0.25,0.75,5.5,2508,0.15014367816092,8187,0.490122126436782,5.43959530651341,4,0.490443825483365,1.2040220811275,Perimeter_bot_ZN_1,3631.39767690448,13.6102583258162,1584,0.0948275862068965,2099,0.125658524904215,498,0.237255836112435,1645,0.78370652691758,361,0.171986660314435,3778,12819,107,0.163184580232571
SCALED-96-052,houston_ssp245_present_typical,Houston,ssp245,present_typical,2027,16704,15,15,Core_bottom,2393,0.143259099616858,16443,10226,0.621905978227817,10487,0.398207304281491,0.25,0.75,4.5,2418,0.144755747126437,6738,0.403376436781609,6.20061063218391,5,0.52279687895706,1.23890359894158,Perimeter_mid_ZN_1,333.846139767607,5.50905583975253,1075,0.0643558429118774,427,0.0255627394636015,70,0.163934426229508,281,0.65807962529274,46,0.107728337236534,4006,12643,55,0.0764977568116791
SCALED-96-056,houston_ssp245_future_extreme,Houston,ssp245,future_extreme,2081,16704,15,15,Core_bottom,2257,0.135117337164751,16443,9982,0.607066836951894,10243,0.407693058674217,0.25,0.75,5,2694,0.161278735632184,7922,0.474257662835249,5.5529214559387,4,0.506095096611746,1.20096732183614,Perimeter_mid_ZN_1,994.158701043669,55.2348289346401,1188,0.0711206896551724,1014,0.0607040229885057,178,0.175542406311637,665,0.655818540433925,118,0.116370808678501,3573,13050,81,0.113798242793812
SCALED-96-060,houston_ssp585_present_typical,Houston,ssp585,present_typical,2025,16704,15,15,Core_bottom,2301,0.137751436781609,16443,9699,0.589855865717935,9960,0.419277108433735,0.25,0.75,5.75,2697,0.161458333333333,7776,0.46551724137931,5.6715158045977,4,0.525667778612947,1.27816035261135,Perimeter_mid_ZN_1,688.185827395949,6.85238682631029,1211,0.0724976053639847,1102,0.0659722222222222,181,0.164246823956443,779,0.706896551724138,159,0.144283121597096,3886,12742,76,0.115015060241468
SCALED-96-064,houston_ssp585_future_extreme,Houston,ssp585,future_extreme,2086,16704,15,15,Perimeter_top_ZN_1,2113,0.126496647509579,16443,10218,0.621419449005656,10479,0.398511308330948,0.25,0.75,5.25,2639,0.157986111111111,7882,0.471863026819923,5.5365780651341,4,0.507940592910595,1.24977328348925,Perimeter_mid_ZN_1,1541.77418003585,66.736875721007,1382,0.0827346743295019,579,0.0346623563218391,100,0.172711571675302,403,0.696027633851468,57,0.0984455958549223,3977,12639,88,0.149386495963755
SCALED-96-068,kolkata_ssp245_present_typical,Kolkata,ssp245,present_typical,2026,16704,15,15,Perimeter_top_ZN_1,2312,0.138409961685824,16443,10481,0.637414097184212,10742,0.388754421895364,0.25,0.75,4,2367,0.141702586206897,6987,0.418283045977011,6.24407327586207,5,0.411988738802166,1.04410266771839,Perimeter_mid_ZN_1,1282.52337573666,247.127480909163,1421,0.0850694444444444,382,0.0228687739463602,100,0.261780104712042,355,0.929319371727749,95,0.24869109947644,4117,12525,62,0.078600830598299
SCALED-96-072,kolkata_ssp245_future_extreme,Kolkata,ssp245,future_extreme,2086,16704,15,15,Perimeter_top_ZN_1,2444,0.146312260536398,16443,10441,0.634981451073405,10702,0.390207437862082,0.25,0.75,5.25,2380,0.142480842911877,7662,0.458692528735632,5.64721024904215,4,0.422441941097205,1.0376484526244,Perimeter_mid_ZN_1,2600.33906695082,442.324070381138,1785,0.106860632183908,925,0.0553759578544061,198,0.214054054054054,758,0.819459459459459,180,0.194594594594595,3880,12723,101,0.200151352406992
SCALED-96-076,kolkata_ssp585_present_typical,Kolkata,ssp585,present_typical,2029,16704,15,15,Core_bottom,2573,0.154034961685824,16443,10395,0.632183908045977,10656,0.391891891891892,0.25,0.75,5,2379,0.142420977011494,6441,0.385596264367816,6.45408285440613,5,0.417063724438101,1.04134456649344,Perimeter_mid_ZN_1,802.456284546202,232.194389477648,1151,0.0689056513409962,197,0.0117935823754789,69,0.350253807106599,186,0.944162436548223,54,0.274111675126904,4326,12283,95,0.0957050649019447
SCALED-96-080,kolkata_ssp585_future_extreme,Kolkata,ssp585,future_extreme,2080,16704,15,15,Perimeter_top_ZN_1,2946,0.176364942528736,16443,10007,0.608587240771149,10268,0.406700428515777,0.25,0.75,4.75,2473,0.14804837164751,8593,0.514427681992337,5.40924329501916,3,0.483952158017317,1.14841563721123,Perimeter_mid_ZN_1,4224.25383245028,79.8315014634918,2681,0.160500478927203,2013,0.120510057471264,520,0.258320914058619,1787,0.887729756582216,486,0.241430700447094,3358,13248,98,0.20620096611395
SCALED-96-084,phoenix_ssp245_present_typical,Phoenix,ssp245,present_typical,2026,16704,15,15,Core_bottom,2516,0.150622605363985,16443,9625,0.585355470412942,9886,0.422415537123205,0.25,0.75,4.75,2096,0.125478927203065,6811,0.407746647509579,6.287655651341,5,0.756127900101249,1.63110799295431,Perimeter_mid_ZN_1,867.678316568776,99.1674299493707,893,0.0534602490421456,2071,0.123982279693487,351,0.169483341380975,1311,0.63302752293578,201,0.0970545630130372,4237,12117,350,0.0987927550608032
SCALED-96-088,phoenix_ssp245_future_extreme,Phoenix,ssp245,future_extreme,2086,16704,15,15,Perimeter_top_ZN_1,2466,0.147629310344828,16443,9602,0.583956698899228,9863,0.423400588056372,0.25,0.75,5,2304,0.137931034482759,7482,0.447916666666667,6.17175526819923,4,0.72464914585834,1.62555016781672,Perimeter_bot_ZN_1,1642.60154504001,41.9322316606608,1358,0.0812978927203065,1400,0.0838122605363985,288,0.205714285714286,1045,0.746428571428571,257,0.183571428571429,3902,12497,305,0.192011092196363
SCALED-96-092,phoenix_ssp585_present_typical,Phoenix,ssp585,present_typical,2029,16704,15,15,Core_bottom,2627,0.157267720306513,16443,9699,0.589855865717935,9960,0.419277108433735,0.25,0.75,5.75,2229,0.133441091954023,7050,0.422054597701149,6.13583572796935,4,0.734248439192613,1.62438512039237,Perimeter_bot_ZN_1,990.005060364843,54.2581133065789,1573,0.094169061302682,1874,0.112188697318008,396,0.211312700106724,1276,0.680896478121665,379,0.202241195304162,3973,12401,330,0.0939453480089073
SCALED-96-096,phoenix_ssp585_future_extreme,Phoenix,ssp585,future_extreme,2085,16704,15,15,Perimeter_top_ZN_1,2598,0.155531609195402,16443,9788,0.59526850331448,10049,0.415563737685342,0.25,0.75,4.75,2285,0.136793582375479,7376,0.441570881226054,6.24149904214559,4,0.718816450278663,1.56085866996863,Perimeter_bot_ZN_1,2235.07355714432,494.640715090899,1344,0.0804597701149425,707,0.0423251915708812,236,0.333804809052334,671,0.949080622347949,67,0.0947666195190948,3715,12706,283,0.221189265535853
