city,anchor_id,policy,strategy,weather_year,climate_role,time_slice,selector_role,accepted_comparator_cell_id,event_window_start,event_window_end_exclusive,sizing_contract,artifact_cell_id,annual_electricity_kwh_delivered,annual_natural_gas_kwh_delivered_including_service_water,extreme_336h_electricity_kwh_delivered,extreme_336h_natural_gas_kwh_delivered_including_service_water,annual_occupied_hours,extreme_336h_total_hours,extreme_336h_occupied_hours,sql_hourly_electricity_meter_rows,sql_hourly_natural_gas_meter_rows,trace_minus_sql_electricity_j,trace_minus_sql_natural_gas_j,annual_total_delivered_site_energy_kwh,extreme_336h_total_delivered_site_energy_kwh,annual_occupied_worst_zone_degree_hours_above_26c,annual_occupied_worst_zone_degree_hours_above_26c_zone,extreme_336h_occupied_worst_zone_degree_hours_above_26c,extreme_336h_occupied_worst_zone_degree_hours_above_26c_zone,annual_occupied_worst_zone_degree_hours_above_28c,annual_occupied_worst_zone_degree_hours_above_28c_zone,extreme_336h_occupied_worst_zone_degree_hours_above_28c,extreme_336h_occupied_worst_zone_degree_hours_above_28c_zone,annual_occupied_worst_zone_degree_hours_above_30c,annual_occupied_worst_zone_degree_hours_above_30c_zone,extreme_336h_occupied_worst_zone_degree_hours_above_30c,extreme_336h_occupied_worst_zone_degree_hours_above_30c_zone,dx_high_speed_cooling_capacity_w,fuel_heating_capacity_w,electric_reheat_capacity_w,dx_high_speed_rated_airflow_m3_s,facility_occupied_heating_setpoint_not_met_h,facility_occupied_cooling_setpoint_not_met_h,cooling_unmet_degree_hours_sum,heating_unmet_degree_hours_sum,cooling_occupied_unmet_degree_hours_sum,heating_occupied_unmet_degree_hours_sum,cooling_occupied_unmet_degree_hours_max_zone,heating_occupied_unmet_degree_hours_max_zone,combined_fuel_plus_reheat_capacity_w,zone_cooling_user_design_load_w_sum,zone_cooling_user_design_flow_m3_s_sum,system_cooling_user_design_capacity_w_sum,system_cooling_user_design_flow_m3_s_sum,zone_heating_user_design_load_w_sum,zone_heating_user_design_flow_m3_s_sum,system_heating_user_design_capacity_w_sum,system_heating_user_design_flow_m3_s_sum
Guangzhou,guangzhou_ssp585_future_extreme,learned_p90,paperb_p90_tail_asym_relax,2086,hot-humid/subtropical,late_2080s,heatwave_extreme,SCALED-96-048,2086-07-20 00:00:00,2086-08-03 00:00:00,accepted_denver,SCALED-96-048,584046.739155,27381.0360121,30279.3284215,884.956126821,4176,336,160,8760,8760,0.010986328125,-4.57763671875e-05,611427.775167,31164.2845483,9794.53105531,perimeter_mid_zn_1,760.141054779,perimeter_mid_zn_1,3631.3976769,perimeter_bot_zn_1,440.141054779,perimeter_mid_zn_1,798.057464228,perimeter_bot_zn_1,150.035789433,perimeter_mid_zn_1,226867.27,97989.86,143641.66,12.06,6.5,2765,62963.16,12.81,59914.56,12.47,7108.1,12.47,241631.52,177549.814032,12.9299854551,191718.603861,12.0546357775,85804.3772357,4.36338928401,93353.850642,4.36326537041
Guangzhou,guangzhou_ssp585_future_extreme,pmv,paperb_pmv_relax,2086,hot-humid/subtropical,late_2080s,heatwave_extreme,SCALED-96-046,2086-07-20 00:00:00,2086-08-03 00:00:00,accepted_denver,SCALED-96-046,585786.307487,27186.0784039,30307.5674944,884.955531561,4176,336,160,8760,8760,0.0087890625,0.000106811523438,612972.385891,31192.5230259,9605.31193413,perimeter_mid_zn_1,761.458194419,perimeter_mid_zn_1,3673.36634275,perimeter_bot_zn_1,441.458194419,perimeter_mid_zn_1,799.214403547,perimeter_bot_zn_1,150.462505224,perimeter_mid_zn_1,226867.27,97989.86,143641.66,12.06,33.25,2756,95428.96,84.72,91788.99,83.62,9364.48,83.23,241631.52,177549.814032,12.9299854551,191718.603861,12.0546357775,85804.3772357,4.36338928401,93353.850642,4.36326537041
Guangzhou,guangzhou_ssp585_future_extreme,adaptive_band,paperb_adaptive_band_relax,2086,hot-humid/subtropical,late_2080s,heatwave_extreme,SCALED-96-047,2086-07-20 00:00:00,2086-08-03 00:00:00,city_ddy,REV01-C2-012-007,574323.102745,26878.8551182,30570.6802796,888.574819277,4176,336,160,8760,8760,0.011474609375,-9.1552734375e-05,601201.957863,31459.2550988,5645.20744219,perimeter_mid_zn_1,375.956754933,perimeter_mid_zn_3,807.347327263,perimeter_bot_zn_1,95.3520170911,perimeter_mid_zn_3,22.4345029282,perimeter_bot_zn_1,1.8361016317,perimeter_mid_zn_1,305708.5,14984.78,87839.01,12.34,7.25,1581.75,10845.35,14.37,9328.47,13.49,1858.69,13.49,102823.79,176810.989739,12.8764603693,203081.083375,12.3381588529,39908.0851926,2.63113226195,22233.1986972,2.63113226195
Guangzhou,guangzhou_ssp585_future_extreme,fixed,diagnostic_reference,2086,hot-humid/subtropical,late_2080s,heatwave_extreme,SCALED-96-045,2086-07-20 00:00:00,2086-08-03 00:00:00,city_ddy,REV01-C2-012-005,611933.039773,26570.7143808,32265.5442109,890.083930814,4176,336,160,8760,8760,0.01123046875,-0.000167846679688,638503.754154,33155.6281417,2804.02783674,perimeter_bot_zn_1,298.880214032,perimeter_mid_zn_3,461.369635495,perimeter_bot_zn_1,62.9764449078,perimeter_mid_zn_1,11.178264508,perimeter_bot_zn_1,0.818928779919,perimeter_mid_zn_1,305708.5,14984.78,87839.01,12.34,32,2427.5,26826.57,76.18,25541.43,72.85,4653.8,71.52,102823.79,176810.989739,12.8764603693,203081.083375,12.3381588529,39908.0851926,2.63113226195,22233.1986972,2.63113226195
Guangzhou,guangzhou_ssp585_future_extreme,learned_p90,paperb_p90_tail_asym_relax,2086,hot-humid/subtropical,late_2080s,heatwave_extreme,SCALED-96-048,2086-07-20 00:00:00,2086-08-03 00:00:00,city_ddy,REV01-C2-012-008,572901.060662,26851.7062228,30570.6802796,888.574819236,4176,336,160,8760,8760,0.0068359375,6.103515625e-05,599752.766885,31459.2550988,5873.34944188,perimeter_mid_zn_1,375.956754933,perimeter_mid_zn_3,808.141389397,perimeter_bot_zn_1,95.3520170909,perimeter_mid_zn_3,22.4164576358,perimeter_bot_zn_1,1.83610163166,perimeter_mid_zn_1,305708.5,14984.78,87839.01,12.34,6.25,1533.5,10666.41,12.67,9160.64,12.32,1842.26,12.32,102823.79,176810.989739,12.8764603693,203081.083375,12.3381588529,39908.0851926,2.63113226195,22233.1986972,2.63113226195
Guangzhou,guangzhou_ssp585_future_extreme,pmv,paperb_pmv_relax,2086,hot-humid/subtropical,late_2080s,heatwave_extreme,SCALED-96-046,2086-07-20 00:00:00,2086-08-03 00:00:00,city_ddy,REV01-C2-012-006,574404.953385,26640.2170407,30778.6207763,887.468177494,4176,336,160,8760,8760,0.010009765625,0,601045.170426,31666.0889538,5646.64233535,perimeter_mid_zn_1,373.85670785,perimeter_mid_zn_3,817.615468358,perimeter_bot_zn_1,94.0485476393,perimeter_mid_zn_3,24.1950673549,perimeter_bot_zn_1,1.80589013574,perimeter_mid_zn_1,305708.5,14984.78,87839.01,12.34,32.5,1524.5,13889.67,82.33,12346.35,80.55,2106.06,79.82,102823.79,176810.989739,12.8764603693,203081.083375,12.3381588529,39908.0851926,2.63113226195,22233.1986972,2.63113226195
Phoenix,phoenix_ssp585_future_extreme,adaptive_band,paperb_adaptive_band_relax,2085,hot-dry/desert,late_2080s,heatwave_extreme,SCALED-96-095,2085-08-20 18:00:00,2085-09-03 18:00:00,accepted_denver,SCALED-96-095,546778.840578,25525.6244851,31595.6262697,860.831514294,4176,336,160,8760,8760,0.01708984375,-3.0517578125e-05,572304.465063,32456.457784,7705.10266678,perimeter_bot_zn_1,684.259715539,perimeter_bot_zn_1,2180.34688434,perimeter_bot_zn_1,364.624674432,perimeter_bot_zn_1,438.941427107,perimeter_bot_zn_1,109.541337983,perimeter_bot_zn_1,231561.74,92614.33,143083.71,12.62,0,2413.25,29842.78,0,26869.46,0,4379.59,0,235698.04,182826.593357,13.8147671573,194100.573753,12.6231716367,85310.6927393,4.47274248735,88801.0414526,4.47261831668
Phoenix,phoenix_ssp585_future_extreme,fixed,diagnostic_reference,2085,hot-dry/desert,late_2080s,heatwave_extreme,SCALED-96-093,2085-08-20 18:00:00,2085-09-03 18:00:00,accepted_denver,SCALED-96-093,576217.830953,25304.4142061,31875.1098115,860.869845462,4176,336,160,8760,8760,0.00732421875,0.000320434570312,601522.24516,32735.979657,5615.94002295,perimeter_bot_zn_1,699.595338327,perimeter_bot_zn_1,1967.65558726,perimeter_bot_zn_1,379.595338327,perimeter_bot_zn_1,421.303790225,perimeter_bot_zn_1,112.581440067,perimeter_bot_zn_1,231561.74,92614.33,143083.71,12.62,17,3087.25,62167.51,22.31,58856.86,22.31,7934.24,22.29,235698.04,182826.593357,13.8147671573,194100.573753,12.6231716367,85310.6927393,4.47274248735,88801.0414526,4.47261831668
Phoenix,phoenix_ssp585_future_extreme,learned_p90,paperb_p90_tail_asym_relax,2085,hot-dry/desert,late_2080s,heatwave_extreme,SCALED-96-096,2085-08-20 18:00:00,2085-09-03 18:00:00,accepted_denver,SCALED-96-096,541892.589253,25427.40268,31597.4836588,860.830452507,4176,336,160,8760,8760,0.013671875,9.1552734375e-05,567319.991933,32458.3141113,8089.25028585,perimeter_bot_zn_1,684.544985852,perimeter_bot_zn_1,2235.07355714,perimeter_bot_zn_1,364.915209545,perimeter_bot_zn_1,448.206149741,perimeter_bot_zn_1,111.747118541,perimeter_bot_zn_1,231561.74,92614.33,143083.71,12.62,0,2224.25,30063.77,0,27003.9,0,4112.94,0,235698.04,182826.593357,13.8147671573,194100.573753,12.6231716367,85310.6927393,4.47274248735,88801.0414526,4.47261831668
Phoenix,phoenix_ssp585_future_extreme,pmv,paperb_pmv_relax,2085,hot-dry/desert,late_2080s,heatwave_extreme,SCALED-96-094,2085-08-20 18:00:00,2085-09-03 18:00:00,accepted_denver,SCALED-96-094,543865.145632,25155.4563945,31784.0153045,859.682174639,4176,336,160,8760,8760,0.01513671875,-0.000106811523438,569020.602026,32643.6974791,7649.66484851,perimeter_bot_zn_1,702.423268894,perimeter_bot_zn_1,2246.68548175,perimeter_bot_zn_1,382.519674872,perimeter_bot_zn_1,452.805097959,perimeter_bot_zn_1,115.536841647,perimeter_bot_zn_1,231561.74,92614.33,143083.71,12.62,18,2260.5,44833.16,24.42,41481.82,23.68,5175.95,19.96,235698.04,182826.593357,13.8147671573,194100.573753,12.6231716367,85310.6927393,4.47274248735,88801.0414526,4.47261831668
Phoenix,phoenix_ssp585_future_extreme,adaptive_band,paperb_adaptive_band_relax,2085,hot-dry/desert,late_2080s,heatwave_extreme,SCALED-96-095,2085-08-20 18:00:00,2085-09-03 18:00:00,city_ddy,REV01-C2-012-011,547158.510903,25403.630855,32501.9384752,863.274823304,4176,336,160,8760,8760,0.01513671875,-0.00048828125,572562.141758,33365.2132986,5032.62004387,perimeter_bot_zn_1,335.962151513,perimeter_bot_zn_1,648.229225146,perimeter_bot_zn_1,85.4253862603,perimeter_bot_zn_1,33.2513275869,perimeter_bot_zn_1,8.2566508663,perimeter_bot_zn_1,311511.29,15977.36,90321.8,14.04,0,1517.25,9940.26,0,8145.59,0,2116.61,0,106299.16,198901.093337,15.0294743394,245419.035916,14.0423673635,40065.3895505,2.66598014534,27997.2093695,2.66598014534
Phoenix,phoenix_ssp585_future_extreme,fixed,diagnostic_reference,2085,hot-dry/desert,late_2080s,heatwave_extreme,SCALED-96-093,2085-08-20 18:00:00,2085-09-03 18:00:00,city_ddy,REV01-C2-012-009,578857.277291,25249.2290089,34166.6372958,864.513912578,4176,336,160,8760,8760,0.010986328125,9.1552734375e-05,604106.5063,35031.1512083,2341.75980778,perimeter_bot_zn_1,301.823175346,perimeter_bot_zn_1,401.229347466,perimeter_bot_zn_1,80.8821155266,perimeter_bot_zn_1,27.8202635112,perimeter_bot_zn_1,6.84144919027,perimeter_bot_zn_1,311511.29,15977.36,90321.8,14.04,14.75,2188.25,16196.68,18.37,14640.26,18.37,3596.99,18.32,106299.16,198901.093337,15.0294743394,245419.035916,14.0423673635,40065.3895505,2.66598014534,27997.2093695,2.66598014534
Phoenix,phoenix_ssp585_future_extreme,learned_p90,paperb_p90_tail_asym_relax,2085,hot-dry/desert,late_2080s,heatwave_extreme,SCALED-96-096,2085-08-20 18:00:00,2085-09-03 18:00:00,city_ddy,REV01-C2-012-012,534277.091209,25321.42359,30904.1950827,862.03531878,4176,336,160,8760,8760,0.01171875,-1.52587890625e-05,559598.514799,31766.2304015,6108.29325042,perimeter_bot_zn_1,360.05404908,perimeter_bot_zn_1,744.595327534,perimeter_bot_zn_1,78.3851452783,perimeter_bot_zn_1,30.1247735052,perimeter_bot_zn_1,6.48446244175,perimeter_bot_zn_1,311511.29,15977.36,90321.8,14.04,0,1267.25,8189.35,0,6075.29,0,1508.55,0,106299.16,198901.093337,15.0294743394,245419.035916,14.0423673635,40065.3895505,2.66598014534,27997.2093695,2.66598014534
Phoenix,phoenix_ssp585_future_extreme,pmv,paperb_pmv_relax,2085,hot-dry/desert,late_2080s,heatwave_extreme,SCALED-96-094,2085-08-20 18:00:00,2085-09-03 18:00:00,city_ddy,REV01-C2-012-010,535780.020903,25116.8776227,31013.3606181,860.893411806,4176,336,160,8760,8760,0.013427734375,0.000137329101562,560896.898526,31874.2540299,5516.54416281,perimeter_bot_zn_1,360.127889678,perimeter_bot_zn_1,704.08487432,perimeter_bot_zn_1,78.1018320047,perimeter_bot_zn_1,29.2072107606,perimeter_bot_zn_1,6.17244643323,perimeter_bot_zn_1,311511.29,15977.36,90321.8,14.04,14.5,1256.75,8455.49,22.92,6372,22.12,1531.3,17.77,106299.16,198901.093337,15.0294743394,245419.035916,14.0423673635,40065.3895505,2.66598014534,27997.2093695,2.66598014534
