city,sizing_contract_city_ddy,metric,policy,value_city_ddy,lower_is_preferred_city_ddy,rank_city_ddy,sizing_contract_accepted_denver,value_accepted_denver,lower_is_preferred_accepted_denver,rank_accepted_denver,rank_change_city_ddy_minus_denver,rank_changed
Beijing,city_ddy,facility_occupied_heating_setpoint_not_met_h,learned_p90,369.25,True,1,accepted_denver,360.75,True,1,0,False
Beijing,city_ddy,facility_occupied_heating_setpoint_not_met_h,pmv,614.25,True,4,accepted_denver,605,True,4,0,False
Beijing,city_ddy,cooling_occupied_unmet_degree_hours_sum,adaptive_band,1454.46,True,3,accepted_denver,1666.82,True,3,0,False
Beijing,city_ddy,cooling_occupied_unmet_degree_hours_sum,fixed,1684.66,True,4,accepted_denver,2809.32,True,4,0,False
Beijing,city_ddy,cooling_occupied_unmet_degree_hours_sum,learned_p90,1392.07,True,2,accepted_denver,1620.72,True,2,0,False
Beijing,city_ddy,cooling_occupied_unmet_degree_hours_sum,pmv,1080.71,True,1,accepted_denver,1259.42,True,1,0,False
Beijing,city_ddy,heating_occupied_unmet_degree_hours_sum,adaptive_band,3087.75,True,1,accepted_denver,2997.61,True,1,0,False
Beijing,city_ddy,heating_occupied_unmet_degree_hours_sum,fixed,4325.4,True,3,accepted_denver,4189.31,True,3,0,False
Beijing,city_ddy,heating_occupied_unmet_degree_hours_sum,learned_p90,3567.18,True,2,accepted_denver,3372.02,True,2,0,False
Beijing,city_ddy,heating_occupied_unmet_degree_hours_sum,pmv,5170.14,True,4,accepted_denver,5009.46,True,4,0,False
Guangzhou,city_ddy,annual_total_delivered_site_energy_kwh,adaptive_band,601201.957863,True,3,accepted_denver,612629.444438,True,2,1,True
Guangzhou,city_ddy,annual_total_delivered_site_energy_kwh,fixed,638503.754154,True,4,accepted_denver,635407.913112,True,4,0,False
Guangzhou,city_ddy,annual_total_delivered_site_energy_kwh,learned_p90,599752.766885,True,1,accepted_denver,611427.775167,True,1,0,False
Guangzhou,city_ddy,annual_total_delivered_site_energy_kwh,pmv,601045.170426,True,2,accepted_denver,612972.385891,True,3,-1,True
Guangzhou,city_ddy,extreme_336h_total_delivered_site_energy_kwh,adaptive_band,31459.2550988,True,2,accepted_denver,31163.9275423,True,1,1,True
Guangzhou,city_ddy,extreme_336h_total_delivered_site_energy_kwh,fixed,33155.6281417,True,4,accepted_denver,31193.3577616,True,4,0,False
Guangzhou,city_ddy,extreme_336h_total_delivered_site_energy_kwh,learned_p90,31459.2550988,True,1,accepted_denver,31164.2845483,True,2,-1,True
Guangzhou,city_ddy,extreme_336h_total_delivered_site_energy_kwh,pmv,31666.0889538,True,3,accepted_denver,31192.5230259,True,3,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_26c,adaptive_band,5645.20744219,True,2,accepted_denver,9560.95942101,True,2,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_26c,fixed,2804.02783674,True,1,accepted_denver,7950.72947714,True,1,0,False
Guangzhou,city_ddy,annual_occupied_worst_zone_degree_hours_above_26c,learned_p90,5873.34944188,True,4,accepted_denver,9794.53105531,True,4,0,False
