anchor_id,candidate_strategy,candidate_label,comparator_strategy,comparator_label,delta_dh_below_18c,delta_dh_below_16c
phoenix_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
phoenix_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
phoenix_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_pmv_relax,Building-mean PMV policy,0,0
ahmedabad_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
ahmedabad_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
ahmedabad_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
ahmedabad_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
beijing_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,-0.914695970761,-0.0197343403433
beijing_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,-4.74318199223,-1.43574442978
beijing_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,-1.38381538344,0
beijing_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,-3.79126741912,-0.803539269719
guangzhou_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
guangzhou_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
guangzhou_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
guangzhou_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
houston_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
houston_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
houston_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
houston_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,-0.147890539225,0
kolkata_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
kolkata_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
kolkata_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
kolkata_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
phoenix_ssp245_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
phoenix_ssp245_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
phoenix_ssp585_future_extreme,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
phoenix_ssp585_present_typical,paperb_p90_tail_asym_relax,Learned-p90 policy,paperb_adaptive_band_relax,Adaptive-band benchmark,0,0
