weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,p90_zone_p_tail_mean_occ,p90_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
kolkata_ssp245_baseline_2020s_heatwave_extreme_2027,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.30366462742907,0.10720677681992338,19.103208812260537,4.436063218390805,9.67692790061754,4.75933908045977,21.851053639846743,0.07184444690408272,0.05320611969472071,0.018638327209361996,0.12059412030152501,1.3649425287356323,0.11370304835193062,6.824712643678161,0.09532209605464756,3.6458333333333335,1257,0,1103,0,62.8824200913242,15.836044520547945,28.059596175799086,552154.994876727,262390.8632320344,211581.7109436482,0.0,47557.503787473506,40.71777664945128,25063.528849314363,0.0,431174.3659962537,431174.3659962537,181.53406155769542,110.8284807985524,83.73434574381041,26.261248976346344,164.7194339885868
kolkata_ssp245_baseline_2020s_heatwave_extreme_2027,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.302627996691673,0.10695905172413792,19.103208812260537,4.442049808429119,9.675006742166131,4.75933908045977,21.791187739463602,0.07189816087010614,0.05325918751214939,0.018638973357956765,0.12074748995054477,1.3649425287356323,0.11384266549993238,6.830699233716475,0.09552315994424415,3.7954980842911876,1657,0,1268,0,62.8824200913242,15.83607305936073,28.04644691780822,552311.6583140311,262547.5266693384,211598.25595001254,0.0,47697.62221841311,40.71777664945128,25063.538892374392,0.0,431136.2554822593,431136.2554822593,181.53406155769542,110.8284807985524,83.73434574381041,26.261248976346344,164.71943395129264
kolkata_ssp245_baseline_2020s_hot_2028,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.240713975371072,0.08124066091954023,14.93654214559387,1.7720306513409962,7.7138934570625795,1.9935344827586208,15.439415708812259,0.06323964274765778,0.04406363334502355,0.01917600940263424,0.10123383882412576,0.017959770114942528,0.0996455641083049,5.675287356321839,0.08277339298675182,2.5323275862068964,1044,0,1044,0,62.62842465753424,15.836044520547945,28.070804794520548,560004.4996728819,270236.5608452145,219222.889253218,0.0,47762.01886762571,40.71777664945128,24833.983537285145,0.0,438694.55665442866,438694.55665442866,176.5482525906445,106.45502947994302,79.36089442520102,26.261248976346344,164.75826274715453
kolkata_ssp245_baseline_2020s_hot_2028,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.238583285961216,0.08056146232439335,14.8647030651341,1.7720306513409962,7.708543344105939,1.9935344827586208,15.319683908045977,0.06330235285133304,0.044119512682282466,0.01918284016905056,0.10152101247754508,0.017959770114942528,0.09991422678342753,5.765086206896552,0.0830129634912616,2.658045977011494,1459,0,1231,1,62.62842465753424,15.836058789954338,28.062000570776256,560186.4855546652,270418.5467269978,219246.6454238272,0.0,47920.248578799685,40.71777664945128,24833.983812981158,0.0,438665.3727256804,438665.3727256804,176.5482525906445,106.45502947994302,79.36089442520102,26.261248976346344,165.15076074302368
kolkata_ssp245_baseline_2020s_typical_2026,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.162268429347975,0.0437007503192848,15.690852490421456,1.4008620689655173,7.62708302282206,1.7181513409961684,21.827107279693486,0.06572083432139468,0.04652170518403347,0.019199129137361208,0.10418920725902021,0.0,0.09894017387182538,4.250478927203065,0.08408688480001122,1.8259099616858239,1044,0,1044,0,61.80650684931507,15.836044520547945,28.070804794520548,542581.5062127834,252812.18164347392,204747.45043484235,0.11313818893088304,44812.964187049125,40.71777664945128,24995.368925287064,0.0,425561.42109467834,425561.42109467834,173.75741471964983,103.6376073186237,76.54347226388167,26.261248976346344,156.1359990625099
kolkata_ssp245_baseline_2020s_typical_2026,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.160298227628207,0.04315597062579822,15.636973180076627,1.4008620689655173,7.622022089562079,1.7181513409961684,21.677442528735632,0.06581946297165772,0.04661274783476284,0.019206715136894887,0.1052645973866064,0.0,0.09920546054827496,4.35823754789272,0.08443919875488141,2.0474137931034484,1395,0,1206,0,61.80650684931507,15.836044520547945,28.06140125570776,542825.0019964365,253055.677427127,204778.97401226196,0.11313818893088304,45024.93639328267,40.71777664945128,24995.359845832336,0.0,425502.5060215758,425502.5060215758,173.75741471964983,103.6376073186237,76.54347226388167,26.261248976346344,156.1359990636282
kolkata_ssp245_late_2080s_heatwave_extreme_2086,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.476845675024396,0.19522461685823755,23.443486590038315,6.387691570881227,9.94774539227441,6.896551724137931,14.194204980842912,0.06776293468459064,0.04915683538236948,0.018606099302221162,0.1126991831051637,0.5507662835249042,0.11213470834203886,8.518917624521073,0.09256051550184084,4.076867816091954,1102,0,1068,0,64.375,15.836044520547945,28.069106735159817,583527.6231026453,293768.9731956348,235459.5790889713,0.0,55057.74794108783,40.71777664945128,24762.467433999303,0.0,450891.7711033998,450891.7711033998,178.46300636314453,107.4349151322036,80.3407800774616,26.261248976346344,166.86661281250323
kolkata_ssp245_late_2080s_heatwave_extreme_2086,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.47356445153253,0.19425937899106002,23.38362068965517,6.39367816091954,9.94167930027212,6.896551724137931,14.026580459770116,0.06787913621962828,0.04926083012453315,0.018618306095095134,0.11376018361388816,0.5627394636015326,0.11246430130354734,8.638649425287356,0.09298372485753192,4.274425287356322,1711,0,1324,0,64.35787671232876,15.836044520547945,28.048523116438357,583886.6047260683,294127.95481905784,235505.71111666074,0.0,55370.59753682146,40.71777664945128,24762.51368893517,0.0,450819.7351644289,450819.7351644289,178.46300636314453,107.4349151322036,80.3407800774616,26.261248976346344,166.86661272803724
kolkata_ssp245_late_2080s_hot_2087,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.413901231891515,0.16261334610472541,21.37811302681992,4.412116858237548,8.839237666611544,4.944923371647509,11.973180076628353,0.06460740334107806,0.04570255128205237,0.018904852059025704,0.10554432121748586,0.035919540229885055,0.10573146801184571,7.1240421455938705,0.08680710605663533,2.819683908045977,1044,0,1044,0,63.869863013698634,15.836044520547945,28.070804794520548,581526.0152267489,291764.29709678254,235411.23101377566,0.0,53101.41880209787,40.71777664945128,24781.285429042484,0.0,453018.85795442306,453018.85795442306,174.61960353415736,104.50214794640408,77.40801289166208,26.261248976346344,166.1078909451379
kolkata_ssp245_late_2080s_hot_2087,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,27.412100659076593,0.16210005587484036,21.354166666666664,4.412116858237548,8.834788788648416,4.944923371647509,11.943247126436782,0.06467172287570573,0.04576329653655009,0.018908426339155637,0.10602631177969103,0.035919540229885055,0.10610767691252534,7.2138409961685825,0.0870914400139253,2.951388888888889,1481,0,1248,0,63.864155251141554,15.836044520547945,28.059517694063928,581720.3916791258,291958.6735491595,235433.44069072988,0.0,53273.58557752066,40.71777664945128,24781.286587919105,0.0,452975.88331942545,452975.88331942545,174.61960353415736,104.50214794640408,77.40801289166208,26.261248976346344,166.10789094444726
