weather,strategy,n_steps,occupied_steps,paperb_met,paperb_people_activity_w_per_person,mean_operative_temp_c_occ,mean_pmv_occ,pmv_violation_pct_occ,pmv_abs_gt_1_0_pct_occ,mean_ppd_pct_occ,ppd_gt_25_pct_occ,adaptive_violation_pct_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,p95_p_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,p90_zone_p_tail_mean_occ,p90_zone_p_tail_ge_0p20_pct_occ,relax_action_count,guard_hold_count,warm_protection_count,cold_protection_count,hvac_on_pct_all,mean_heating_setpoint_c,mean_cooling_setpoint_c,electricity_kwh,hvac_electricity_kwh,cooling_electricity_kwh,heating_electricity_kwh,fan_electricity_kwh,pump_electricity_kwh,natural_gas_kwh,zone_heating_kwh_thermal,zone_cooling_kwh_thermal,zone_hvac_kwh_thermal,peak_facility_electric_kw_15min,peak_hvac_electric_kw_15min,peak_cooling_electric_kw_15min,peak_fan_electric_kw_15min,peak_zone_hvac_kw_15min
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.138168529600033,-0.9249392959770115,55.07064176245211,43.12140804597701,34.460698694861236,43.59434865900383,63.81704980842912,0.11822561951871143,0.0961883496508028,0.02203726986790861,0.23567066564560468,12.045019157088124,0.21474306219181663,44.56417624521073,0.17207538070035885,33.01604406130268,6062,0,2629,6,59.25513698630137,15.83685787671233,27.833604452054793,401456.79602462705,111486.67432910007,76507.69043328291,4145.751113559421,27581.577734920458,40.71777664945128,81320.83617377725,2956.439266503619,312040.9194896821,314997.35875618574,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,156.49327833221508
beijing_ssp245_baseline_2020s_heatwave_extreme_2025,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.074504709389775,-0.9478278256704982,56.860632183908045,45.9051724137931,35.78835729343479,46.31824712643678,62.92504789272031,0.11333541241859427,0.09155855041012205,0.021776862008472196,0.22057758643249012,9.434865900383143,0.19856601929701245,40.08022030651341,0.1617803833953356,27.610153256704983,9095,0,2753,104,59.3607305936073,16.01949418124543,27.575844958928077,408841.69838671345,118871.5766911865,76707.1554008283,10134.280166367818,28778.486076653127,40.71777664945128,76219.53594364808,6557.936022150607,316692.39415979374,323250.33018194436,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,157.5357531410771
beijing_ssp245_baseline_2020s_hot_2025,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.138168529600033,-0.9249392959770115,55.07064176245211,43.12140804597701,34.460698694861236,43.59434865900383,63.81704980842912,0.11822561951871143,0.0961883496508028,0.02203726986790861,0.23567066564560468,12.045019157088124,0.21474306219181663,44.56417624521073,0.17207538070035885,33.01604406130268,6062,0,2629,6,59.25513698630137,15.83685787671233,27.833604452054793,401456.79602462705,111486.67432910007,76507.69043328291,4145.751113559421,27581.577734920458,40.71777664945128,81320.83617377725,2956.439266503619,312040.9194896821,314997.35875618574,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,156.49327833221508
beijing_ssp245_baseline_2020s_hot_2025,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.074504709389775,-0.9478278256704982,56.860632183908045,45.9051724137931,35.78835729343479,46.31824712643678,62.92504789272031,0.11333541241859427,0.09155855041012205,0.021776862008472196,0.22057758643249012,9.434865900383143,0.19856601929701245,40.08022030651341,0.1617803833953356,27.610153256704983,9095,0,2753,104,59.3607305936073,16.01949418124543,27.575844958928077,408841.69838671345,118871.5766911865,76707.1554008283,10134.280166367818,28778.486076653127,40.71777664945128,76219.53594364808,6557.936022150607,316692.39415979374,323250.33018194436,173.59315303278612,103.39555281287086,75.48379561823222,27.078340761175284,157.5357531410771
beijing_ssp245_baseline_2020s_typical_2026,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.873236105836114,-1.0426503831417624,55.92672413793104,44.85751915708812,36.45752457511613,45.19276819923372,61.83548850574713,0.11997096594949229,0.09668045398472108,0.02329051196477121,0.23328736885786236,12.398227969348659,0.2223771445093352,45.12691570881226,0.17556072634491063,32.80052681992337,6074,0,2670,6,58.10502283105022,15.836736586757992,27.843614440639268,385616.46055974625,95611.82418568055,65579.37418510037,5515.533418713667,21265.24022870956,40.71777664945128,91357.88016084934,3958.623540731533,283941.7649273382,287900.3884680697,169.35190675406827,98.71530995835624,70.80355276371762,27.078340761175284,164.00545982737285
beijing_ssp245_baseline_2020s_typical_2026,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,24.80342804794563,-1.0676661478288634,58.854166666666664,47.51556513409962,37.899795689786025,47.91666666666667,60.302921455938694,0.11447631912464559,0.09142730138490811,0.023049017739737474,0.21574299640319586,8.812260536398467,0.19719161343358568,39.35584291187739,0.16172955816159182,26.299090038314176,9332,0,2857,113,58.23630136986301,16.036727297360493,27.562072787001796,394501.7777969828,104497.14142291706,66012.37091391259,12524.956277897747,22708.13787794979,40.71777664945128,85808.84333708716,8214.784223805802,289528.14711129887,297742.9313351047,169.35190675406827,98.71531874122928,70.80356154659066,27.078340761175284,164.00491099879832
beijing_ssp245_late_2080s_heatwave_extreme_2084,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.570194163990873,-0.7321803560025543,57.004310344827594,46.695402298850574,33.12470221795073,47.12045019157088,55.441810344827594,0.12173056011567072,0.10239378276505104,0.019336777350619675,0.257844415708591,14.547413793103448,0.2198108000148221,46.43797892720307,0.18188186957467573,38.48180076628353,6496,0,2691,1,61.03881278538813,15.836201484018265,27.797374429223744,431793.0719992773,141838.06195733667,102006.13059102953,2059.1699554922197,34521.11591267138,40.71777664945128,65886.78703282583,1474.2113247444324,346636.4587802878,348110.6701050323,178.2667576911712,108.02930867673899,80.11755148210037,27.078340761175284,170.42296811045463
beijing_ssp245_late_2080s_heatwave_extreme_2084,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.479242560756216,-0.7658274265644955,58.96791187739464,48.257902298850574,34.742683151065656,48.718869731800766,54.879070881226056,0.11470412696372033,0.09513060229896243,0.01957352466475789,0.235433553156619,10.955459770114942,0.20860513758068716,43.277059386973185,0.1707698594333319,31.375718390804597,9042,0,2755,55,61.26426940639269,15.989707138549248,27.568855992844117,436392.02144260023,146437.0114006595,102151.59299630583,5564.869187172801,35468.903719037335,40.71777664945128,61447.42519445567,3470.045341363311,350148.0555485838,353618.1008899471,178.2667576911712,108.02930867673899,80.11755148210037,27.078340761175284,170.4279686393827
beijing_ssp245_late_2080s_hot_2084,paperb_gate_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.570194163990873,-0.7321803560025543,57.004310344827594,46.695402298850574,33.12470221795073,47.12045019157088,55.441810344827594,0.12173056011567072,0.10239378276505104,0.019336777350619675,0.257844415708591,14.547413793103448,0.2198108000148221,46.43797892720307,0.18188186957467573,38.48180076628353,6496,0,2691,1,61.03881278538813,15.836201484018265,27.797374429223744,431793.0719992773,141838.06195733667,102006.13059102953,2059.1699554922197,34521.11591267138,40.71777664945128,65886.78703282583,1474.2113247444324,346636.4587802878,348110.6701050323,178.2667576911712,108.02930867673899,80.11755148210037,27.078340761175284,170.42296811045463
beijing_ssp245_late_2080s_hot_2084,paperb_p90_tail_asym_relax,35040,16704,0.8543330000000003,93.20000000000003,25.479242560756216,-0.7658274265644955,58.96791187739464,48.257902298850574,34.742683151065656,48.718869731800766,54.879070881226056,0.11470412696372033,0.09513060229896243,0.01957352466475789,0.235433553156619,10.955459770114942,0.20860513758068716,43.277059386973185,0.1707698594333319,31.375718390804597,9042,0,2755,55,61.26426940639269,15.989707138549248,27.568855992844117,436392.02144260023,146437.0114006595,102151.59299630583,5564.869187172801,35468.903719037335,40.71777664945128,61447.42519445567,3470.045341363311,350148.0555485838,353618.1008899471,178.2667576911712,108.02930867673899,80.11755148210037,27.078340761175284,170.4279686393827
