period,severity,weather_year,weather,strategy,electricity_change_vs_reference_pct,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,mean_top_c,mean_pmv,mean_ppd_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,energy_relax_actions,guard_hold_records,warm_protection_actions
2030s,heatwave,2033,guangzhou_ssp585_near_2030s_heatwave_extreme_2033,paperb_ppd_guard_relax,-1.6904832939257153,0.1260189242873444,17.96875,35.46875,26.37889784657498,0.5950166666666667,14.28057782261696,14.374999999999998,16.40625,0.0,0.0,18,236,24
2030s,hot,2033,guangzhou_ssp585_near_2030s_hot_2033,diagnostic_reference,0.0,0.1158268023358433,16.40625,35.0,26.134219573279815,0.5292885416666666,12.931172108855066,11.25,13.90625,0.0,0.0,0,0,0
2030s,hot,2033,guangzhou_ssp585_near_2030s_hot_2033,paperb_adaptive_band_relax,-2.082987374877432,0.1252698094207206,18.125,34.53125,26.379467427190157,0.5937281249999999,14.23959639361539,14.0625,16.09375,0.0,0.0,10,0,0
2030s,hot,2033,guangzhou_ssp585_near_2030s_hot_2033,paperb_gate_tail_asym_relax,-2.0719937053648274,0.1253169604719284,18.125,34.53125,26.379789314963727,0.593890625,14.085118392395696,14.21875,15.937499999999998,0.0,0.0,20,0,22
2030s,hot,2033,guangzhou_ssp585_near_2030s_hot_2033,paperb_pmv_exceedance_guard_relax,-1.6983352464409518,0.1259746234886034,17.96875,35.46875,26.3787467430101,0.5949333333333333,14.278032251120855,14.374999999999998,16.40625,0.0,0.0,18,239,22
2030s,hot,2033,guangzhou_ssp585_near_2030s_hot_2033,paperb_pmv_relax,-1.3135758578575518,0.1260534504541529,18.28125,37.1875,26.37021241428197,0.5939812499999999,14.254501826176204,14.374999999999998,16.09375,0.0,0.0,37,0,55
2030s,hot,2033,guangzhou_ssp585_near_2030s_hot_2033,paperb_ppd_guard_relax,-1.6904832939257153,0.1260189242873444,17.96875,35.46875,26.37889784657498,0.5950166666666667,14.28057782261696,14.374999999999998,16.40625,0.0,0.0,18,236,24
2030s,typical,2039,guangzhou_ssp585_near_2030s_typical_2039,diagnostic_reference,0.0,0.0736256109479443,1.7187500000000002,8.75,25.386631924931205,0.2899520833333333,7.456811798000738,0.0,0.625,0.0,0.0,0,0,0
2030s,typical,2039,guangzhou_ssp585_near_2030s_typical_2039,paperb_adaptive_band_relax,-2.588630487944832,0.0856737597504162,2.03125,11.875,25.758272795796017,0.390621875,8.833729227732814,1.09375,1.40625,0.0,0.0,10,0,0
2030s,typical,2039,guangzhou_ssp585_near_2030s_typical_2039,paperb_gate_tail_asym_relax,-2.5885392275458163,0.085677596651514,2.03125,11.875,25.758258283321844,0.3906166666666666,8.72969987069337,1.09375,1.25,0.0,0.0,13,0,3
