weather,time_slice,severity,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_baseline_2020s_hot_2028,baseline_2020s,hot,paperb_pmv_exceedance_guard_relax,640,22480.725736140077,877.1544947733968,25.97473984814241,0.4608958333333334,10.62695738704841,32.5,7.187499999999999,0.0,31.093749999999996,7.03125,0.0,0.0,0.0,4.302333475809094,3.302333475809094,0.0992677621734466,0.23743869313191,7.187499999999999,0.0726009569110265,0.0266668052624201,24.39218807220459,24.5,21.566016101837157,21.5,7.03125,0.0,92.96875,12,0,11,154,617,none,21.09375,0.1408375218661915,-1.9997806295751983
guangzhou_ssp585_baseline_2020s_hot_2028,baseline_2020s,hot,paperb_pmv_relax,640,22530.61159796125,877.1559278939658,25.973642851625875,0.46164375,10.685622714957546,32.5,7.187499999999999,0.0,31.406250000000004,7.187499999999999,0.0,0.0,0.0,4.303430472325632,3.303430472325632,0.1000247901660762,0.2416559399967243,7.187499999999999,0.0732558770824953,0.0267689130835808,24.278124737739564,24.5,21.547069990634917,21.5,31.406250000000004,0.0,68.59375,43,0,27,0,570,none,22.03125,0.14220249178195,-1.7823132106253523
guangzhou_ssp585_baseline_2020s_hot_2028,baseline_2020s,hot,paperb_ppd_guard_relax,640,22483.148693195784,877.1546298739651,25.975253247328208,0.4609729166666666,10.625564721579382,32.34375,7.187499999999999,0.0,30.46875,7.187499999999999,0.0,0.0,0.0,4.3018200766232955,3.301820076623295,0.0993354417494655,0.237703904398374,7.187499999999999,0.0726474394462591,0.0266880023032064,24.39140682220459,24.5,21.56679735183716,21.5,7.187499999999999,0.0,92.8125,12,0,11,161,617,none,21.09375,0.1409939051085921,-1.9892182337801767
guangzhou_ssp585_baseline_2020s_hot_2028,baseline_2020s,hot,reference,640,22939.464707896837,877.2023473629305,25.63611579944966,0.3678249999999999,9.095521555774178,25.46875,3.5937499999999996,0.0,25.46875,2.8125,0.0,0.0,0.0,4.6409575245018475,3.640957524501847,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_baseline_2020s_typical_2025,baseline_2020s,typical,diagnostic_reference,640,24081.43400944812,877.1788049571487,25.96258180139324,0.4760270833333333,11.353954331687609,41.25,7.8125,0.0,40.625,7.34375,0.0,0.0,0.0,4.467193970065405,3.467193970065405,0.1029878646276039,0.2488426845614867,8.90625,0.0768431082777551,0.0261447563498488,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,31.093749999999996,0.1563740252893704,0.0
guangzhou_ssp585_baseline_2020s_typical_2025,baseline_2020s,typical,paperb_adaptive_band_relax,640,23572.1279142065,877.1580423376942,26.257055116147285,0.5558708333333333,13.065861667280783,50.0,9.6875,0.0,48.4375,8.90625,0.0,0.0,0.0,4.172720655311365,3.172720655311365,0.1147272578856824,0.2685396837983004,11.40625,0.0906567184093625,0.0240705394763198,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,34.84375,0.1692156398208177,-2.1149325868293323
guangzhou_ssp585_baseline_2020s_typical_2025,baseline_2020s,typical,paperb_gate_tail_asym_relax,640,23573.249953881634,877.15813731755,26.25714258199189,0.5559020833333334,12.907042898287768,48.75,9.375,0.0,48.4375,8.90625,0.0,0.0,0.0,4.172633189466759,3.172633189466759,0.114751126126371,0.2685396837983004,11.40625,0.0906817602329949,0.024069365893376,24.418554401397703,24.5,21.52187466621399,21.5,11.40625,0.0,88.59375,17,0,15,0,608,none,34.84375,0.1694967243706362,-2.110273231100379
guangzhou_ssp585_baseline_2020s_typical_2025,baseline_2020s,typical,paperb_pmv_exceedance_guard_relax,640,23617.29437034007,877.1583849593486,26.253180640903764,0.5551427083333333,13.053885345345323,49.21875,9.6875,0.0,48.125,8.90625,0.0,0.0,0.0,4.176595130554881,3.1765951305548823,0.1150456408961388,0.2684917527721101,10.78125,0.0908724336112353,0.0241732072849034,24.374512672424316,24.5,21.56743249893189,21.5,8.90625,0.0,91.09375,15,0,12,251,613,none,35.46875,0.1700525792528902,-1.9273754167876576
guangzhou_ssp585_baseline_2020s_typical_2025,baseline_2020s,typical,paperb_pmv_relax,640,23719.783738019694,877.1576293838705,26.241942142939713,0.55335625,13.00547447363625,49.375,9.6875,0.0,47.96875,8.90625,0.0,0.0,0.0,4.187833628518935,3.1878336285189346,0.1152134409147623,0.2678070765270431,10.625,0.090852804343957,0.0243606365708052,24.16191393136978,24.5,21.55253890156746,21.5,47.96875,0.0,52.03124999999999,55,0,37,0,548,pmv_warm,36.71875,0.1717295382683252,-1.5017804640974908
guangzhou_ssp585_baseline_2020s_typical_2025,baseline_2020s,typical,paperb_ppd_guard_relax,640,23617.53475801531,877.1584048882393,26.25310955975012,0.555128125,13.053332634602953,49.21875,9.6875,0.0,48.125,8.90625,0.0,0.0,0.0,4.1766662117085245,3.1766662117085245,0.1150471252033564,0.2684917527721101,10.78125,0.090869921765973,0.0241772034373833,24.36660251617432,24.5,21.559546756744385,21.5,9.6875,0.0,90.3125,16,0,12,253,612,none,35.46875,0.1700870000113407,-1.92637718854618
guangzhou_ssp585_baseline_2020s_typical_2025,baseline_2020s,typical,reference,640,24081.43400944812,877.1788049571487,25.96258180139324,0.4760270833333333,11.353954331687609,41.25,7.8125,0.0,40.625,7.34375,0.0,0.0,0.0,4.467193970065405,3.467193970065405,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,late_2080s,heatwave_extreme,diagnostic_reference,640,28164.8912803814,875.3591530032039,29.06949530731306,1.4737552083333334,49.86354502029903,99.84375,90.46875,49.53125,99.6875,89.6875,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,0.3240378983301596,0.3896357452073068,95.15625,0.3139130861775315,0.010124812152628,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,99.6875,0.4397220170460406,0.0
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,late_2080s,heatwave_extreme,paperb_adaptive_band_relax,640,28127.128371128125,874.3172760129634,29.07803574758268,1.4758354166666667,50.12925692730188,99.84375,91.25,50.15625,99.84375,89.84375,3.28125,0.0,3.28125,2.842832277345061,1.8428322773450616,0.3246446949790939,0.3896361342302304,95.3125,0.3145925228051808,0.010052172173913,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,19,630,none,99.53125,0.4404908785838071,-0.1340779514372947
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,late_2080s,heatwave_extreme,paperb_gate_tail_asym_relax,640,28162.9838965838,875.341549354456,29.069876660184327,1.4738083333333334,49.85879935335656,99.84375,90.46875,49.84375,99.84375,90.0,2.96875,0.0,2.96875,2.850991364743418,1.8509913647434175,0.3240386749490128,0.3885751479875757,95.15625,0.3139476410536005,0.0100910338954121,23.802734088897704,24.5,21.708984035253525,21.5,95.15625,0.0,4.84375,132,0,9,0,499,tail_warm,99.53125,0.439944565535799,-0.0067722036581452
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,late_2080s,heatwave_extreme,paperb_pmv_exceedance_guard_relax,640,28176.22228286673,875.3952950688719,29.069028216727475,1.473815625,50.04543910681556,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.8518398082002676,1.8518398082002676,0.3239744360343969,0.3877765435830078,95.15625,0.3138430167633746,0.0101314192710222,23.77376182079315,24.5,21.767120909690856,21.5,90.0,0.0,10.0,149,0,2,62,489,pmv_exceedance_warm,99.6875,0.4401836069006024,0.0402309470060702
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,late_2080s,heatwave_extreme,paperb_pmv_relax,640,28176.253722019766,875.3953042438126,29.06903413866354,1.473815625,50.04546695838333,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.851833886264206,1.851833886264206,0.3239744174398423,0.3877765435830078,95.15625,0.313842601254329,0.0101318161855132,23.77031226158142,24.5,21.763671600818633,21.5,99.6875,0.0,0.3125,159,0,2,0,479,pmv_warm,99.6875,0.44023580665112,0.0403425723367822
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,late_2080s,heatwave_extreme,paperb_ppd_guard_relax,640,28176.22228286673,875.3952950688719,29.069028216727475,1.473815625,50.04543910681556,99.6875,90.78125,49.6875,99.6875,90.0,2.8125,0.0,2.8125,2.8518398082002676,1.8518398082002676,0.3239744360343969,0.3877765435830078,95.15625,0.3138430167633746,0.0101314192710222,23.773761796951295,24.5,21.767120885849,21.5,90.78125,0.0,9.21875,150,0,2,57,488,ppd_protect_warm,99.6875,0.4401836069006024,0.0402309470060702
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,late_2080s,heatwave_extreme,reference,640,28164.8912803814,875.3591530032039,29.06949530731306,1.4737552083333334,49.86354502029903,99.84375,90.46875,49.53125,99.6875,89.6875,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_late_2080s_hot_2086,late_2080s,hot,diagnostic_reference,640,28164.8912803814,875.3591530032039,29.06949530731306,1.4737552083333334,49.86354502029903,99.84375,90.46875,49.53125,99.6875,89.6875,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,0.3240378983301596,0.3896357452073068,95.15625,0.3139130861775315,0.010124812152628,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,99.6875,0.4397220170460406,0.0
guangzhou_ssp585_late_2080s_hot_2086,late_2080s,hot,paperb_adaptive_band_relax,640,28127.128371128125,874.3172760129634,29.07803574758268,1.4758354166666667,50.12925692730188,99.84375,91.25,50.15625,99.84375,89.84375,3.28125,0.0,3.28125,2.842832277345061,1.8428322773450616,0.3246446949790939,0.3896361342302304,95.3125,0.3145925228051808,0.010052172173913,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,19,630,none,99.53125,0.4404908785838071,-0.1340779514372947
