weather,period,severity,weather_year,diagnostic_mean_p_tail_occ,diagnostic_mean_zone_p_tail_ge_0p20_pct_occ,diagnostic_max_zone_p_tail_ge_0p20_pct_occ,savings_pct_paperb_gate_tail_asym_relax,savings_pct_paperb_pmv_exceedance_guard_relax,savings_pct_paperb_ppd_guard_relax,savings_pct_paperb_adaptive_band_relax,ptail_controller_annual_headroom_collapsed_lt_0p5pct,diagnostic_mean_zone_high_tail_over_25pct,diagnostic_max_zone_high_tail_over_50pct
guangzhou_ssp585_baseline_2020s_typical_2025,2020s,typical,2025,0.08979140706357824,4.932950191570881,24.16786398467433,1.5703795868473036,1.3972037116863123,1.3845214951993423,1.5475760598165467,False,False,False
guangzhou_ssp585_baseline_2020s_hot_2028,2020s,hot,2028,0.09367806930942289,7.52514367816092,24.359434865900383,1.5134622287693134,1.366972749475337,1.355384490000111,1.4729559034184714,False,False,False
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,2020s,heatwave_extreme,2026,0.09616095792843381,8.147749042145595,25.718390804597703,1.5315737366205506,1.3955191471272665,1.385295333961012,1.5279729140465492,False,False,False
guangzhou_ssp585_near_2030s_typical_2039,2030s,typical,2039,0.0898174643874171,5.4238505747126435,22.569444444444446,1.5654412139523344,1.426729448998798,1.4101078964380287,1.5535009448768733,False,False,False
guangzhou_ssp585_near_2030s_hot_2033,2030s,hot,2033,0.10138717299573388,9.90780651340996,28.861350574712645,1.4986642521109261,1.340372687077862,1.318235704725168,1.4786773645002138,False,False,False
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,2030s,heatwave_extreme,2033,0.10138717299573388,9.90780651340996,28.861350574712645,1.4986642521109261,1.340372687077862,1.318235704725168,1.4786773645002138,False,False,False
guangzhou_ssp585_mid_2050s_typical_2050,2050s,typical,2050,0.10757308791423269,12.990900383141762,32.06417624521073,1.3914838762864923,1.1892689868917672,1.1815692496098484,1.368589117612129,False,False,False
guangzhou_ssp585_mid_2050s_hot_2057,2050s,hot,2057,0.1068187490976045,11.673850574712644,34.375,1.5140731203549085,1.3187136743306183,1.2982217431611764,1.5138683635822048,False,False,False
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,2050s,heatwave_extreme,2059,0.11411674882310983,13.709291187739463,38.05675287356322,1.5282126253702955,1.3609745300905085,1.3423758727447055,1.5402484187095,False,False,False
guangzhou_ssp585_late_2080s_typical_2087,2080s,typical,2087,0.13025543781862098,19.86949233716475,50.58069923371647,1.3707979441210716,1.1824309727685445,1.1573416888129406,1.3831827072094405,False,False,True
guangzhou_ssp585_late_2080s_hot_2086,2080s,hot,2086,0.1757109829415866,38.18247126436782,55.92672413793104,1.0334847701737981,0.8857517594199726,0.8722052880918096,1.005086921646814,False,True,True
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,2080s,heatwave_extreme,2086,0.1757109829415866,38.18247126436782,55.92672413793104,1.0334847701737981,0.8857517594199726,0.8722052880918096,1.005086921646814,False,True,True
