weather,paperb_met,paperb_people_activity_w_per_person,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,diagnostic_reference,640,28043.064862732415,875.3767183498481,28.9768686030203,0.9172239583333333,27.06044111343946,77.8125,46.25,15.46875,76.71875,43.90625,0.46875,0.0,0.46875,2.943999421907443,1.9439994219074426,0.09007437040997471,0.14191501331073125,0.0,0.06370935584322997,0.026365014566744692,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,10.78125,0.1456818961272263,0.0
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,paperb_adaptive_band_relax,640,28005.31257106597,875.3957852117234,28.98660498338402,0.9204635416666666,27.250559232857665,77.96875,46.71875,15.46875,77.34375,44.375,0.46875,0.0,0.46875,2.9342630415437227,1.9342630415437227,0.08998289864393276,0.14167468505528527,0.0,0.06386772284102152,0.02611517580291119,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,3,630,none,11.09375,0.14467197375513272,-0.1346225594500372
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,paperb_gate_tail_asym_relax,640,28005.31257106597,875.3957852117234,28.98660498338402,0.9204635416666666,27.125898619544387,77.65625,46.5625,15.46875,77.34375,44.375,0.46875,0.0,0.46875,2.9342630415437227,1.9342630415437227,0.08998289864393276,0.14167468505528527,0.0,0.06386772284102152,0.02611517580291119,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,11.09375,0.14467197375513272,-0.1346225594500372
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,paperb_pmv_exceedance_guard_relax,640,28005.482569987267,875.3958139987742,28.986440227565517,0.9203916666666666,27.250015917846277,77.8125,46.71875,15.46875,77.03125,44.375,0.46875,0.0,0.46875,2.9344277973622264,1.934427797362226,0.09001044310286335,0.1417599719107908,0.0,0.06388866390051558,0.026121779202347734,24.081640625,24.5,21.5115234375,21.5,44.375,0.0,55.625,18,0,22,209,600,pmv_exceedance_warm,11.09375,0.1447404258536753,-0.13401635280989588
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,paperb_ppd_guard_relax,640,28005.482569987267,875.3958139987742,28.986440227565517,0.9203916666666666,27.250015917846277,77.8125,46.71875,15.46875,77.03125,44.375,0.46875,0.0,0.46875,2.9344277973622264,1.934427797362226,0.09001044310286335,0.1417599719107908,0.0,0.06388866390051558,0.026121779202347734,24.0630859375,24.5,21.5123046875,21.5,46.71875,0.0,53.28125,19,0,21,199,600,ppd_protect_warm,11.09375,0.1447404258536753,-0.13401635280989588
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,reference,640,28043.064862732415,875.3767183498481,28.9768686030203,0.9172239583333333,27.06044111343946,77.8125,46.25,15.46875,76.71875,43.90625,0.46875,0.0,0.46875,2.943999421907443,1.9439994219074426,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,diagnostic_reference,640,28043.064862732415,875.3767183498481,28.9768686030203,1.041215625,31.36943455539357,87.34375,54.84375,20.78125,87.34375,53.75,0.46875,0.0,0.46875,2.943999421907443,1.9439994219074426,0.20328793459383504,0.2651235419762287,59.84374999999999,0.19115719918421165,0.012130735409623297,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,78.90625,0.29681671270768817,0.0
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,paperb_adaptive_band_relax,640,28005.31257106597,875.3957852117234,28.98660498338402,1.0443697916666665,31.598536475503074,88.125,56.09375,20.78125,87.65625,53.90625,0.46875,0.0,0.46875,2.9342630415437227,1.9342630415437227,0.20332321195883435,0.26716449102913076,59.68750000000001,0.19129419348982998,0.012029018469004355,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,3,630,none,78.75,0.2957300578515838,-0.1346225594500372
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,paperb_gate_tail_asym_relax,640,28008.856533883896,875.3812161037272,28.98670349642657,1.0444447916666668,31.461077528359972,87.34375,55.3125,20.78125,87.65625,53.75,0.46875,0.0,0.46875,2.9341645285011766,1.9341645285011766,0.2033915420612773,0.2685495178385823,59.375,0.19135704475701543,0.012034497304261836,24.075390625,24.5,21.5041015625,21.5,59.375,0.0,40.625,30,0,40,0,570,tail_warm,78.75,0.29591861911049244,-0.12198498636281085
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,paperb_pmv_exceedance_guard_relax,640,28013.05237824242,875.3995868162134,28.987348451065213,1.0447697916666665,31.606793246552627,88.28125,56.25,20.9375,87.5,53.75,0.46875,0.0,0.46875,2.9335195738625295,1.9335195738625295,0.20345162061062821,0.2680901859245978,59.84374999999999,0.1914254039535669,0.012026216657061276,23.976562595367433,24.5,21.63300790786743,21.5,53.75,0.0,46.25,60,0,13,216,567,pmv_exceedance_warm,78.4375,0.29628277135583037,-0.10702284018134778
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,paperb_ppd_guard_relax,640,28013.053842056757,875.3995880810396,28.98733972735213,1.0447729166666666,31.6071126075971,88.28125,56.25,20.9375,87.5,53.75,0.46875,0.0,0.46875,2.9335282975756116,1.9335282975756112,0.20345420305891104,0.2680901859245978,59.84374999999999,0.19142872271248262,0.012025480346428351,23.954101943969725,24.5,21.652539443969726,21.5,56.25,0.0,43.75,73,0,13,205,554,ppd_protect_warm,78.4375,0.29628277135583037,-0.10701762030134176
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,reference,640,28043.064862732415,875.3767183498481,28.9768686030203,1.041215625,31.36943455539357,87.34375,54.84375,20.78125,87.34375,53.75,0.46875,0.0,0.46875,2.943999421907443,1.9439994219074426,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,diagnostic_reference,640,28043.064862732415,875.3767183498481,28.9768686030203,1.174659375,36.55909246344883,93.59375,64.21875,29.375,93.75,63.4375,0.46875,0.0,0.46875,2.943999421907443,1.9439994219074426,0.20160327892395,0.2529730277624201,61.875,0.19059532792453526,0.011007950999414684,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,87.03125,0.3053390820192175,0.0
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,paperb_adaptive_band_relax,640,28005.31257106597,875.3957852117234,28.98660498338402,1.1776885416666665,36.82250543624171,93.90625,65.0,29.531249999999996,93.90625,63.59375000000001,0.46875,0.0,0.46875,2.9342630415437227,1.9342630415437227,0.20157481811515449,0.25272666081508993,62.5,0.1906393451722625,0.01093547294289191,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,3,630,none,86.71875,0.3042307931669839,-0.1346225594500372
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,paperb_gate_tail_asym_relax,640,28008.619919503715,875.3950349738336,28.98606750513735,1.177471875,36.655480617504125,93.4375,64.53125,29.375,93.75,63.4375,0.46875,0.0,0.46875,2.9348005197903904,1.9348005197903901,0.20152935540835468,0.25272666081508993,62.65625,0.19058812518731139,0.010941230221043237,24.062109375,24.5,21.5052734375,21.5,62.65625,0.0,37.34375,33,0,43,0,564,tail_warm,87.03125,0.30461942579810586,-0.12282874000151267
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,paperb_pmv_exceedance_guard_relax,640,28028.417446193616,875.3840793160762,28.9819817874681,1.1763906250000002,36.779442506863894,93.90625,65.15625,29.531249999999996,93.75,63.4375,0.46875,0.0,0.46875,2.938886237459643,1.9388862374596432,0.20167411251056633,0.25305204024610467,62.03125000000001,0.19073517587568833,0.010938936634877954,23.86406331062317,24.5,21.724414682388307,21.5,63.4375,0.0,36.5625,98,0,8,194,534,pmv_exceedance_warm,86.875,0.30490569767139686,-0.0522318677023903
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,paperb_ppd_guard_relax,640,28028.417446193616,875.3840793160762,28.9819817874681,1.1763906250000002,36.779442506863894,93.90625,65.15625,29.531249999999996,93.75,63.4375,0.46875,0.0,0.46875,2.938886237459643,1.9388862374596432,0.20167411251056633,0.25305204024610467,62.03125000000001,0.19073517587568833,0.010938936634877954,23.860742962360384,24.5,21.72343808412552,21.5,65.15625,0.0,34.84375,103,0,8,184,529,ppd_protect_warm,86.875,0.30490569767139686,-0.0522318677023903
guangzhou_ssp585_late_2080s_hot_2086,0.9320000000000002,93.20000000000002,reference,640,28043.064862732415,875.3767183498481,28.9768686030203,1.174659375,36.55909246344883,93.59375,64.21875,29.375,93.75,63.4375,0.46875,0.0,0.46875,2.943999421907443,1.9439994219074426,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,diagnostic_reference,640,28164.891280381402,875.3591530032039,29.06949530731306,1.4737552083333334,49.86354502029903,99.84375,90.46875,49.53125,99.6875,89.6875,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,0.32403789833015967,0.3896357452073068,95.15625,0.31391308617753155,0.010124812152628098,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,99.6875,0.43972201704604064,0.0
guangzhou_ssp585_late_2080s_hot_2086,1.0999999999999996,120.0,paperb_adaptive_band_relax,640,28127.128371128125,874.3172760129634,29.078035747582682,1.4758354166666667,50.12925692730188,99.84375,91.25,50.15625,99.84375,89.84375,3.28125,0.0,3.28125,2.842832277345061,1.8428322773450614,0.3246446949790939,0.3896361342302304,95.3125,0.3145925228051808,0.010052172173913075,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,19,630,none,99.53125,0.4404908785838071,-0.13407795143729473
