paperb_weather,panel_role,time_slice,selected_weather_year,source_severity,selector,hot_year_same_as_stress,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,diagnostic_mean_p_tail_occ,diagnostic_mean_zone_p_tail_ge_0p20_pct_occ,diagnostic_max_zone_p_tail_ge_0p20_pct_occ,diagnostic_pmv_abs_gt_0p5_pct_occ,diagnostic_pmv_abs_gt_1p0_pct_occ,reference_electricity_kwh,savings_pct_diagnostic_reference,savings_pct_paperb_adaptive_band_relax,savings_pct_paperb_gate_tail_asym_relax,savings_pct_paperb_mu_relax,savings_pct_paperb_pmv_exceedance_guard_relax,savings_pct_paperb_ppd_guard_relax,savings_pct_reference
guangzhou_ssp585_baseline_2020s_typical_2025,typical,baseline_2020s,2025,typical,nearest_median_CDD18_within_time_slice,False,22.902355,54708.335841,35.866288,7,0.0897914070635782,4.932950191570881,24.16786398467433,23.641044061302683,3.125,519746.4157218067,-0.0,1.547576059816547,1.5703795868473036,1.5345150965640708,1.3972037116863123,1.3845214951993423,-0.0
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,stress,baseline_2020s,2026,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,23.213375,54084.447179,35.800724,18,0.0961609579284338,8.147749042145595,25.718390804597703,26.287116858237543,6.315852490421456,519185.5567362218,-0.0,1.5279729140465492,1.5315737366205506,1.517211291504883,1.3955191471272663,1.385295333961012,-0.0
guangzhou_ssp585_near_2030s_typical_2039,typical,near_2030s,2039,typical,nearest_median_CDD18_within_time_slice,False,23.586146,57982.795143,34.811663,0,0.0898174643874171,5.4238505747126435,22.569444444444446,23.293821839080454,3.603927203065134,527365.469889419,-0.0,1.5535009448768733,1.5654412139523344,1.5599435936454076,1.426729448998798,1.4101078964380287,-0.0
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,stress,near_2030s,2033,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,23.934567,60325.235809,35.4307,9,0.1013871729957338,9.90780651340996,28.861350574712645,29.388170498084293,7.219827586206897,535277.5581753133,-0.0,1.4786773645002138,1.498664252110926,1.477002557283058,1.340372687077862,1.318235704725168,-0.0
guangzhou_ssp585_mid_2050s_typical_2050,typical,mid_2050s,2050,typical,nearest_median_CDD18_within_time_slice,False,24.027006,62479.564271,36.017723,41,0.1075730879142326,12.990900383141762,32.06417624521073,33.087883141762454,9.979645593869732,541729.3684116795,-0.0,1.368589117612129,1.3914838762864925,1.379113081648331,1.1892689868917672,1.1815692496098484,-0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,stress,mid_2050s,2059,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,24.858082,66711.613399,36.188511,72,0.1141167488231098,13.709291187739463,38.05675287356322,34.73419540229885,11.11111111111111,552386.7670287738,-0.0,1.5402484187095,1.5282126253702957,1.481450300711129,1.3609745300905085,1.3423758727447055,-0.0
guangzhou_ssp585_late_2080s_typical_2087,typical,late_2080s,2087,typical,nearest_median_CDD18_within_time_slice,False,26.621425,79110.158598,37.143297,239,0.1302554378186209,19.86949233716475,50.58069923371647,43.941570881226056,14.828783524904216,590235.3270307116,-0.0,1.3831827072094405,1.3707979441210716,1.3311809609042546,1.1824309727685445,1.1573416888129406,-0.0
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,stress,late_2080s,2086,heatwave_extreme,shared_max_CDD18_and_max_hours_temp_ge_35,True,27.261619,86503.76982,39.137899,904,0.1757109829415866,38.18247126436782,55.92672413793104,52.08931992337165,33.50694444444444,610958.6513233732,-0.0,1.005086921646814,1.033484770173798,1.016600530865519,0.8857517594199726,0.8722052880918096,-0.0
