controller_behavior,electricity_kwh,electricity_change_vs_reference_pct,natural_gas_kwh,peak_facility_electric_kw_15min,peak_facility_electric_change_vs_reference_pct,peak_zone_hvac_kw,peak_zone_hvac_change_vs_reference_pct,mean_top_c,mean_pmv,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,mean_ppd_pct,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,energy_relax_actions,warm_protection_actions,cold_protection_actions,guard_hold_records,dominant_request_source
Fixed reference,552386.7670287738,0.0,26773.99639383791,170.12801267770732,0.0,161.52627062051332,0.0,25.738139126935845,0.37902857598978285,34.73419540229885,11.11111111111111,11.856910162239865,,,,0,0,0,0,
Adaptive-band relaxation,543878.6385844526,-1.5402484187095,26914.613551740713,170.12801727536794,2.70247124678491e-06,161.55428561175043,0.017343922526968925,26.0456112490161,0.4645632583014048,37.71551724137931,12.068965517241379,12.918956671516769,0.12405445664498053,15.080220306513409,40.116139846743295,264,3,0,848,none
PMV comfort-band relaxation,545909.0576302906,-1.1726764262160017,26901.47456893164,170.1372819124901,0.005448388326456666,168.63915278092924,4.403545090895333,26.03776929465046,0.4634121567688378,37.17073754789272,11.973180076628353,12.859420356170556,0.12431972248707682,15.056273946360152,40.59506704980843,555,1216,28,0,none
PMV exceedance-guard relaxation,544868.9238219218,-1.3609745300905085,26896.256028980988,170.1375474646044,0.0056044779146224855,161.55042064098473,0.014951140999319712,26.043489336946053,0.4644824792464879,37.62571839080459,11.991139846743296,12.894707812886068,0.12423466365423105,15.068247126436782,40.29573754789272,297,544,0,4282,none
PPD guard relaxation,544971.660343945,-1.3423758727447055,26895.43621131974,170.13754692616376,0.005604161423145015,161.54912298493193,0.014147769480987726,26.042925946778396,0.4643759578544061,37.60775862068966,11.96719348659004,12.892266002547366,0.12422588248050552,15.080220306513409,40.31968390804598,304,579,0,4263,none
Expected-TSV relaxation,544203.4316075376,-1.481450300711129,26916.466987503652,170.12994104451002,0.001133479885151445,168.21575135984776,4.141419667300172,26.044509882738115,0.46436458333333336,37.4161877394636,12.051005747126437,12.771292123117625,0.12403328136926292,15.056273946360152,40.15804597701149,547,635,0,0,none
Ordinal TSV p_tail relaxation,543945.1227141652,-1.5282126253702955,26915.469247297642,170.12936248678432,0.0007934078907645414,161.5483530497842,0.013671106988377701,26.046928965026655,0.46498044380587483,37.71551724137931,12.039032567049809,12.782770573928818,0.12406664682589236,15.032327586206899,40.116139846743295,464,397,0,0,none
