time_slice,strategy,electricity_change_vs_reference_pct,mean_top_c,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,warm_protection_actions,energy_relax_actions,guard_hold_records,cooling_sp_mean_c
baseline_2020s,diagnostic_reference,0.0,25.97736255911592,41.458333333333336,7.395833333333333,8.125,0.0,0.0,4.5421373026957355,0.10534739867254626,9.895833333333334,33.489583333333336,0.0,0.0,0.0,24.0
baseline_2020s,paperb_adaptive_band_relax,-2.055787442449708,26.253064414982436,47.447916666666664,9.583333333333334,10.3125,0.0,0.0,4.266435446829223,0.11618246708013104,11.927083333333334,35.3125,0.0,10.0,0.0,24.5
baseline_2020s,paperb_gate_tail_asym_relax,-2.0486454343831304,26.25329164195719,47.447916666666664,9.583333333333334,10.104166666666666,0.0,0.0,4.26620821985447,0.11618204629368305,11.822916666666666,35.364583333333336,13.333333333333334,15.666666666666666,0.0,24.41614557902018
baseline_2020s,paperb_pmv_exceedance_guard_relax,-1.8689562495969092,26.24969773361372,47.34375,9.583333333333334,10.3125,0.0,0.0,4.269802128197941,0.11651140035333823,11.666666666666666,35.729166666666664,16.333333333333332,12.0,241.66666666666666,24.364815934499106
baseline_2020s,paperb_pmv_relax,-1.5224154777250847,26.24022432446144,47.395833333333336,9.635416666666666,10.3125,0.0,0.0,4.279275537350219,0.11677352438428196,11.458333333333334,36.927083333333336,52.666666666666664,34.0,0.0,24.1664386510849
baseline_2020s,paperb_ppd_guard_relax,-1.8561864446826284,26.24963719321632,47.135416666666664,9.6875,10.3125,0.0,0.0,4.26986266859534,0.1165680515490534,11.666666666666666,35.729166666666664,17.666666666666668,11.666666666666666,245.33333333333334,24.353566932678223
baseline_2020s,reference,0.0,25.97736255911592,41.458333333333336,7.395833333333333,8.125,0.0,0.0,4.5421373026957355,,0.0,0.0,0.0,0.0,0.0,24.0
late_2080s,diagnostic_reference,0.0,28.228106977619046,86.61458333333333,68.59375,69.375,0.0,1.9791666666666667,3.3558290739060674,0.26782995776182467,74.42708333333333,85.41666666666667,0.0,0.0,0.0,24.0
late_2080s,paperb_adaptive_band_relax,-0.5937793697765074,28.296409966573687,88.33333333333333,69.0625,70.46875,0.0,2.1875,3.2875260849514247,0.2704270736145165,74.73958333333333,85.15625,0.0,10.0,12.666666666666666,24.5
late_2080s,paperb_gate_tail_asym_relax,-0.507479524413527,28.290929706182634,88.33333333333333,69.16666666666667,69.6875,0.0,1.9791666666666667,3.293006345342483,0.2700245941887614,74.58333333333333,85.15625,93.0,14.333333333333334,0.0,23.953710746765136
late_2080s,paperb_pmv_exceedance_guard_relax,-0.4096016134968054,28.28883342632015,88.17708333333333,69.16666666666667,70.15625,0.0,1.875,3.2951026252049616,0.2702114853099343,74.6875,85.36458333333333,115.66666666666667,4.333333333333333,121.66666666666667,23.897750202814738
late_2080s,paperb_pmv_relax,-0.32930839732708833,28.284335937427716,88.17708333333333,69.11458333333333,70.10416666666667,0.0,1.875,3.299600114097398,0.27010824425129526,74.63541666666667,86.04166666666667,138.33333333333334,10.0,0.0,23.858658653497695
late_2080s,paperb_ppd_guard_relax,-0.4096010919282171,28.28883344506173,88.17708333333333,69.16666666666667,70.15625,0.0,1.875,3.2951026064633813,0.2702114853099343,74.6875,85.36458333333333,117.33333333333333,4.333333333333333,118.0,23.8972939491272
late_2080s,reference,0.0,28.228106977619046,86.61458333333333,68.59375,69.375,0.0,1.9791666666666667,3.3558290739060674,,0.0,0.0,0.0,0.0,0.0,24.0
