weather,strategy,n_steps,occupied_steps,electricity_kwh,natural_gas_kwh,peak_facility_electric_kw_15min,peak_zone_hvac_kw_15min,mean_operative_temp_c_occ,mean_pmv_occ,pmv_abs_gt_0p5_pct_occ,pmv_abs_gt_1p0_pct_occ,mean_ppd_pct_occ,ppd_gt_10_pct_occ,ppd_gt_25_pct_occ,adaptive_80_violation_pct_occ,mean_expected_tsv_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,any_zone_high_mean_zone_not_high_pct_occ,relax_action_pct_all,guard_hold_pct_all,hvac_on_pct_all,horizon,period,severity,weather_year,period_order,severity_order,reference_electricity_kwh,reference_peak_facility_electric_kw_15min,reference_peak_zone_hvac_kw_15min,electricity_delta_pct_vs_reference,electricity_savings_pct_vs_reference,peak_facility_delta_pct_vs_reference,peak_zone_hvac_delta_pct_vs_reference
guangzhou_ssp585_baseline_2020s_typical_2025,diagnostic_reference,35040,16704,519746.4157218067,28700.84678405824,167.82087334475298,167.91702537571385,25.263006888535504,0.22100510855683267,23.641044061302683,3.125,8.829045291279535,23.928400383141764,3.4722222222222223,,0.18433708160194326,0.08979140706357824,0.059609911149094315,0.030181495914483877,4.932950191570881,0.14399478012492517,24.16786398467433,19.23491379310345,0.0,0.0,58.9041095890411,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,0.0,-0.0,0.0,0.0
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_adaptive_band_relax,35040,16704,511702.9446203414,28866.69487886365,167.82298647859295,165.70789814353606,25.602786135951625,0.31675937899106,28.771551724137932,4.208572796934866,9.927884816159088,29.639607279693486,4.75933908045977,,0.2546910467863793,0.10031922138452498,0.07192336114003361,0.028395860244491332,6.291906130268199,0.1567656776279883,26.915708812260537,20.623802681992338,1.3926940639269407,4.9229452054794525,59.21232876712329,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.5475760598165467,1.5475760598165467,0.0012591603165024168,-1.315606459341978
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_gate_tail_asym_relax,35040,16704,511584.4241059409,28940.645465586807,167.82304795187386,165.62288004384828,25.62050044700867,0.321765166028097,28.639846743295017,4.154693486590038,9.798683304885895,28.819444444444443,4.519875478927203,,0.2570562070065634,0.10044761773074727,0.07222468786246782,0.028222929868279397,6.273946360153257,0.15699739926799428,26.927681992337167,20.65373563218391,4.023972602739726,0.0,59.21518264840183,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.5703795868473036,1.5703795868473036,0.0012957906114552387,-1.3662374775472719
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_mu_relax,35040,16704,511770.8285087049,28940.72779838162,167.8230537114992,165.6408235140451,25.61832058617387,0.3211975973818646,28.46024904214559,4.160680076628352,9.78681102890917,28.663793103448278,4.513888888888888,,0.2566407428099521,0.10042005159004468,0.07216927397400469,0.028250777616039918,6.25,0.15707679281057535,26.933668582375482,20.68366858237548,6.672374429223744,0.0,59.21518264840183,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.5345150965640708,1.5345150965640708,0.0012992226191999023,-1.3555515627886705
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_pmv_exceedance_guard_relax,35040,16704,512484.49950998503,28895.824557591743,167.82289810390844,165.46404350809624,25.61922246427963,0.32172968550446995,28.544061302681996,4.112787356321839,9.869780478221234,29.454022988505745,4.61566091954023,,0.2568949029046393,0.10055715143792368,0.07229128659829381,0.02826586483962982,6.25,0.15724854771182503,27.053400383141764,20.803400383141764,2.7853881278538815,11.646689497716894,59.25513698630137,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.3972037116863123,1.3972037116863123,0.001206500189820936,-1.4608297533433956
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_ppd_guard_relax,35040,16704,512550.41487561015,28894.108956469037,167.8229344623089,165.45836646159606,25.618689066314424,0.3216129070881225,28.508141762452105,4.106800766283525,9.867259123815796,29.436063218390807,4.61566091954023,,0.2567913886729134,0.10054166291099811,0.07227014057519265,0.028271522335805415,6.232040229885057,0.15728156106379168,27.065373563218394,20.833333333333336,3.030821917808219,11.832191780821919,59.252283105022826,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.3845214951993423,1.3845214951993423,0.0012281651947221306,-1.4642106174859615
guangzhou_ssp585_baseline_2020s_typical_2025,reference,35040,16704,519746.4157218067,28700.84678405824,167.82087334475298,167.91702537571385,25.263006888535504,0.22100510855683267,23.641044061302683,3.125,8.829045291279535,23.928400383141764,3.4722222222222223,,,,,,0.0,,0.0,0.0,0.0,0.0,58.9041095890411,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,0.0,-0.0,0.0,0.0
guangzhou_ssp585_baseline_2020s_hot_2028,diagnostic_reference,35040,16704,523669.1590879225,27424.527682970605,168.36120105265417,160.34087021425984,25.392552881742958,0.2632647270114942,24.377394636015325,5.5375957854406135,9.278940904652252,24.491139846743295,5.8548850574712645,,0.2038685191348154,0.09367806930942289,0.06410206181834806,0.029576007491074804,7.52514367816092,0.1466655534820038,24.359434865900383,16.834291187739463,0.0,0.0,59.36929223744293,baseline,2020s,hot,2028,0,1,523669.1590879225,168.36120105265417,160.34087021425984,0.0,-0.0,0.0,0.0
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_adaptive_band_relax,35040,16704,515955.74329475506,27637.23271760555,168.3606364074884,161.01126522382884,25.741805377090472,0.3617373882503193,28.46024904214559,6.687021072796935,10.41739585858879,29.358237547892717,7.26772030651341,,0.2756244185939853,0.10445943901097832,0.07680656730056007,0.027652871710418206,8.650622605363985,0.16104853110947473,28.184865900383144,19.534243295019156,0.8476027397260274,5.034246575342466,59.551940639269404,baseline,2020s,hot,2028,0,1,523669.1590879225,168.36120105265417,160.34087021425984,-1.4729559034184714,1.4729559034184714,-0.00033537724976051564,0.41810613143933306
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_gate_tail_asym_relax,35040,16704,515743.6241614129,27616.188702191335,168.3606381994695,160.1403007207105,25.754945464664157,0.3654470785440613,28.46024904214559,6.693007662835249,10.31307712557257,28.669779693486593,7.1000957854406135,,0.2774870406140909,0.10459211876352911,0.07711257366766881,0.02747954509586026,8.620689655172415,0.16136872153087048,28.262691570881227,19.64200191570881,5.16837899543379,0.0,59.56335616438356,baseline,2020s,hot,2028,0,1,523669.1590879225,168.36120105265417,160.34087021425984,-1.5134622287693134,1.5134622287693134,-0.0003343128827548725,-0.12508943807110207
guangzhou_ssp585_baseline_2020s_hot_2028,paperb_mu_relax,35040,16704,515795.5313666865,27616.40545552141,168.36062810675227,160.01646077473904,25.753815791346383,0.3651405651340996,28.442289272030653,6.687021072796935,10.305530362624541,28.615900383141764,7.094109195402298,,0.27733096246111244,0.10460825022523693,0.07711440458610114,0.027493845639135744,8.64463601532567,0.1614932018905776,28.35249042145594,19.707854406130267,7.377283105022831,0.0,59.56335616438356,baseline,2020s,hot,2028,0,1,523669.1590879225,168.36120105265417,160.34087021425984,-1.5035500152328019,1.5035500152328019,-0.0003403075639174524,-0.20232485896284347
