weather,paperb_met,paperb_people_activity_w_per_person,strategy,electricity_change_vs_reference_pct,electricity_kwh,mean_top_c,mean_pmv,mean_ppd_pct,pmv_abs_gt_1_0_pct,ppd_gt_25_pct,adaptive_90_violation_pct,mean_p_tail,p_tail_ge_0_20_pct,max_zone_p_tail_ge_0_20_pct,cooling_sp_mean_c,warm_protection_actions,energy_relax_actions,guard_hold_records,dominant_request_source
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,diagnostic_reference,0.0,28043.064862732415,28.9768686030203,0.9172239583333331,27.06044111343946,43.90625,46.25,0.46875,0.0900743704099747,0.0,10.78125,24.0,0,0,0,
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,paperb_adaptive_band_relax,-0.1346225594500372,28005.31257106597,28.98660498338402,0.9204635416666666,27.250559232857665,44.375,46.71875,0.46875,0.0899828986439327,0.0,11.09375,24.5,0,10,3,none
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,paperb_gate_tail_asym_relax,-0.1346225594500372,28005.31257106597,28.98660498338402,0.9204635416666666,27.125898619544387,44.375,46.5625,0.46875,0.0899828986439327,0.0,11.09375,24.5,0,10,0,none
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,paperb_pmv_exceedance_guard_relax,-0.1340163528098958,28005.482569987267,28.986440227565517,0.9203916666666666,27.250015917846277,44.375,46.71875,0.46875,0.0900104431028633,0.0,11.09375,24.081640625,18,22,209,pmv_exceedance_warm
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,paperb_ppd_guard_relax,-0.1340163528098958,28005.482569987267,28.986440227565517,0.9203916666666666,27.250015917846277,44.375,46.71875,0.46875,0.0900104431028633,0.0,11.09375,24.0630859375,19,21,199,ppd_protect_warm
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,93.20000000000002,reference,0.0,28043.064862732415,28.9768686030203,0.9172239583333331,27.06044111343946,43.90625,46.25,0.46875,,0.0,0.0,24.0,0,0,0,
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,diagnostic_reference,0.0,28043.064862732415,28.9768686030203,1.041215625,31.36943455539357,53.75,54.84375,0.46875,0.203287934593835,59.84374999999999,78.90625,24.0,0,0,0,
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,paperb_adaptive_band_relax,-0.1346225594500372,28005.31257106597,28.98660498338402,1.0443697916666663,31.59853647550307,53.90625,56.09375,0.46875,0.2033232119588343,59.68750000000001,78.75,24.5,0,10,3,none
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,paperb_gate_tail_asym_relax,-0.1219849863628108,28008.856533883896,28.98670349642657,1.0444447916666668,31.461077528359972,53.75,55.3125,0.46875,0.2033915420612773,59.375,78.75,24.075390625,30,40,0,tail_warm
guangzhou_ssp585_late_2080s_hot_2086,0.89,93.20000000000002,paperb_pmv_exceedance_guard_relax,-0.1070228401813477,28013.05237824242,28.987348451065213,1.0447697916666665,31.606793246552627,53.75,56.25,0.46875,0.2034516206106282,59.84374999999999,78.4375,23.976562595367433,60,13,216,pmv_exceedance_warm
