weather,strategy,n_steps,occupied_steps,electricity_kwh,natural_gas_kwh,peak_facility_electric_kw_15min,peak_zone_hvac_kw_15min,mean_operative_temp_c_occ,mean_pmv_occ,pmv_abs_gt_0p5_pct_occ,pmv_abs_gt_1p0_pct_occ,mean_ppd_pct_occ,ppd_gt_10_pct_occ,ppd_gt_25_pct_occ,adaptive_80_violation_pct_occ,mean_expected_tsv_occ,mean_p_tail_occ,mean_warm_tail_occ,mean_cold_tail_occ,mean_zone_p_tail_ge_0p20_pct_occ,max_zone_p_tail_mean_occ,max_zone_p_tail_ge_0p20_pct_occ,any_zone_high_mean_zone_not_high_pct_occ,relax_action_pct_all,guard_hold_pct_all,hvac_on_pct_all,horizon,period,severity,weather_year,period_order,severity_order,reference_electricity_kwh,reference_peak_facility_electric_kw_15min,reference_peak_zone_hvac_kw_15min,electricity_delta_pct_vs_reference,electricity_savings_pct_vs_reference,peak_facility_delta_pct_vs_reference,peak_zone_hvac_delta_pct_vs_reference,paperb_weather,panel_role,time_slice,year_window,selected_weather_year,source_severity,selector,hot_year_same_as_stress,mean_T_out,CDD18_hourly,max_T_out,hours_temp_ge_35,time_order,role_order
guangzhou_ssp585_baseline_2020s_typical_2025,diagnostic_reference,35040,16704,519746.4157218067,28700.84678405824,167.82087334475298,167.91702537571385,25.263006888535504,0.2210051085568326,23.641044061302683,3.125,8.829045291279535,23.928400383141764,3.4722222222222223,,0.1843370816019432,0.0897914070635782,0.0596099111490943,0.0301814959144838,4.932950191570881,0.1439947801249251,24.16786398467433,19.23491379310345,0.0,0.0,58.9041095890411,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,0.0,-0.0,0.0,0.0,guangzhou_ssp585_baseline_2020s_typical_2025,typical,baseline_2020s,2025-2029,2025,typical,nearest_median_CDD18_within_time_slice,False,22.902355,54708.335841,35.866288,7,0,0
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_adaptive_band_relax,35040,16704,511702.9446203414,28866.69487886365,167.82298647859295,165.70789814353606,25.602786135951625,0.31675937899106,28.771551724137932,4.208572796934866,9.927884816159088,29.63960727969349,4.75933908045977,,0.2546910467863793,0.1003192213845249,0.0719233611400336,0.0283958602444913,6.291906130268199,0.1567656776279883,26.915708812260537,20.623802681992338,1.3926940639269407,4.9229452054794525,59.21232876712329,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.547576059816547,1.547576059816547,0.0012591603165024,-1.315606459341978,guangzhou_ssp585_baseline_2020s_typical_2025,typical,baseline_2020s,2025-2029,2025,typical,nearest_median_CDD18_within_time_slice,False,22.902355,54708.335841,35.866288,7,0,0
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_gate_tail_asym_relax,35040,16704,511584.4241059409,28940.645465586807,167.82304795187386,165.62288004384828,25.62050044700867,0.321765166028097,28.639846743295017,4.154693486590038,9.798683304885897,28.819444444444443,4.519875478927203,,0.2570562070065634,0.1004476177307472,0.0722246878624678,0.0282229298682793,6.273946360153257,0.1569973992679942,26.927681992337167,20.65373563218391,4.023972602739726,0.0,59.21518264840183,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.5703795868473036,1.5703795868473036,0.0012957906114552,-1.366237477547272,guangzhou_ssp585_baseline_2020s_typical_2025,typical,baseline_2020s,2025-2029,2025,typical,nearest_median_CDD18_within_time_slice,False,22.902355,54708.335841,35.866288,7,0,0
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_mu_relax,35040,16704,511770.8285087049,28940.72779838162,167.8230537114992,165.6408235140451,25.61832058617387,0.3211975973818646,28.46024904214559,4.160680076628352,9.78681102890917,28.66379310344828,4.513888888888888,,0.2566407428099521,0.1004200515900446,0.0721692739740046,0.0282507776160399,6.25,0.1570767928105753,26.93366858237548,20.68366858237548,6.672374429223744,0.0,59.21518264840183,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.5345150965640708,1.5345150965640708,0.0012992226191999,-1.3555515627886705,guangzhou_ssp585_baseline_2020s_typical_2025,typical,baseline_2020s,2025-2029,2025,typical,nearest_median_CDD18_within_time_slice,False,22.902355,54708.335841,35.866288,7,0,0
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_pmv_exceedance_guard_relax,35040,16704,512484.49950998503,28895.824557591743,167.82289810390844,165.46404350809624,25.61922246427963,0.3217296855044699,28.544061302681996,4.112787356321839,9.869780478221234,29.454022988505745,4.61566091954023,,0.2568949029046393,0.1005571514379236,0.0722912865982938,0.0282658648396298,6.25,0.157248547711825,27.053400383141764,20.803400383141764,2.7853881278538815,11.646689497716894,59.25513698630137,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.3972037116863123,1.3972037116863123,0.0012065001898209,-1.4608297533433956,guangzhou_ssp585_baseline_2020s_typical_2025,typical,baseline_2020s,2025-2029,2025,typical,nearest_median_CDD18_within_time_slice,False,22.902355,54708.335841,35.866288,7,0,0
guangzhou_ssp585_baseline_2020s_typical_2025,paperb_ppd_guard_relax,35040,16704,512550.41487561015,28894.108956469037,167.8229344623089,165.45836646159606,25.618689066314424,0.3216129070881225,28.508141762452105,4.106800766283525,9.867259123815796,29.436063218390807,4.61566091954023,,0.2567913886729134,0.1005416629109981,0.0722701405751926,0.0282715223358054,6.232040229885057,0.1572815610637916,27.06537356321839,20.833333333333336,3.030821917808219,11.83219178082192,59.252283105022826,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,-1.3845214951993423,1.3845214951993423,0.0012281651947221,-1.4642106174859617,guangzhou_ssp585_baseline_2020s_typical_2025,typical,baseline_2020s,2025-2029,2025,typical,nearest_median_CDD18_within_time_slice,False,22.902355,54708.335841,35.866288,7,0,0
guangzhou_ssp585_baseline_2020s_typical_2025,reference,35040,16704,519746.4157218067,28700.84678405824,167.82087334475298,167.91702537571385,25.263006888535504,0.2210051085568326,23.641044061302683,3.125,8.829045291279535,23.928400383141764,3.4722222222222223,,,,,,0.0,,0.0,0.0,0.0,0.0,58.9041095890411,baseline,2020s,typical,2025,0,0,519746.4157218067,167.82087334475298,167.91702537571385,0.0,-0.0,0.0,0.0,guangzhou_ssp585_baseline_2020s_typical_2025,typical,baseline_2020s,2025-2029,2025,typical,nearest_median_CDD18_within_time_slice,False,22.902355,54708.335841,35.866288,7,0,0
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,diagnostic_reference,35040,16704,519185.5567362218,27986.489315033585,169.93020857593,159.046313917564,25.387653789613132,0.264241099936143,26.287116858237543,6.315852490421456,9.774811709709978,26.4786877394636,6.8486590038314175,,0.2161615908601863,0.0961609579284338,0.066643616276555,0.0295173416518787,8.147749042145595,0.1462168987448653,25.718390804597703,17.57064176245211,0.0,0.0,59.340753424657535,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,0.0,-0.0,0.0,0.0,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,stress,baseline_2020s,2025-2029,2026,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,23.213375,54084.447179,35.800724,18,0,1
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_adaptive_band_relax,35040,16704,511252.54205565056,28161.360776619546,169.92255234143676,158.80549317129834,25.729226557317176,0.3603839000638569,30.627394636015325,7.519157088122605,10.838044298738104,31.309865900383144,8.081896551724139,,0.2879374380519513,0.1072536566308483,0.0792267292517361,0.0280269273791121,9.54861111111111,0.1597137819589685,29.32830459770115,19.77969348659004,0.9103881278538812,3.3333333333333335,59.62043378995434,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.5279729140465492,1.5279729140465492,-0.0045055170339702,-0.1514154841654957,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,stress,baseline_2020s,2025-2029,2026,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,23.213375,54084.447179,35.800724,18,0,1
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_gate_tail_asym_relax,35040,16704,511233.8471049227,28189.380884469727,169.92291188353738,159.4292089927095,25.737761472998095,0.3628440293742017,30.51963601532567,7.513170498084292,10.7260770833714,30.56154214559387,7.908285440613026,,0.2890176296567927,0.1072900278904714,0.0793574277066232,0.0279326001838481,9.566570881226054,0.1597824040123864,29.334291187739463,19.767720306513407,5.664954337899544,0.0,59.61472602739726,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.5315737366205506,1.5315737366205506,-0.0042939348181669,0.2407443880428239,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,stress,baseline_2020s,2025-2029,2026,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,23.213375,54084.447179,35.800724,18,0,1
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_mu_relax,35040,16704,511308.41484555736,28189.40733204857,169.9231829540834,163.86830510389427,25.736612873805463,0.3625422254150702,30.465756704980844,7.495210727969348,10.718930051331924,30.555555555555557,7.908285440613026,,0.2888150885277508,0.107275297449379,0.0793289429400538,0.0279463545093251,9.596503831417625,0.1598785385141262,29.346264367816097,19.749760536398465,7.936643835616438,0.0,59.61187214611871,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.517211291504883,1.517211291504883,-0.0041344160673362,3.031815744456412,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,stress,baseline_2020s,2025-2029,2026,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,23.213375,54084.447179,35.800724,18,0,1
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_pmv_exceedance_guard_relax,35040,16704,511940.2228828486,28147.14514375167,169.92332611662846,159.5942176366644,25.73493147836505,0.3623262292464878,30.334051724137932,7.471264367816093,10.806441240875072,31.100335249042143,8.051963601532568,,0.2885826846751682,0.1073559806693518,0.0793542927266853,0.0280016879426664,9.608477011494251,0.1601230779806962,29.51388888888889,19.90541187739463,4.4035388127853885,10.898972602739724,59.6175799086758,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.3955191471272663,1.3955191471272663,-0.0040501682186055,0.3444931891878999,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,stress,baseline_2020s,2025-2029,2026,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,23.213375,54084.447179,35.800724,18,0,1
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,paperb_ppd_guard_relax,35040,16704,511993.30344415543,28149.638954071062,169.9233437933285,159.5933384912896,25.734849016713312,0.3623299409323115,30.334051724137932,7.465277777777778,10.8051114019044,31.082375478927204,8.051963601532568,,0.2885558537987233,0.1073570641897947,0.0793543387127211,0.0280027254770735,9.614463601532568,0.1601830102548957,29.549808429118773,19.935344827586206,4.688926940639269,10.978881278538813,59.61472602739726,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,-1.385295333961012,1.385295333961012,-0.0040397658891966,0.3439404285780156,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,stress,baseline_2020s,2025-2029,2026,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,23.213375,54084.447179,35.800724,18,0,1
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,reference,35040,16704,519185.5567362218,27986.489315033585,169.93020857593,159.046313917564,25.387653789613132,0.264241099936143,26.287116858237543,6.315852490421456,9.774811709709978,26.4786877394636,6.8486590038314175,,,,,,0.0,,0.0,0.0,0.0,0.0,59.340753424657535,baseline,2020s,heatwave_extreme,2026,0,2,519185.5567362218,169.93020857593,159.046313917564,0.0,-0.0,0.0,0.0,guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,stress,baseline_2020s,2025-2029,2026,heatwave_extreme,maximum_hours_temp_ge_35_then_max_temp,False,23.213375,54084.447179,35.800724,18,0,1
guangzhou_ssp585_near_2030s_typical_2039,diagnostic_reference,35040,16704,527365.469889419,26899.96921334802,168.30655276053918,164.71005716911455,25.346416590538627,0.2501694204980842,23.293821839080454,3.603927203065134,8.867075559356763,23.419540229885055,4.034961685823755,,0.1911757951509789,0.0898174643874171,0.0599709809924004,0.0298464833950166,5.4238505747126435,0.1397908354928224,22.569444444444446,17.1455938697318,0.0,0.0,58.90981735159817,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,0.0,-0.0,0.0,0.0,guangzhou_ssp585_near_2030s_typical_2039,typical,near_2030s,2030-2039,2039,typical,nearest_median_CDD18_within_time_slice,False,23.586146,57982.795143,34.811663,0,1,0
guangzhou_ssp585_near_2030s_typical_2039,paperb_adaptive_band_relax,35040,16704,519172.84233173257,27037.38327942827,168.3044045368019,165.73360099247108,25.702319068493775,0.3504780092592592,28.38242337164751,4.909003831417625,10.063239913200867,29.376197318007662,5.555555555555555,,0.2640275899899991,0.1010870545423387,0.0731397993978389,0.0279472551444997,7.088122605363985,0.1537907998260134,27.023467432950195,19.935344827586206,0.8190639269406392,5.171232876712329,59.252283105022826,near,2030s,typical,2039,1,0,527365.469889419,168.30655276053918,164.71005716911455,-1.5535009448768733,1.5535009448768733,-0.0012763755789846,0.6214215700900416,guangzhou_ssp585_near_2030s_typical_2039,typical,near_2030s,2030-2039,2039,typical,nearest_median_CDD18_within_time_slice,False,23.586146,57982.795143,34.811663,0,1,0
