weather,paperb_met,strategy,occupied_steps,electricity_kwh,natural_gas_kwh,mean_top_c,mean_pmv,mean_ppd_pct,ppd_gt_10_pct,ppd_gt_25_pct,ppd_gt_50_pct,pmv_abs_gt_0_5_pct,pmv_abs_gt_1_0_pct,adaptive_violation_pct,adaptive_80_violation_pct,adaptive_90_violation_pct,mean_adaptive_warm_slack_80_c,mean_adaptive_warm_slack_90_c,mean_p_tail,p95_p_tail,p_tail_ge_0_20_pct,mean_warm_tail,mean_cold_tail,cooling_sp_mean_c,cooling_sp_max_c,heating_sp_mean_c,heating_sp_min_c,warm_requests_pct,cold_requests_pct,no_risk_requests_pct,warm_protection_actions,cold_protection_actions,energy_relax_actions,guard_hold_records,idle_actions,dominant_request_source,max_zone_p_tail_ge_0_20_pct,max_zone_mean_p_tail,electricity_change_vs_reference_pct
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,diagnostic_reference,640,28164.891280381402,875.3591530032039,29.06949530731306,0.9628458333333333,28.875013030019225,80.0,49.84375,17.65625,80.0,48.28125,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,0.091443123644119,0.1542983226921018,0.0,0.06623205693912249,0.025211066704996447,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,10.9375,0.1506383616222748,0.0
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,paperb_adaptive_band_relax,640,28127.128371128125,874.3172760129634,29.078035747582682,0.965603125,29.059140387553924,80.46875,50.31250000000001,17.8125,79.84375,48.28125,3.28125,0.0,3.28125,2.842832277345061,1.8428322773450614,0.09142839408179562,0.15453979149957353,0.0,0.06639939151005042,0.025029002571745153,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,19,630,none,10.9375,0.15063077955389365,-0.13407795143729473
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,paperb_gate_tail_asym_relax,640,28127.128371128125,874.3172760129634,29.078035747582682,0.965603125,28.933867499216017,80.15625,50.15625,17.8125,79.84375,48.28125,3.28125,0.0,3.28125,2.842832277345061,1.8428322773450614,0.09142839408179562,0.15453979149957353,0.0,0.06639939151005042,0.025029002571745153,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,0,630,none,10.9375,0.15063077955389365,-0.13407795143729473
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,paperb_pmv_exceedance_guard_relax,640,28127.19825412459,874.3171812888288,29.07789576916931,0.9655458333333333,29.05867185963732,80.46875,50.31250000000001,17.8125,79.84375,48.28125,3.28125,0.0,3.28125,2.842972255758429,1.8429722557584292,0.09142132267727614,0.15453979149957353,0.0,0.06639135568050791,0.025029966996768165,24.0490234375,24.5,21.5130859375,21.5,48.28125,0.0,51.71875,19,0,19,202,602,pmv_exceedance_warm,10.9375,0.15067283516821023,-0.1338298304849772
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,paperb_ppd_guard_relax,640,28127.19825412459,874.3171812888288,29.07789576916931,0.9655458333333333,29.05867185963732,80.46875,50.31250000000001,17.8125,79.84375,48.28125,3.28125,0.0,3.28125,2.842972255758429,1.8429722557584292,0.09142132267727614,0.15453979149957353,0.0,0.06639135568050791,0.025029966996768165,24.0408203125,24.5,21.5130859375,21.5,50.31250000000001,0.0,49.6875,19,0,19,193,602,ppd_protect_warm,10.9375,0.15067283516821023,-0.1338298304849772
guangzhou_ssp585_late_2080s_hot_2086,0.8550000000000002,reference,640,28164.891280381402,875.3591530032039,29.06949530731306,0.9628458333333333,28.875013030019225,80.0,49.84375,17.65625,80.0,48.28125,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,,,0.0,,,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,0.0,,0.0
guangzhou_ssp585_late_2080s_hot_2086,0.89,diagnostic_reference,640,28164.891280381402,875.3591530032039,29.06949530731306,1.084803125,33.240309032847186,89.21875,57.49999999999999,24.0625,88.28125,56.71874999999999,2.96875,0.0,2.96875,2.8513727176146793,1.851372717614679,0.20535900844702545,0.2698078518081639,62.18749999999999,0.19372037160164238,0.011638636845383033,24.0,24.0,22.0,22.0,0.0,0.0,100.0,0,0,0,0,640,,81.71875,0.30030513796490493,0.0
guangzhou_ssp585_late_2080s_hot_2086,0.89,paperb_adaptive_band_relax,640,28127.128371128125,874.3172760129634,29.078035747582682,1.0874885416666669,33.460421032198795,89.84375,58.75,23.90625,88.59375,56.875,3.28125,0.0,3.28125,2.842832277345061,1.8428322773450614,0.20567720549908644,0.2697992875897151,62.5,0.1940862971358396,0.011590908363246773,24.5,24.5,21.5,21.5,0.0,0.0,100.0,0,0,10,19,630,none,82.1875,0.30037417013209283,-0.13407795143729473
guangzhou_ssp585_late_2080s_hot_2086,0.89,paperb_gate_tail_asym_relax,640,28129.52784171318,874.3183371684047,29.075468455476994,1.0864114583333333,33.27181923779705,89.375,57.8125,23.75,88.59375,56.875,2.96875,0.0,2.96875,2.8453995694507457,1.8453995694507452,0.2055041725104751,0.2690983731645533,62.5,0.1939031543439987,0.01160101816647636,24.054296875,24.5,21.5046875,21.5,62.5,0.0,37.5,32,0,42,0,566,tail_warm,82.03125,0.30007635000975486,-0.1255585839695872
guangzhou_ssp585_late_2080s_hot_2086,0.89,paperb_pmv_exceedance_guard_relax,640,28131.597870523878,874.3161399716428,29.0800761570624,1.0884114583333333,33.4926307966786,89.84375,58.75,24.0625,88.59375,56.875,3.4375000000000004,0.0,3.4375000000000004,2.8407918678653443,1.8407918678653445,0.2057827425687055,0.26930812799791615,62.34375,0.19421166599073764,0.011571076577967774,23.952344036102296,24.5,21.652929973602294,21.5,56.875,0.0,43.125,73,0,12,203,555,pmv_exceedance_warm,82.03125,0.30022940168899287,-0.11820890599607559
guangzhou_ssp585_late_2080s_hot_2086,0.89,paperb_ppd_guard_relax,640,28131.617827254988,874.3161264367093,29.080073173561146,1.0884145833333334,33.49286037001144,89.84375,58.75,24.0625,88.59375,56.875,3.4375000000000004,0.0,3.4375000000000004,2.840794851366597,1.840794851366597,0.20577534601717712,0.2691059487406876,62.34375,0.19420408190585195,0.01157126411132511,23.93476560115814,24.5,21.678710913658144,21.5,58.75,0.0,41.25,86,0,11,199,543,ppd_protect_warm,82.03125,0.30022940168899287,-0.11813804923007654
