weather,period,severity,weather_year,period_order,severity_order,diagnostic_mean_p_tail_occ,diagnostic_mean_zone_p_tail_ge_0p20_pct_occ,diagnostic_max_zone_p_tail_ge_0p20_pct_occ,diagnostic_any_zone_high_mean_zone_not_high_pct_occ,diagnostic_mean_pmv_occ,diagnostic_pmv_abs_gt_0p5_pct_occ,diagnostic_pmv_abs_gt_1p0_pct_occ,diagnostic_ppd_gt_10_pct_occ,diagnostic_ppd_gt_25_pct_occ,reference_electricity_kwh,savings_pct_diagnostic_reference,savings_pct_paperb_adaptive_band_relax,savings_pct_paperb_gate_tail_asym_relax,savings_pct_paperb_mu_relax,savings_pct_paperb_pmv_exceedance_guard_relax,savings_pct_paperb_ppd_guard_relax,savings_pct_reference
guangzhou_ssp585_baseline_2020s_typical_2025,2020s,typical,2025,0,0,0.08979140706357824,4.932950191570881,24.16786398467433,19.23491379310345,0.22100510855683267,23.641044061302683,3.125,23.928400383141764,3.4722222222222223,519746.4157218067,-0.0,1.5475760598165467,1.5703795868473036,1.5345150965640708,1.3972037116863123,1.3845214951993423,-0.0
guangzhou_ssp585_baseline_2020s_hot_2028,2020s,hot,2028,0,1,0.09367806930942289,7.52514367816092,24.359434865900383,16.834291187739463,0.2632647270114942,24.377394636015325,5.5375957854406135,24.491139846743295,5.8548850574712645,523669.1590879225,-0.0,1.4729559034184714,1.5134622287693134,1.5035500152328019,1.366972749475337,1.355384490000111,-0.0
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,2020s,heatwave_extreme,2026,0,2,0.09616095792843381,8.147749042145595,25.718390804597703,17.57064176245211,0.26424109993614303,26.287116858237546,6.315852490421456,26.478687739463602,6.8486590038314175,519185.5567362218,-0.0,1.5279729140465492,1.5315737366205506,1.517211291504883,1.3955191471272665,1.385295333961012,-0.0
guangzhou_ssp585_near_2030s_typical_2039,2030s,typical,2039,1,0,0.0898174643874171,5.4238505747126435,22.569444444444446,17.1455938697318,0.2501694204980842,23.293821839080458,3.603927203065134,23.419540229885058,4.034961685823755,527365.469889419,-0.0,1.5535009448768733,1.5654412139523344,1.5599435936454076,1.426729448998798,1.4101078964380287,-0.0
guangzhou_ssp585_near_2030s_hot_2033,2030s,hot,2033,1,1,0.10138717299573388,9.90780651340996,28.861350574712645,18.953544061302683,0.30439786877394637,29.388170498084293,7.219827586206897,29.591714559386972,7.836446360153257,535277.5581753133,-0.0,1.4786773645002138,1.4986642521109261,1.477002557283058,1.340372687077862,1.318235704725168,-0.0
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,2030s,heatwave_extreme,2033,1,2,0.10138717299573388,9.90780651340996,28.861350574712645,18.953544061302683,0.30439786877394637,29.388170498084293,7.219827586206897,29.591714559386972,7.836446360153257,535277.5581753133,-0.0,1.4786773645002138,1.4986642521109261,1.477002557283058,1.340372687077862,1.318235704725168,-0.0
guangzhou_ssp585_mid_2050s_typical_2050,2050s,typical,2050,2,0,0.10757308791423269,12.990900383141762,32.06417624521073,19.073275862068968,0.32595214719029375,33.087883141762454,9.979645593869732,33.2375478927203,10.578304597701148,541729.3684116795,-0.0,1.368589117612129,1.3914838762864923,1.379113081648331,1.1892689868917672,1.1815692496098484,-0.0
guangzhou_ssp585_mid_2050s_hot_2057,2050s,hot,2057,2,1,0.1068187490976045,11.673850574712644,34.375,22.701149425287355,0.3654136334610472,33.79430076628353,8.004070881226054,33.81824712643678,8.90205938697318,564721.633378979,-0.0,1.5138683635822048,1.5140731203549085,1.494563029668905,1.3187136743306183,1.2982217431611764,-0.0
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,2050s,heatwave_extreme,2059,2,2,0.11411674882310983,13.709291187739463,38.05675287356322,24.347461685823752,0.37902857598978285,34.73419540229885,11.11111111111111,34.62643678160919,11.572078544061302,552386.7670287738,-0.0,1.5402484187095,1.5282126253702955,1.481450300711129,1.3609745300905085,1.3423758727447055,-0.0
guangzhou_ssp585_late_2080s_typical_2087,2080s,typical,2087,3,0,0.13025543781862098,19.86949233716475,50.58069923371647,30.711206896551722,0.487424848339719,43.941570881226056,14.828783524904216,43.97150383141762,15.463362068965516,590235.3270307116,-0.0,1.3831827072094405,1.3707979441210716,1.3311809609042546,1.1824309727685445,1.1573416888129406,-0.0
guangzhou_ssp585_late_2080s_hot_2086,2080s,hot,2086,3,1,0.1757109829415866,38.18247126436782,55.92672413793104,17.74425287356322,0.6828336925287356,52.08931992337165,33.50694444444444,52.07734674329502,34.35105363984675,610958.6513233732,-0.0,1.005086921646814,1.0334847701737981,1.016600530865519,0.8857517594199726,0.8722052880918096,-0.0
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,2080s,heatwave_extreme,2086,3,2,0.1757109829415866,38.18247126436782,55.92672413793104,17.74425287356322,0.6828336925287356,52.08931992337165,33.50694444444444,52.07734674329502,34.35105363984675,610958.6513233732,-0.0,1.005086921646814,1.0334847701737981,1.016600530865519,0.8857517594199726,0.8722052880918096,-0.0
